TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 DEC 25 16:15:00,1,1
2021 DEC 25 20:12:00,3,3
2021 DEC 25 22:12:00,4,4
2021 DEC 26 23:45:00,17,17
2021 DEC 27 03:42:00,19,19
2021 DEC 27 05:42:00,20,20
2021 DEC 27 07:39:00,21,21
2021 DEC 27 09:39:00,22,22
2021 DEC 27 11:36:00,23,23
2021 DEC 27 13:36:00,24,24
2021 DEC 28 13:12:00,36,36
2021 DEC 28 17:09:00,38,38
2021 DEC 28 21:06:00,40,40
2021 DEC 29 01:03:00,42,42
2021 DEC 29 08:18:00,46,46
2021 DEC 30 04:36:00,56,56
2021 DEC 30 08:33:00,58,58
2021 DEC 30 10:30:00,59,59
2021 DEC 30 10:33:00,59,59
2021 DEC 30 12:30:00,60,60
2021 DEC 30 14:27:00,61,61
2021 DEC 30 18:24:00,63,63
2021 DEC 31 21:57:00,77,77
2022 JAN 01 01:54:00,79,79
2022 JAN 01 05:51:00,81,81
2022 JAN 01 07:48:00,82,82
2022 JAN 02 13:21:00,97,97
2022 JAN 02 15:18:00,98,98
2022 JAN 02 21:12:00,101,101
2022 JAN 02 23:12:00,102,102
2022 JAN 03 01:09:00,103,103
2022 JAN 04 00:45:00,115,115
2022 JAN 04 08:39:00,119,119
2022 JAN 04 10:36:00,120,120
2022 JAN 04 12:33:00,121,121
2022 JAN 05 20:03:00,137,137
2022 JAN 05 22:00:00,138,138
2022 JAN 05 23:57:00,139,139
2022 JAN 06 05:54:00,142,142
2022 JAN 07 11:21:00,157,157
2022 JAN 07 19:15:00,161,161
2022 JAN 07 21:12:00,162,162
2022 JAN 08 18:48:00,173,173
2022 JAN 09 02:42:00,177,177
2022 JAN 10 16:03:00,196,196
2022 JAN 10 18:00:00,197,197
2022 JAN 11 03:51:00,202,202
2022 JAN 12 01:27:00,213,213
2022 JAN 12 11:18:00,218,218
2022 JAN 12 17:12:00,221,221
2022 JAN 13 08:54:00,229,229
2022 JAN 14 00:39:00,237,237
2022 JAN 14 12:27:00,243,243
2022 JAN 15 10:03:00,254,254
2022 JAN 15 19:54:00,259,259
2022 JAN 16 23:24:00,273,273
2022 JAN 16 17:30:00,270,270
2022 JAN 18 18:39:00,295,295
2022 JAN 19 06:27:00,301,301
2022 JAN 20 02:06:00,311,311
2022 JAN 20 13:09:00,317,317
2022 JAN 20 19:48:00,320,320
