THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
2, CO H2O 3SUBD #4, 169
6, H2O CO 2SUBD #1, 168
13, H2O CO 3SUBD #3 136, 167
21, H2O 3SUBD #1 136, 167
30, H2O 2SUBD 01, 167
52, CO 2SUBD 02, 167
79, H2O 3SUBD #1 136, 167
123, CO H2O 3SUBD #3, 167
163, H2O CO 3SUBD #2, 168
183, H2O CO 3SUBD #3 136, 167
209, H2O CO 2SUBD #3, 169
225, H2O CO 3SUBD #3 136, 167
265, CO H2O 3SUBD #3, 167
300, CO 2SUBD 02, 167
317, H2O CO 2SUBD #2, 169
333, CO H2O 3SUBD #4, 169
