UTC TIME WHEN LNO OBSERVING CLOSE TO AEOLIS MENSAE MFF, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 MAY 21 14:07:09, 59.4, 15.9, #119 #134 #149 #168 #190 #196
2019 MAY 23 15:14:36, 55.2, 15.5, #134 #136
2019 MAY 26 15:53:59, 44.1, 14.8, #167 #169
2019 MAY 30 18:06:16, 32.1, 13.8, #134 #136
2019 JUN 02 18:46:14, 23.3, 13.1, #163 #164
2019 JUN 04 19:52:32, 19.6, 12.7, #153 #158
2019 JUN 06 20:58:44, 17.5, 12.2, #134 #136
2019 JUN 09 21:37:48, 15.7, 11.5, #167 #189
2019 JUN 13 23:51:26, 27.1, 10.7, #127 #131 #169
