UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 MAY 20 14:31:01, 59.6, 16.0, #134 #136
2019 MAY 23 15:11:06, 49.4, 15.3, #134 #136
2019 MAY 27 17:23:05, 35.6, 14.4, #134 #136
2019 MAY 30 18:02:46, 25.0, 13.6, #134 #136
2019 JUN 01 19:09:44, 20.3, 13.2, #134 #136
2019 JUN 03 20:16:06, 15.1, 12.8, #134 #136
2019 JUN 06 20:54:44, 5.3, 12.0, #134 #136
2019 JUN 08 22:02:25, 11.4, 11.6, #134 #136
2019 JUN 10 23:08:33, 15.8, 11.2, #134 #136
