UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 MAY 23 15:14:06, 54.3, 15.5, #134 #136
2019 MAY 27 17:26:35, 42.1, 14.6, #134 #136
2019 MAY 30 18:06:16, 32.1, 13.8, #134 #136
2019 JUN 01 19:12:44, 27.4, 13.4, #134 #136
2019 JUN 03 20:19:06, 23.4, 13.0, #134 #136
2019 JUN 06 20:58:14, 16.0, 12.2, #134 #136
2019 JUN 08 22:05:25, 19.2, 11.8, #134 #136
2019 JUN 10 23:11:33, 21.4, 11.4, #134 #136
