MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2021 APR 20 11:18:00,73.8318,-92.1418,309.9187,3.9561,84.6275,3.8701e-14,84.6275,2021 APR 20 11:12:00,71.4418,-88.4207,433.2613,4.1069,85.3161,0.48467,85.5703
2021 MAY 01 19:24:00,-56.7627,70.3564,250.2591,15.6744,85.819,2.2935e-14,85.819,2021 MAY 01 19:27:00,-60.2336,66.7009,380.3228,15.4794,86.8135,0.45858,86.7726
2021 MAY 03 12:33:00,-52.7323,-171.0783,251.2568,15.6375,83.3398,4.2022e-14,83.3398,2021 MAY 03 12:45:00,-54.7318,-176.022,381.9294,15.5025,83.6666,0.48318,83.6103
2021 MAY 05 00:06:00,-46.6749,29.343,251.4962,15.6061,79.5821,8.996e-15,79.5821,2021 MAY 05 00:09:00,-50.1885,26.0411,379.8571,15.4344,80.4738,0.49341,80.4062
2021 MAY 05 03:51:00,-44.8188,-25.6123,252.1231,15.5928,78.3595,2.8625e-14,78.3595,2021 MAY 05 04:06:00,-46.9899,-30.1146,382.4807,15.5361,79.2368,0.50299,79.1739
2021 MAY 06 09:48:00,-37.302,-103.3935,249.8878,15.5631,73.6939,4.9093e-14,73.6939,2021 MAY 06 09:39:00,-34.2932,-99.1059,381.8338,15.7028,73.3224,0.53197,73.4372
2021 MAY 06 13:33:00,-35.0354,-158.3773,252.0636,15.5481,72.2156,4.9682e-14,72.2156,2021 MAY 06 13:36:00,-30.5934,-155.8675,383.8396,15.7639,71.9281,0.57484,72.324
2021 MAY 06 15:24:00,-38.965,174.8743,250.9944,15.5658,74.7432,4.6555e-14,74.7432,2021 MAY 06 15:30:00,-41.9952,171.1153,382.5551,15.4125,75.251,0.51146,75.2316
2021 MAY 07 23:15:00,-25.8325,69.146,252.78,15.5222,66.7695,5.5637e-14,66.7695,2021 MAY 07 23:03:00,-23.2374,73.9043,382.3492,15.645,66.7585,0.44546,66.777
2021 MAY 08 03:00:00,-23.6642,14.2421,255.3273,15.5125,65.4692,5.4905e-14,65.4692,2021 MAY 08 03:00:00,-19.5998,16.854,384.8289,15.6867,65.3936,0.45374,65.4171
