TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2023 JAN 22 19:30:00,15,15
2023 JAN 26 19:48:00,64,64
2023 JAN 27 15:27:00,74,74
2023 JAN 28 20:57:00,89,89
2023 JAN 30 04:27:00,105,105
2023 JAN 30 06:21:00,106,106
2023 JAN 30 12:15:00,109,109
2023 FEB 01 07:30:00,131,131
2023 FEB 03 18:27:00,161,161
2023 FEB 03 18:27:00,161,161
2023 FEB 04 10:12:00,169,169
2023 FEB 05 13:42:00,183,183
2023 FEB 05 19:36:00,186,186
2023 FEB 06 15:15:00,196,196
2023 FEB 07 07:00:00,204,204
2023 FEB 07 12:54:00,207,207
2023 FEB 08 16:24:00,221,221
2023 FEB 09 17:57:00,234,234
2023 FEB 10 03:48:00,239,239
2023 FEB 10 09:42:00,242,242
2023 FEB 10 11:42:00,243,243
2023 FEB 10 17:36:00,246,246
2023 FEB 11 23:06:00,261,261
2023 FEB 12 03:00:00,263,263
2023 FEB 12 05:00:00,264,264
2023 FEB 12 07:00:00,265,265
2023 FEB 13 04:33:00,276,276
2023 FEB 13 06:33:00,277,277
2023 FEB 13 08:33:00,278,278
2023 FEB 13 10:27:00,279,279
2023 FEB 13 12:27:00,280,280
2023 FEB 13 14:27:00,281,281
2023 FEB 14 14:00:00,293,293
2023 FEB 14 16:00:00,294,294
2023 FEB 14 21:51:00,297,297
2023 FEB 14 23:54:00,298,298
2023 FEB 15 01:54:00,299,299
2023 FEB 15 03:51:00,300,300
2023 FEB 15 05:48:00,301,301
2023 FEB 16 03:27:00,312,312
2023 FEB 16 05:27:00,313,313
2023 FEB 16 07:21:00,314,314
2023 FEB 16 09:21:00,315,315
2023 FEB 16 11:21:00,316,316
2023 FEB 16 15:15:00,318,318
2023 FEB 17 14:57:00,330,330
2023 FEB 17 16:54:00,331,331
2023 FEB 17 20:54:00,333,333
2023 FEB 17 20:51:00,333,333
2023 FEB 17 22:48:00,334,334
2023 FEB 18 02:51:00,336,336
2023 FEB 18 02:48:00,336,336
