Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2023 JAN 21 14:12:27,2023 JAN 21 16:10:27,7080,2023 JAN 21 14:10:28,2023 JAN 21 15:09:12,3524,2023 JAN 21 15:09:13,2023 JAN 21 16:08:27,3554,51.0025,2023 JAN 21 15:38:36
1,1,2,2023 JAN 21 16:10:28,2023 JAN 21 18:08:26,7078,2023 JAN 21 16:08:28,2023 JAN 21 17:07:11,3523,2023 JAN 21 17:07:12,2023 JAN 21 18:06:26,3554,51.2338,2023 JAN 21 17:36:34
1,1,3,2023 JAN 21 18:08:27,2023 JAN 21 20:06:22,7075,2023 JAN 21 18:06:27,2023 JAN 21 19:05:08,3521,2023 JAN 21 19:05:09,2023 JAN 21 20:04:22,3553,51.4464,2023 JAN 21 19:34:30
1,1,4,2023 JAN 21 20:06:23,2023 JAN 21 22:04:17,7074,2023 JAN 21 20:04:23,2023 JAN 21 21:03:03,3520,2023 JAN 21 21:03:04,2023 JAN 21 22:02:17,3553,51.625,2023 JAN 21 21:32:26
3,3,5,2023 JAN 21 22:04:18,2023 JAN 22 00:02:17,7079,2023 JAN 21 22:02:18,2023 JAN 21 23:01:00,3522,2023 JAN 21 23:01:01,2023 JAN 22 00:00:17,3556,51.7972,2023 JAN 21 23:30:25
1,1,6,2023 JAN 22 00:02:18,2023 JAN 22 02:00:19,7081,2023 JAN 22 00:00:18,2023 JAN 22 00:59:01,3523,2023 JAN 22 00:59:02,2023 JAN 22 01:58:19,3557,51.9879,2023 JAN 22 01:28:26
1,1,7,2023 JAN 22 02:00:20,2023 JAN 22 03:58:20,7080,2023 JAN 22 01:58:20,2023 JAN 22 02:57:04,3524,2023 JAN 22 02:57:05,2023 JAN 22 03:56:20,3555,52.1918,2023 JAN 22 03:26:27
3,3,8,2023 JAN 22 03:58:21,2023 JAN 22 05:56:19,7078,2023 JAN 22 03:56:21,2023 JAN 22 04:55:05,3524,2023 JAN 22 04:55:06,2023 JAN 22 05:54:19,3553,52.4031,2023 JAN 22 05:24:28
1,1,9,2023 JAN 22 05:56:20,2023 JAN 22 07:54:16,7076,2023 JAN 22 05:54:20,2023 JAN 22 06:53:03,3523,2023 JAN 22 06:53:04,2023 JAN 22 07:52:16,3552,52.615,2023 JAN 22 07:22:26
3,3,10,2023 JAN 22 07:54:17,2023 JAN 22 09:52:12,7075,2023 JAN 22 07:52:17,2023 JAN 22 08:50:58,3521,2023 JAN 22 08:50:59,2023 JAN 22 09:50:12,3553,52.8133,2023 JAN 22 09:20:21
