degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,160,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,165,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,165,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,165,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,170,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,170,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,170,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,175,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,175,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,175,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,180,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,180,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,180,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,185,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,185,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,185,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,190,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,190,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,190,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,195,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,195,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,195,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,200,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,200,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,200,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,205,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,205,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,205,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,210,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,210,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,210,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,215,6,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,215,6,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,215,6,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,110,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,8,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,110,8,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,140,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,140,8,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,140,8,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,170,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,170,8,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,170,8,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,195,8,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,195,8,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,195,8,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,110,10,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,10,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,110,10,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,140,10,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,140,10,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,140,10,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,110,12,78,0,2000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
0,1,1,110,12,64,0,4000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
0,1,1,110,12,56,0,6000 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
0,1,1,100,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,100,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,100,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,105,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,105,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,105,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,110,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,110,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,115,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,115,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,115,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,120,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,120,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,120,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,125,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,125,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,125,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,130,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,130,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,130,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,135,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,135,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,135,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
