MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 MAR 22 21:38:13,2021 MAR 22 21:43:13,28,28
2021 MAR 23 05:31:33,2021 MAR 23 05:36:33,32,32
2021 MAR 24 18:57:06,2021 MAR 24 18:59:00,51,51
2021 MAR 25 20:26:22,2021 MAR 25 20:31:22,64,64
2021 MAR 29 10:56:01,2021 MAR 29 11:01:01,108,108
2021 MAR 30 04:37:47,2021 MAR 30 04:38:44,117,117
2021 MAR 31 21:51:05,2021 MAR 31 21:56:05,138,138
2021 APR 02 01:31:58,2021 APR 02 01:32:17,152,152
2021 APR 02 07:22:25,2021 APR 02 07:27:25,155,155
2021 APR 02 23:06:32,2021 APR 02 23:07:28,163,163
2021 APR 03 05:03:55,2021 APR 03 05:04:01,166,166
2021 APR 04 00:26:09,2021 APR 04 00:30:00,176,176
2021 APR 05 04:02:19,2021 APR 05 04:07:19,190,190
2021 APR 06 13:27:03,2021 APR 06 13:31:08,207,207
2021 APR 08 00:49:46,2021 APR 08 00:54:46,225,225
2021 APR 09 00:28:08,2021 APR 09 00:31:34,237,237
2021 APR 09 18:08:57,2021 APR 09 18:13:57,246,246
2021 APR 12 01:15:44,2021 APR 12 01:20:44,274,274
2021 APR 12 05:09:49,2021 APR 12 05:14:49,276,276
2021 APR 12 13:03:01,2021 APR 12 13:08:01,280,280
2021 APR 14 06:23:17,2021 APR 14 06:28:17,301,301
2021 APR 15 05:59:13,2021 APR 15 06:04:13,313,313
2021 APR 15 11:53:16,2021 APR 15 11:58:16,316,316
2021 APR 16 11:22:37,2021 APR 16 11:27:37,328,328
2021 APR 16 13:23:21,2021 APR 16 13:28:21,329,329
2021 APR 17 07:02:36,2021 APR 17 07:07:36,338,338
2021 APR 17 09:00:25,2021 APR 17 09:05:25,339,339
