S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2024 APR 14 02:54:00,36.2254,-107.9741,291.1462,15.4336,75.0185,4.1009e-14,75.0185
TGO,2024 APR 14 02:36:00,37.3379,-104.4435,407.1189,15.3772,75.2416,62.1772,37.8548

MRO,2024 APR 14 04:45:00,32.5127,-134.6962,288.5164,15.4522,72.7952,2.6988e-14,72.7952
TGO,2024 APR 14 04:36:00,33.6104,-133.7141,411.8195,15.3717,72.7373,0.055371,72.6819

MRO,2024 APR 14 06:36:00,28.6882,-161.4428,286.6641,15.4689,70.5454,8.1026e-14,70.5454
TGO,2024 APR 14 06:33:00,30.9442,-163.3638,410.5423,15.2922,70.2329,0.04868,70.1855

MRO,2024 APR 14 08:27:00,24.7563,171.78,284.1186,15.4836,68.2781,1.5903e-15,68.2781
TGO,2024 APR 14 08:30:00,28.2013,166.9922,408.3663,15.2131,67.6544,0.043749,67.6175

MRO,2024 APR 14 14:12:00,51.1332,85.7119,301.1973,15.3397,84.3939,3.6353e-14,84.3939
TGO,2024 APR 14 14:30:00,46.3204,85.899,418.383,15.6442,83.4216,1.1162,84.0186

MRO,2024 APR 14 16:03:00,47.5149,59.0898,299.5673,15.3647,82.0921,8.0713e-14,82.0921
TGO,2024 APR 14 16:27:00,43.8293,56.1296,417.9609,15.5567,81.121,0.073456,81.0502

MRO,2024 APR 14 17:57:00,53.2675,30.7522,304.4481,15.3242,85.7921,2.3801e-14,85.7921
TGO,2024 APR 14 18:27:00,49.5163,29.759,421.6246,15.7444,86.2413,1.7894,88.0306

MRO,2024 APR 14 19:48:00,49.3699,4.2802,301.4144,15.3592,83.345,1.4494e-14,83.345
TGO,2024 APR 14 20:24:00,46.9435,-0.31943,419.666,15.6364,83.7918,0.079083,83.8682

MRO,2024 APR 15 14:27:00,39.596,92.7981,292.9476,15.4047,77.1729,2.8492e-14,77.1729
TGO,2024 APR 15 14:03:00,40.8323,96.6166,414.276,15.27,76.8823,0.082066,76.8004

MRO,2024 APR 15 16:18:00,35.9759,66.0446,290.5262,15.4208,74.9268,3.3053e-14,74.9268
TGO,2024 APR 15 16:00:00,38.3987,66.8663,413.7895,15.1839,74.4882,0.080633,74.4076

MRO,2024 APR 15 18:09:00,32.3133,39.3235,289.1692,15.4394,72.7229,7.6862e-14,72.7229
TGO,2024 APR 15 17:57:00,35.7922,37.1669,412.9481,15.1011,71.9656,0.076945,71.889

MRO,2024 APR 15 21:54:00,33.9856,-15.4664,289.5844,15.435,73.7829,2.7909e-14,73.7829
TGO,2024 APR 15 21:54:00,38.9457,-19.7086,414.9681,15.1522,74.6391,0.083624,74.5555

MRO,2024 APR 16 05:30:00,56.901,-128.8337,304.0954,15.2711,88.2252,5.0188e-14,88.2252
TGO,2024 APR 16 05:51:00,53.8887,-128.8396,424.7317,15.6111,88.2905,5.6483,93.9388

MRO,2024 APR 16 07:21:00,53.1681,-155.2347,303.2974,15.3108,85.8577,5.4743e-14,85.8577
TGO,2024 APR 16 07:48:00,51.5567,-158.9122,424.1046,15.5036,86.0362,2.3991,88.4353

MRO,2024 APR 17 02:00:00,43.4635,-66.4873,295.9305,15.3717,79.6953,3.1964e-14,79.6953
TGO,2024 APR 17 01:27:00,45.4678,-62.38,419.5345,15.1103,79.1189,0.095457,79.0235

MRO,2024 APR 17 03:51:00,39.7622,-93.2339,293.1175,15.3883,77.3366,8.996e-15,77.3366
TGO,2024 APR 17 03:24:00,43.0152,-92.3401,417.36,15.01,76.6094,0.098812,76.5109

MRO,2024 APR 17 05:42:00,36.1032,-119.9538,289.9609,15.4067,75.0661,3.6542e-14,75.0661
TGO,2024 APR 17 05:21:00,40.5198,-122.1614,416.1141,14.9192,74.0938,0.099712,73.9949

MRO,2024 APR 17 14:15:00,-60.4162,-67.4852,252.4921,3.2228,89.352,2.736e-14,89.352
TGO,2024 APR 17 14:18:00,-57.7578,-62.6686,379.9064,3.5925,89.1187,3.6736,92.7923

MRO,2024 APR 17 18:54:00,57.0908,45.1587,306.0928,15.2561,88.4941,2.8448e-14,88.4941
TGO,2024 APR 17 19:12:00,56.3696,43.7843,425.8558,15.4564,89.1695,0.063038,89.1072

MRO,2024 APR 18 13:33:00,47.2995,134.2248,300.734,15.3381,82.2641,4.1834e-14,82.2641
TGO,2024 APR 18 12:51:00,49.7475,138.9338,421.2069,14.9708,81.5187,3.9883,85.2076

MRO,2024 APR 18 15:24:00,43.4411,107.5409,296.6416,15.3589,79.7755,5.3812e-14,79.7755
