MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2024 APR 13 00:36:00,39.3336,-84.2345,293.4724,15.4292,76.884,9.2414e-14,76.884,2024 APR 13 01:06:00,35.4806,-88.1426,412.3174,15.6553,76.4881,0.050859,76.4396
2024 APR 13 23:00:00,31.9432,-50.672,287.7578,15.4597,72.476,4.2672e-14,72.476,2024 APR 13 22:42:00,32.5355,-47.2531,410.8919,15.3956,72.235,0.0499,72.1851
2024 APR 14 00:51:00,28.1949,-77.4946,284.8441,15.4714,70.2357,9.7928e-14,70.2357,2024 APR 14 00:39:00,29.9721,-76.8863,409.1379,15.3172,69.8122,0.043676,69.7706
2024 APR 14 06:27:00,26.6873,-159.1337,284.6435,15.4769,69.3828,1.3494e-14,69.3828,2024 APR 14 06:33:00,30.9442,-163.3638,410.5423,15.2922,70.2329,0.04868,70.1855
2024 APR 14 12:12:00,53.1069,114.7226,303.2348,15.3281,85.6716,2.7727e-14,85.6716,2024 APR 14 12:33:00,48.6328,116.0435,419.7001,15.7567,85.7494,1.197,86.9462
2024 APR 14 14:03:00,49.411,88.1032,299.6124,15.3533,83.2986,1.7992e-14,83.2986,2024 APR 14 14:30:00,46.3204,85.899,418.383,15.6442,83.4216,1.1162,84.0186
2024 APR 15 12:30:00,51.9092,120.1166,302.2016,15.3289,84.9881,3.7091e-14,84.9881,2024 APR 14 12:33:00,48.6328,116.0435,419.7001,15.7567,85.7494,1.197,86.9462
2024 APR 15 14:18:00,38.7062,95.0666,291.7319,15.41,76.6249,4.5677e-14,76.6249,2024 APR 15 14:03:00,40.8323,96.6166,414.276,15.27,76.8823,0.082073,76.8004
2024 APR 15 16:09:00,35.1372,68.3011,289.1866,15.4256,74.4171,2.5642e-14,74.4171,2024 APR 15 16:00:00,38.3987,66.8663,413.7895,15.1839,74.4882,0.080633,74.4076
2024 APR 15 18:00:00,31.563,41.5657,287.9789,15.4431,72.2738,2.7727e-14,72.2738,2024 APR 15 17:57:00,35.7922,37.1669,412.9481,15.1011,71.9656,0.076945,71.889
2024 APR 15 23:45:00,57.9968,-44.9159,305.3224,15.2717,88.9657,9.5417e-15,88.9657,2024 APR 15 23:57:00,53.2892,-41.9474,424.2835,15.6642,88.2248,0.10502,88.1549
2024 APR 16 03:27:00,50.6254,-98.0728,300.3912,15.3275,84.174,9.5417e-15,84.174,2024 APR 16 03:51:00,48.4371,-102.6677,420.6445,15.4103,83.2539,0.15928,83.413
2024 APR 16 05:21:00,56.5203,-126.5802,303.3434,15.2753,87.9809,2.5044e-14,87.9809,2024 APR 16 05:51:00,53.8887,-128.8396,424.7317,15.6111,88.2905,5.6483,93.9388
2024 APR 17 01:51:00,43.7427,-64.3022,295.8165,15.3714,79.8826,4.631e-14,79.8826,2024 APR 17 01:27:00,45.4678,-62.38,419.5345,15.1103,79.1189,0.095458,79.0235
2024 APR 17 03:42:00,40.0919,-91.0539,293.0721,15.3878,77.5527,6.3642e-15,77.5527,2024 APR 17 03:24:00,43.0152,-92.3401,417.36,15.01,76.6094,0.098812,76.5109
2024 APR 17 14:06:00,-61.0685,-65.3892,251.9819,3.2167,88.919,4.3172e-14,88.919,2024 APR 17 14:18:00,-57.7578,-62.6686,379.9064,3.5925,89.1187,3.6736,92.7923
2024 APR 17 18:45:00,57.8418,47.2442,306.1476,15.2494,88.9869,3.3358e-14,88.9869,2024 APR 17 19:12:00,56.3696,43.7843,425.8558,15.4564,89.1695,0.06304,89.1072
2024 APR 18 17:09:00,50.6576,81.2369,300.572,15.3078,84.4091,3.221e-14,84.4091,2024 APR 18 16:48:00,53.6521,83.3613,423.1336,15.1089,85.2841,0.086867,85.2011
2024 APR 18 19:00:00,47.1102,54.6143,299.3584,15.3328,82.1239,3.9213e-14,82.1239,2024 APR 18 18:45:00,50.7026,52.6832,422.9785,14.9608,82.2045,4.8389,86.7048
2024 APR 19 03:30:00,-62.1413,108.3967,250.6917,3.1878,88.0718,2.8492e-14,88.0718,2024 APR 19 03:39:00,-59.6998,109.0982,377.9011,3.3803,88.8072,0.34942,89.1557
2024 APR 20 04:42:00,55.5963,-78.4051,304.4836,15.2503,87.7275,1.4224e-14,87.7275,2024 APR 20 04:12:00,56.9053,-75.1108,426.3124,14.9836,87.1866,12.1964,98.8708
2024 APR 20 06:33:00,52.0139,-104.9799,301.6287,15.2786,85.3727,4.9784e-14,85.3727,2024 APR 20 06:09:00,55.8306,-104.8056,424.7884,14.9011,85.9422,0.095406,85.8534
2024 APR 20 20:39:00,-66.1799,-133.4184,249.8319,3.1,85.2938,3.9213e-14,85.2938,2024 APR 20 20:57:00,-64.9519,-131.7596,380.5831,3.5025,84.3951,0.32388,84.716
2024 APR 22 10:03:00,-68.1318,39.9574,251.5427,3.0431,83.8664,1.4575e-14,83.8664,2024 APR 22 10:18:00,-66.8646,41.8383,380.0883,3.4117,83.3009,0.31964,83.6152
2024 APR 22 11:54:00,-64.3148,14.2143,251.7531,3.1267,86.3193,2.0381e-14,86.3193,2024 APR 22 12:15:00,-64.7806,9.3202,380.0557,3.1411,85.9168,4.1141,90.0012
2024 APR 23 04:42:00,-59.0114,130.0558,252.2991,3.1933,89.753,2.4841e-14,89.753,2024 APR 23 03:57:00,-61.8992,133.7579,378.5312,2.7106,89.8627,8.4954,98.3146
2024 APR 23 23:27:00,-69.9197,-146.5476,249.2726,2.9942,82.5047,4.326e-14,82.5047,2024 APR 23 23:39:00,-68.5588,-144.3576,381.7614,3.3347,82.2465,0.31548,82.5539
2024 APR 25 12:51:00,-71.8776,26.5342,250.9703,2.9172,81.0771,2.0612e-14,81.0771,2024 APR 25 13:00:00,-70.2453,30.4205,380.3047,3.3222,80.925,0.67513,81.5943
2024 APR 27 04:06:00,-70.5373,174.2983,252.3673,2.9519,81.7708,4.4982e-14,81.7708,2024 APR 27 04:18:00,-69.873,170.3851,380.1184,2.8856,82.4877,0.32919,82.8025
2024 APR 30 12:30:00,-73.784,78.648,248.4816,2.7906,79.361,2.5753e-14,79.361,2024 APR 30 12:54:00,-73.5581,78.8471,380.4023,3.1931,78.4152,0.29854,78.6936
2024 MAY 03 00:18:00,-71.0334,-72.8432,250.5812,2.8656,80.9843,4.8556e-14,80.9843,2024 MAY 02 23:51:00,-73.1531,-71.798,378.5171,2.4975,80.3203,0.32772,80.6215
2024 MAY 04 19:18:00,-73.1431,18.5221,250.3143,2.7875,79.3926,2.0674e-14,79.3926,2024 MAY 04 19:06:00,-74.5032,20.7529,380.3448,2.7417,78.4535,0.31167,78.7375
2024 MAY 06 10:33:00,-72.6575,165.8482,252.0812,2.7917,79.5909,7.1119e-15,79.5909,2024 MAY 06 10:24:00,-74.4305,160.8868,378.5503,2.315,79.3179,0.32751,79.6127
2024 MAY 08 05:33:00,-75.1256,-103.8512,249.9982,2.6422,77.8561,1.4312e-14,77.8561,2024 MAY 08 05:39:00,-75.4712,-103.4579,381.5814,2.7656,77.3012,0.30628,77.5768
2024 MAY 11 15:48:00,-78.0315,133.2892,251.9839,2.4636,75.5686,9.2728e-15,75.5686,2024 MAY 11 16:12:00,-75.909,132.7697,379.8683,2.8181,76.5354,0.30312,76.8075
2024 MAY 11 21:24:00,-76.9347,52.1498,249.4695,2.5019,76.3707,2.6467e-14,76.3707,2024 MAY 11 22:06:00,-75.8452,47.9051,380.112,2.9,76.3741,0.3006,76.6448
