Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2023 SEP 02 14:44:31,2023 SEP 02 16:42:28,7077,2023 SEP 02 14:42:32,2023 SEP 02 15:41:17,3525,2023 SEP 02 15:41:18,2023 SEP 02 16:40:28,3550,5.5544,2023 SEP 02 16:10:39
1,1,2,2023 SEP 02 16:42:29,2023 SEP 02 18:40:26,7077,2023 SEP 02 16:40:29,2023 SEP 02 17:39:15,3526,2023 SEP 02 17:39:16,2023 SEP 02 18:38:26,3550,5.3152,2023 SEP 02 18:08:37
3,3,3,2023 SEP 02 18:40:27,2023 SEP 02 20:38:22,7075,2023 SEP 02 18:38:27,2023 SEP 02 19:37:11,3524,2023 SEP 02 19:37:12,2023 SEP 02 20:36:22,3550,5.0638,2023 SEP 02 20:06:33
1,1,4,2023 SEP 02 20:38:23,2023 SEP 02 22:36:16,7073,2023 SEP 02 20:36:23,2023 SEP 02 21:35:06,3523,2023 SEP 02 21:35:07,2023 SEP 02 22:34:16,3549,4.8294,2023 SEP 02 22:04:27
3,3,5,2023 SEP 02 22:36:17,2023 SEP 03 00:34:08,7071,2023 SEP 02 22:34:17,2023 SEP 02 23:32:59,3522,2023 SEP 02 23:33:00,2023 SEP 03 00:32:08,3548,4.6231,2023 SEP 03 00:02:19
1,1,6,2023 SEP 03 00:34:09,2023 SEP 03 02:32:02,7073,2023 SEP 03 00:32:09,2023 SEP 03 01:30:51,3522,2023 SEP 03 01:30:52,2023 SEP 03 02:30:02,3550,4.4255,2023 SEP 03 02:00:13
3,3,7,2023 SEP 03 02:32:03,2023 SEP 03 04:29:59,7076,2023 SEP 03 02:30:03,2023 SEP 03 03:28:47,3524,2023 SEP 03 03:28:48,2023 SEP 03 04:27:59,3551,4.2079,2023 SEP 03 03:58:09
1,1,8,2023 SEP 03 04:30:00,2023 SEP 03 06:27:57,7077,2023 SEP 03 04:28:00,2023 SEP 03 05:26:46,3526,2023 SEP 03 05:26:47,2023 SEP 03 06:25:57,3550,3.9799,2023 SEP 03 05:56:07
3,3,9,2023 SEP 03 06:27:58,2023 SEP 03 08:25:54,7076,2023 SEP 03 06:25:58,2023 SEP 03 07:24:44,3526,2023 SEP 03 07:24:45,2023 SEP 03 08:23:54,3549,3.7474,2023 SEP 03 07:54:05
1,1,10,2023 SEP 03 08:25:55,2023 SEP 03 10:23:49,7074,2023 SEP 03 08:23:55,2023 SEP 03 09:22:41,3526,2023 SEP 03 09:22:42,2023 SEP 03 10:21:49,3547,3.5159,2023 SEP 03 09:52:01
3,3,11,2023 SEP 03 10:23:50,2023 SEP 03 12:21:41,7071,2023 SEP 03 10:21:50,2023 SEP 03 11:20:34,3524,2023 SEP 03 11:20:35,2023 SEP 03 12:19:41,3546,3.292,2023 SEP 03 11:49:53
1,1,12,2023 SEP 03 12:21:42,2023 SEP 03 14:19:35,7073,2023 SEP 03 12:19:42,2023 SEP 03 13:18:26,3524,2023 SEP 03 13:18:27,2023 SEP 03 14:17:35,3548,3.0955,2023 SEP 03 13:47:46
3,3,13,2023 SEP 03 14:19:36,2023 SEP 03 16:17:32,7076,2023 SEP 03 14:17:36,2023 SEP 03 15:16:22,3526,2023 SEP 03 15:16:23,2023 SEP 03 16:15:32,3549,2.8996,2023 SEP 03 15:45:43
1,1,14,2023 SEP 03 16:17:33,2023 SEP 03 18:15:30,7077,2023 SEP 03 16:15:33,2023 SEP 03 17:14:20,3527,2023 SEP 03 17:14:21,2023 SEP 03 18:13:30,3549,2.6728,2023 SEP 03 17:43:41
3,3,15,2023 SEP 03 18:15:31,2023 SEP 03 20:13:28,7077,2023 SEP 03 18:13:31,2023 SEP 03 19:12:17,3526,2023 SEP 03 19:12:18,2023 SEP 03 20:11:28,3550,2.4242,2023 SEP 03 19:41:38
3,3,16,2023 SEP 03 20:13:29,2023 SEP 03 22:11:23,7074,2023 SEP 03 20:11:29,2023 SEP 03 21:10:12,3523,2023 SEP 03 21:10:13,2023 SEP 03 22:09:23,3550,2.1814,2023 SEP 03 21:39:33
3,3,17,2023 SEP 03 22:11:24,2023 SEP 04 00:09:15,7071,2023 SEP 03 22:09:24,2023 SEP 03 23:08:06,3522,2023 SEP 03 23:08:07,2023 SEP 04 00:07:15,3548,1.9642,2023 SEP 03 23:37:26
3,3,18,2023 SEP 04 00:09:16,2023 SEP 04 02:07:08,7072,2023 SEP 04 00:07:16,2023 SEP 04 01:05:58,3522,2023 SEP 04 01:05:59,2023 SEP 04 02:05:08,3549,1.7709,2023 SEP 04 01:35:19
1,1,19,2023 SEP 04 02:07:09,2023 SEP 04 04:05:04,7075,2023 SEP 04 02:05:09,2023 SEP 04 03:03:52,3523,2023 SEP 04 03:03:53,2023 SEP 04 04:03:04,3551,1.5641,2023 SEP 04 03:33:14
3,3,20,2023 SEP 04 04:05:05,2023 SEP 04 06:03:02,7077,2023 SEP 04 04:03:05,2023 SEP 04 05:01:50,3525,2023 SEP 04 05:01:51,2023 SEP 04 06:01:02,3551,1.3431,2023 SEP 04 05:31:11
1,1,21,2023 SEP 04 06:03:03,2023 SEP 04 08:00:59,7076,2023 SEP 04 06:01:03,2023 SEP 04 06:59:48,3525,2023 SEP 04 06:59:49,2023 SEP 04 07:58:59,3550,1.1178,2023 SEP 04 07:29:09
3,3,22,2023 SEP 04 08:01:00,2023 SEP 04 09:58:54,7074,2023 SEP 04 07:59:00,2023 SEP 04 08:57:46,3526,2023 SEP 04 08:57:47,2023 SEP 04 09:56:54,3547,0.89196,2023 SEP 04 09:27:06
1,1,23,2023 SEP 04 09:58:55,2023 SEP 04 11:56:47,7072,2023 SEP 04 09:56:55,2023 SEP 04 10:55:40,3525,2023 SEP 04 10:55:41,2023 SEP 04 11:54:47,3546,0.66444,2023 SEP 04 11:24:59
3,3,24,2023 SEP 04 11:56:48,2023 SEP 04 13:54:40,7072,2023 SEP 04 11:54:48,2023 SEP 04 12:53:31,3523,2023 SEP 04 12:53:32,2023 SEP 04 13:52:40,3548,0.47725,2023 SEP 04 13:22:51
3,3,25,2023 SEP 04 13:54:41,2023 SEP 04 15:52:36,7075,2023 SEP 04 13:52:41,2023 SEP 04 14:51:25,3524,2023 SEP 04 14:51:26,2023 SEP 04 15:50:36,3550,0.3075,2023 SEP 04 15:20:46
1,1,26,2023 SEP 04 15:52:37,2023 SEP 04 17:50:34,7077,2023 SEP 04 15:50:37,2023 SEP 04 16:49:23,3526,2023 SEP 04 16:49:24,2023 SEP 04 17:48:34,3550,0.22518,2023 SEP 04 17:18:45
