Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2020 OCT 03 15:43:59	2020 OCT 03 15:47:07	2020 OCT 03 15:47:47	228.00	-101.28	-109.38	-111.41	56.61	59.80	60.46	14.69	3	-	-	-	&mroOverlap; 	
N/A	1	Egress	2020 OCT 03 16:27:04	2020 OCT 03 16:27:45	2020 OCT 03 16:31:08	244.00	90.32	89.38	84.72	-37.91	-38.91	-43.42	4.60	3	-	-	-	&mroOverlap; 	
NOMAD	2	Ingress	2020 OCT 03 17:41:54	2020 OCT 03 17:45:02	2020 OCT 03 17:45:41	227.00	-130.03	-138.09	-140.06	56.66	59.82	60.46	14.69	1	6SUBD CH4 H2O #1	Science: orders #169, #132, #133, #134, #136, #137, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (135:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	2	Egress	2020 OCT 03 18:25:00	2020 OCT 03 18:25:41	2020 OCT 03 18:29:03	243.00	61.46	60.53	55.90	-38.15	-39.14	-43.59	4.59	1	-	-	-		
N/A	3	Ingress	2020 OCT 03 19:39:52	2020 OCT 03 19:42:59	2020 OCT 03 19:43:38	226.00	-158.84	-166.81	-168.77	56.72	59.84	60.48	14.69	14	-	-	-		
ACS	3	Egress	2020 OCT 03 20:23:00	2020 OCT 03 20:23:41	2020 OCT 03 20:27:02	242.00	32.57	31.64	27.05	-38.40	-39.38	-43.76	4.58	14	-	-	-		
NOMAD	4	Ingress	2020 OCT 03 21:37:52	2020 OCT 03 21:40:58	2020 OCT 03 21:41:37	225.00	172.32	164.42	162.48	56.81	59.87	60.51	14.68	1	6SUBD Nominal #3	Science: orders #167, #136, #169, #121, #190, #192, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:AEOLIS MENSAE MFF; &daysideMatch:CURIOSITY; 	
N/A	4	Egress	2020 OCT 03 22:21:02	2020 OCT 03 22:21:43	2020 OCT 03 22:25:04	242.00	3.67	2.74	-1.86	-38.67	-39.64	-43.98	4.57	1	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; &daysideMatch:CURIOSITY; 	
N/A	5	Ingress	2020 OCT 03 23:35:50	2020 OCT 03 23:38:56	2020 OCT 03 23:39:35	225.00	143.52	135.66	133.72	56.87	59.91	60.54	14.68	14	-	-	-		
ACS	5	Egress	2020 OCT 04 00:19:02	2020 OCT 04 00:19:43	2020 OCT 04 00:23:03	241.00	-25.25	-26.18	-30.76	-38.96	-39.93	-44.21	4.55	14	-	-	-		
N/A	6	Ingress	2020 OCT 04 01:33:46	2020 OCT 04 01:36:52	2020 OCT 04 01:37:31	225.00	114.69	106.86	104.92	56.95	59.96	60.59	14.67	14	-	-	-	&mroOverlap; &acsSolarCalibration	
N/A	6	Egress	2020 OCT 04 02:17:00	2020 OCT 04 02:17:41	2020 OCT 04 02:21:01	241.00	-54.17	-55.10	-59.68	-39.26	-40.21	-44.46	4.54	14	-	-	-	&mroOverlap; &acsSolarCalibration	
N/A	7	Ingress	2020 OCT 04 03:31:40	2020 OCT 04 03:34:46	2020 OCT 04 03:35:25	225.00	85.86	78.04	76.12	57.04	60.02	60.64	14.66	14	-	-	-		
N/A	7	Egress	2020 OCT 04 04:14:56	2020 OCT 04 04:15:37	2020 OCT 04 04:18:57	241.00	-83.05	-83.99	-88.57	-39.52	-40.47	-44.68	4.52	14	-	-	-		
NOMAD	8	Ingress	2020 OCT 04 05:29:35	2020 OCT 04 05:32:40	2020 OCT 04 05:33:19	224.00	57.04	49.30	47.39	57.11	60.06	60.67	14.66	1	All Fullscan Fast #2	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (6 order(s) per 1 second(s))	COP row 394: SO: Horizontal Bin (135:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	8	Egress	2020 OCT 04 06:12:52	2020 OCT 04 06:13:32	2020 OCT 04 06:16:52	240.00	-111.91	-112.82	-117.39	-39.75	-40.66	-44.84	4.51	1	-	-	-		
N/A	9	Ingress	2020 OCT 04 07:27:32	2020 OCT 04 07:30:36	2020 OCT 04 07:31:15	223.00	28.33	20.69	18.80	57.14	60.04	60.65	14.66	1	-	-	-		
NOMAD	9	Egress	2020 OCT 04 08:10:50	2020 OCT 04 08:11:30	2020 OCT 04 08:14:48	238.00	-140.79	-141.70	-146.22	-40.00	-40.90	-44.99	4.50	1	HCL #11	Science: orders #121, #136, #126, #127, #129, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (135:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1134 ms, Binning=7		
