Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2022 JAN 22 15:10:11,2022 JAN 22 17:08:02,7071,2022 JAN 22 15:08:11,2022 JAN 22 16:07:00,3529,2022 JAN 22 16:07:01,2022 JAN 22 17:06:02,3541,15.1007,2022 JAN 22 16:36:16
1,1,2,2022 JAN 22 17:08:03,2022 JAN 22 19:05:57,7074,2022 JAN 22 17:06:03,2022 JAN 22 18:04:53,3530,2022 JAN 22 18:04:54,2022 JAN 22 19:03:57,3543,15.3218,2022 JAN 22 18:34:09
3,3,3,2022 JAN 22 19:05:58,2022 JAN 22 21:03:54,7076,2022 JAN 22 19:03:58,2022 JAN 22 20:02:49,3531,2022 JAN 22 20:02:50,2022 JAN 22 21:01:54,3544,15.546,2022 JAN 22 20:32:07
1,1,4,2022 JAN 22 21:03:55,2022 JAN 22 23:01:52,7077,2022 JAN 22 21:01:55,2022 JAN 22 22:00:47,3532,2022 JAN 22 22:00:48,2022 JAN 22 22:59:52,3544,15.7938,2022 JAN 22 22:30:05
3,3,5,2022 JAN 22 23:01:53,2022 JAN 23 00:59:50,7077,2022 JAN 22 22:59:53,2022 JAN 22 23:58:44,3531,2022 JAN 22 23:58:45,2022 JAN 23 00:57:50,3545,16.0557,2022 JAN 23 00:28:02
1,1,6,2022 JAN 23 00:59:51,2022 JAN 23 02:57:44,7073,2022 JAN 23 00:57:51,2022 JAN 23 01:56:40,3529,2022 JAN 23 01:56:41,2022 JAN 23 02:55:44,3543,16.3075,2022 JAN 23 02:25:56
1,1,7,2022 JAN 23 02:57:45,2022 JAN 23 04:55:36,7071,2022 JAN 23 02:55:45,2022 JAN 23 03:54:33,3528,2022 JAN 23 03:54:34,2022 JAN 23 04:53:36,3542,16.535,2022 JAN 23 04:23:49
3,3,8,2022 JAN 23 04:55:37,2022 JAN 23 06:53:30,7073,2022 JAN 23 04:53:37,2022 JAN 23 05:52:25,3528,2022 JAN 23 05:52:26,2022 JAN 23 06:51:30,3544,16.7512,2022 JAN 23 06:21:43
3,3,9,2022 JAN 23 06:53:31,2022 JAN 23 08:51:26,7075,2022 JAN 23 06:51:31,2022 JAN 23 07:50:20,3529,2022 JAN 23 07:50:21,2022 JAN 23 08:49:26,3545,16.9858,2022 JAN 23 08:19:38
3,3,10,2022 JAN 23 08:51:27,2022 JAN 23 10:49:24,7077,2022 JAN 23 08:49:27,2022 JAN 23 09:48:18,3531,2022 JAN 23 09:48:19,2022 JAN 23 10:47:24,3545,17.2322,2022 JAN 23 10:17:35
