S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2026 JAN 21 01:30:00,42.6002,23.13,297.05,15.5922,74.2006,2.6228e-14,74.2006
TGO,2026 JAN 21 01:36:00,41.5442,22.8094,415.5326,15.6683,74.2977,0.05661,74.2596

MRO,2026 JAN 21 03:21:00,38.6102,-3.5199,293.5091,15.6158,72.1781,7.4566e-14,72.1781
TGO,2026 JAN 21 03:36:00,35.5842,-4.1715,413.0755,15.8158,72.5768,0.041498,72.5621

MRO,2026 JAN 22 05:33:00,41.3944,-26.2209,295.0609,15.5975,73.7643,5.8991e-14,73.7643
TGO,2026 JAN 22 05:06:00,43.6158,-23.1729,419.2388,15.3628,73.0085,0.066086,72.9487

MRO,2026 JAN 22 07:24:00,37.4523,-52.9709,292.2173,15.6142,71.7161,6.0764e-14,71.7161
TGO,2026 JAN 22 07:06:00,37.7343,-49.9644,415.5988,15.5228,70.9772,0.049693,70.9394

MRO,2026 JAN 22 09:15:00,33.6252,-79.7636,289.3954,15.6283,69.7797,3.7227e-14,69.7797
TGO,2026 JAN 22 09:06:00,31.7138,-77.1007,410.8877,15.6597,69.1017,0.023843,69.0925

MRO,2026 JAN 22 11:06:00,29.8932,-106.5443,286.2206,15.6431,67.9821,3.7227e-14,67.9821
TGO,2026 JAN 22 11:06:00,25.5423,-104.486,405.9447,15.7803,67.4054,0.024618,67.4298

MRO,2026 JAN 22 13:00:00,35.6758,-134.639,290.6283,15.6189,70.8218,3.1806e-14,70.8218
TGO,2026 JAN 22 13:00:00,36.7743,-136.3631,413.762,15.5042,70.2872,0.046922,70.2512

MRO,2026 JAN 22 14:51:00,31.8263,-161.3613,288.9212,15.6378,68.9576,6.3611e-15,68.9576
TGO,2026 JAN 22 15:00:00,30.6611,-163.5991,410.0329,15.6344,68.3107,0.018325,68.3047

MRO,2026 JAN 22 16:42:00,27.8701,171.8801,286.4906,15.6539,67.1029,6.8516e-14,67.1029
TGO,2026 JAN 22 17:00:00,24.6249,168.8729,405.7326,15.7456,66.5851,0.029168,66.6126

MRO,2026 JAN 23 17:00:00,25.3836,177.2648,284.1021,15.6589,66.054,5.7648e-14,66.054
TGO,2026 JAN 23 16:33:00,30.0245,-179.6229,409.2265,15.4283,65.8834,0.015774,65.87

MRO,2026 JAN 23 18:51:00,21.4,150.4715,281.1165,15.6728,64.3142,4.498e-14,64.3142
TGO,2026 JAN 23 18:33:00,24.0314,152.8285,404.9968,15.5381,63.9604,0.028535,63.9828

MRO,2026 JAN 23 20:42:00,17.4272,123.6673,277.5428,15.6861,62.6873,6.7395e-14,62.6873
TGO,2026 JAN 23 20:33:00,18.0114,125.1336,400.5599,15.6378,62.3282,0.082544,62.3877

MRO,2026 JAN 23 22:33:00,13.5806,96.8492,274.0733,15.6983,61.2262,2.0365e-14,61.2262
TGO,2026 JAN 23 22:33:00,11.8583,97.3684,396.0584,15.7331,61.0036,0.14543,61.099

MRO,2026 JAN 24 00:24:00,9.9003,70.0189,271.6456,15.71,59.9446,2.4841e-14,59.9446
TGO,2026 JAN 24 00:33:00,5.5201,69.5676,391.6443,15.8258,60.0203,0.21541,60.1472

MRO,2026 JAN 24 00:27:00,19.4765,68.7992,278.0873,15.6772,63.5084,3.0173e-14,63.5084
TGO,2026 JAN 24 00:27:00,23.2075,66.2694,402.6579,15.5086,63.2277,0.034624,63.2534

MRO,2026 JAN 24 02:18:00,15.7798,42.0016,276.7959,15.6908,62.0609,9.1354e-14,62.0609
TGO,2026 JAN 24 02:27:00,16.9116,38.6082,398.646,15.6106,61.5141,0.092785,61.579

MRO,2026 JAN 24 04:09:00,11.8422,15.2122,274.5438,15.7053,60.6404,3.2938e-14,60.6404
TGO,2026 JAN 24 04:27:00,10.7931,10.7741,396.1937,15.7011,60.179,0.15675,60.2796

MRO,2026 JAN 25 04:24:00,-0.032507,21.7476,267.0331,15.7378,57.1238,5.4069e-14,57.1238
TGO,2026 JAN 25 04:06:00,-1.4547,25.6551,388.8584,15.7064,56.2788,0.29469,56.4313

MRO,2026 JAN 25 06:15:00,-4.0686,-5.0723,264.7679,15.75,56.2532,1.1901e-14,56.2532
TGO,2026 JAN 25 06:06:00,-7.5251,-2.2603,387.2984,15.7917,56.1057,0.36196,56.2709

MRO,2026 JAN 25 08:06:00,-8.0935,-31.9,262.2591,15.7617,55.5601,1.8062e-14,55.5601
TGO,2026 JAN 25 08:03:00,-4.692,-31.7055,389.2745,15.7261,55.7587,0.33113,55.9193

MRO,2026 JAN 25 09:57:00,-12.0385,-58.7278,259.7932,15.7733,55.0666,1.8062e-14,55.0666
TGO,2026 JAN 25 10:03:00,-10.8459,-59.5902,386.9265,15.8133,55.8262,0.39681,55.994

MRO,2026 JAN 25 11:51:00,-6.198,-86.7449,261.916,15.7544,55.838,2.8669e-14,55.838
TGO,2026 JAN 25 12:00:00,-8.2267,-88.9788,387.2258,15.7514,55.3844,0.36949,55.5504

MRO,2026 JAN 25 13:42:00,-9.9505,-113.5625,260.5598,15.7667,55.296,3.5022e-14,55.296
TGO,2026 JAN 25 13:57:00,-5.6496,-118.3281,387.9052,15.6922,55.0536,0.34165,55.2161
TGO,2026 JAN 25 14:00:00,-14.5536,-116.7567,384.4359,15.8458,55.7795,0.43315,55.9467

MRO,2026 JAN 26 15:48:00,-25.8484,-133.7588,255.7143,15.8175,54.757,3.2591e-14,54.757
TGO,2026 JAN 26 15:36:00,-24.096,-130.9837,381.7523,15.8078,54.6116,0.51048,54.76

MRO,2026 JAN 26 17:42:00,-20.0943,-161.8509,257.7636,15.7933,54.5112,5.636e-14,54.5112
TGO,2026 JAN 26 17:33:00,-21.3928,-160.4892,383.3231,15.7383,53.687,0.49107,53.8418

MRO,2026 JAN 26 19:33:00,-24.1386,171.3371,256.1884,15.8061,54.5759,3.1806e-14,54.5759
TGO,2026 JAN 26 19:33:00,-27.4879,171.9153,382.3336,15.8447,55.1528,0.53147,55.2911

MRO,2026 JAN 26 21:21:00,-37.9272,145.9309,253.264,15.8639,56.396,4.8549e-14,56.396
TGO,2026 JAN 26 21:33:00,-33.561,144.5302,380.4296,15.965,57.0769,0.55956,57.1972

MRO,2026 JAN 26 21:24:00,-28.2202,144.5706,255.0534,15.8219,54.8745,2.3801e-14,54.8745
TGO,2026 JAN 26 21:30:00,-24.7028,142.3058,381.8634,15.7681,54.0547,0.51421,54.2003

MRO,2026 JAN 26 23:15:00,-32.2405,117.8518,254.1315,15.8408,55.3938,6.5569e-14,55.3938
TGO,2026 JAN 26 23:30:00,-30.8712,114.8372,379.4468,15.8831,55.8174,0.54825,55.9446

MRO,2026 JAN 27 01:09:00,-26.3966,89.7882,254.9143,15.8186,54.7527,3.7091e-14,54.7527
TGO,2026 JAN 27 01:27:00,-28.3052,85.2574,379.2116,15.8086,54.6874,0.5353,54.8215

MRO,2026 JAN 28 01:24:00,-38.7455,96.59,253.2286,15.8689,56.4257,4.1225e-14,56.4257
TGO,2026 JAN 28 01:06:00,-40.273,101.5078,377.9324,15.9047,57.0885,0.57176,57.1797

MRO,2026 JAN 28 05:06:00,-46.2814,43.2039,252.5048,15.91,58.3328,5.3694e-14,58.3328
TGO,2026 JAN 28 05:03:00,-43.9891,45.1446,378.9252,15.9908,58.6762,0.57326,58.7592

MRO,2026 JAN 28 07:00:00,-40.5837,14.9258,254.3844,15.8736,56.7603,1.0183e-14,56.7603
TGO,2026 JAN 28 07:00:00,-41.2316,15.1532,379.4883,15.8889,57.0459,0.57199,57.1327

MRO,2026 JAN 28 08:54:00,-34.9672,-13.2343,255.1119,15.845,55.5755,4.5008e-14,55.5755
TGO,2026 JAN 28 08:57:00,-38.424,-14.7936,380.2006,15.7897,55.4208,0.56807,55.5131

MRO,2026 JAN 28 10:42:00,-48.7293,-38.3553,253.0613,15.9219,59.0047,5.5181e-14,59.0047
TGO,2026 JAN 28 10:57:00,-44.4542,-41.5184,380.196,15.9542,58.3483,0.57216,58.4276

MRO,2026 JAN 28 12:36:00,-42.944,-66.6122,251.8201,15.8869,57.3203,4.1225e-14,57.3203
TGO,2026 JAN 28 12:54:00,-41.8878,-71.5245,379.9208,15.8514,56.7242,0.57131,56.8062

MRO,2026 JAN 29 14:45:00,-49.1288,-87.7201,251.1361,15.925,58.9409,3.7196e-14,58.9409
TGO,2026 JAN 29 14:30:00,-51.1921,-83.3225,379.0172,15.975,59.9342,0.55727,59.9957

MRO,2026 JAN 29 18:27:00,-56.6908,-140.7789,252.8015,15.9881,61.5806,2.0365e-14,61.5806
TGO,2026 JAN 29 18:27:00,-54.6473,-138.8239,379.9681,16.1183,62.05,0.54695,62.1149

MRO,2026 JAN 29 20:21:00,-50.9401,-169.377,252.4105,15.9303,59.423,8.996e-15,59.423
TGO,2026 JAN 29 20:24:00,-52.0072,-169.5091,380.8942,15.97,60.0658,0.55429,60.1253

MRO,2026 JAN 29 22:15:00,-45.2646,162.2854,252.3111,15.89,57.6288,3.1806e-14,57.6288
TGO,2026 JAN 29 22:21:00,-49.3369,159.9909,380.1327,15.8342,58.0914,0.55967,58.1478

MRO,2026 JAN 30 00:03:00,-59.0461,137.7921,252.1322,16.0086,62.4299,3.7363e-14,62.4299
TGO,2026 JAN 30 00:21:00,-55.2424,134.7041,378.3922,16.0944,61.9672,0.54337,62.0294

MRO,2026 JAN 31 02:15:00,-55.4627,114.8141,251.8664,15.9703,60.8282,3.0878e-14,60.8282
