NOM_02, OCCEG, 278, 310
NOM_02, OCCIN, 251
NOM_03, OCCEG, 9, 14, 16, 17, 24, 46, 62, 78, 107, 113, 122, 126, 138, 181, 199, 206, 211, 220, 226, 233, 235, 245, 250, 259, 261, 265, 266, 268, 277, 285, 291, 296, 297, 302, 306, 316, 332, 335, 337
NOM_03, OCCIN, 3, 20, 29, 56, 58, 61, 67, 69, 118, 129, 143, 158, 160, 169, 174, 183, 189, 206, 229, 236, 242, 253, 261, 265, 266, 283, 300, 314, 325, 334, 337, 339
CO_001, OCCEG, 22, 151, 194, 223
CO_001, OCCIN, 9, 31, 313
CO_002, OCCEG, 5, 32, 34, 37, 66, 97, 140, 209, 236, 242, 243, 251, 253, 286, 300, 328, 341
CO_002, OCCIN, 5, 16, 73, 92, 104, 116, 185, 203, 226, 268, 273, 275, 277, 285, 297, 320, 328
CO2_01, OCCEG, 51, 55, 76, 124, 179, 271, 339
CO2_01, OCCIN, 11, 27, 38, 42, 90, 102, 154, 156, 187, 215, 233, 248, 256, 288, 310
CO2_02, OCCEG, 3, 11, 136, 142, 163, 165, 190, 212, 215, 217, 229, 239, 263, 270, 288, 290, 321, 325, 327, 330
CO2_02, OCCIN, 14, 40, 44, 106, 146, 148, 211, 223, 235, 239, 280, 302, 316, 327, 330
HCL_01, OCCEG, 53, 93, 99, 115, 149, 153, 228, 248, 283, 294, 308, 320
HCL_01, OCCIN, 8, 88, 100, 133, 217, 228, 243, 245, 270
FUL_01, OCCEG, 84, 109, 161, 177, 192, 221, 280, 304, 334
FUL_01, OCCIN, 75, 127, 176, 212, 250, 290, 304, 308
