Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	63	Ingress	2023 JAN 21 14:19:29	2023 JAN 21 14:24:17	2023 JAN 21 14:25:22	353.00	136.82	133.94	133.32	37.66	24.78	21.66	18.17	3	-	-	-	&daysideMatch:ARGYRE; 	
N/A	1	63	Egress	2023 JAN 21 14:54:55	2023 JAN 21 14:56:03	2023 JAN 21 15:01:16	381.00	84.53	64.89	-31.14	-81.40	-83.59	-77.83	14.08	3	-	-	-	&daysideMatch:ARGYRE; 	
N/A	2	63	Ingress	2023 JAN 21 16:17:32	2023 JAN 21 16:22:21	2023 JAN 21 16:23:27	355.00	108.05	105.17	104.54	37.33	24.38	21.19	18.17	1	-	-	-		
NOMAD	2	63	Egress	2023 JAN 21 16:52:52	2023 JAN 21 16:54:01	2023 JAN 21 16:59:16	384.00	56.13	36.34	-60.01	-81.32	-83.56	-77.73	14.09	1	6SUBD CO2 #23	Science: orders #186, #190, #132, #148, #156, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	3	63	Ingress	2023 JAN 21 18:15:32	2023 JAN 21 18:20:24	2023 JAN 21 18:21:30	358.00	79.31	76.40	75.77	37.10	23.97	20.78	18.16	1	6SUBD Nominal #51	Science: orders #121, #136, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&ingressMatch:PERSEVERANCE; 	
NOMAD	3	63	Egress	2023 JAN 21 18:50:46	2023 JAN 21 18:51:55	2023 JAN 21 18:57:14	388.00	27.80	8.30	-88.92	-81.22	-83.50	-77.61	14.14	1	6SUBD CO2 CO #25	Science: orders #156, #123, #118, #148, #186, #132, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&ingressMatch:PERSEVERANCE; 	
N/A	4	63	Ingress	2023 JAN 21 20:13:28	2023 JAN 21 20:18:22	2023 JAN 21 20:19:29	361.00	50.59	47.66	47.02	36.89	23.63	20.38	18.16	1	-	-	-		
NOMAD	4	63	Egress	2023 JAN 21 20:48:36	2023 JAN 21 20:49:46	2023 JAN 21 20:55:06	390.00	-0.29	-19.67	-117.50	-81.09	-83.43	-77.62	14.18	1	6SUBD CO2 #12	Science: orders #156, #132, #118, #140, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	5	63	Ingress	2023 JAN 21 22:11:26	2023 JAN 21 22:16:22	2023 JAN 21 22:17:29	363.00	21.84	18.89	18.26	36.54	23.16	19.90	18.16	3	-	-	-		
ACS	5	63	Egress	2023 JAN 21 22:46:26	2023 JAN 21 22:47:36	2023 JAN 21 22:52:57	391.00	-28.49	-47.45	-146.01	-80.96	-83.34	-77.66	14.24	3	-	-	-		
NOMAD	6	63	Ingress	2023 JAN 22 00:09:30	2023 JAN 22 00:14:27	2023 JAN 22 00:15:35	365.00	-6.95	-9.90	-10.55	36.05	22.59	19.28	18.15	1	6SUBD CO2 H2O #14	Science: orders #121, #134, #148, #132, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	6	63	Egress	2023 JAN 22 00:44:23	2023 JAN 22 00:45:34	2023 JAN 22 00:50:57	394.00	-57.23	-76.56	-175.01	-80.94	-83.35	-77.50	14.22	1	6SUBD CO2 #13	Science: orders #156, #132, #118, #169, #154, #140, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	7	63	Ingress	2023 JAN 22 02:07:36	2023 JAN 22 02:12:35	2023 JAN 22 02:13:43	367.00	-35.76	-38.72	-39.36	35.57	21.98	18.66	18.15	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
NOMAD	7	63	Egress	2023 JAN 22 02:42:21	2023 JAN 22 02:43:33	2023 JAN 22 02:48:58	397.00	-85.74	-105.27	156.08	-80.88	-83.33	-77.38	14.22	1	6SUBD CO2 #24	Science: orders #186, #190, #132, #148, #155, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
ACS	8	63	Ingress	2023 JAN 22 04:05:40	2023 JAN 22 04:10:41	2023 JAN 22 04:11:50	370.00	-64.54	-67.51	-68.16	35.19	21.48	18.09	18.15	14	-	-	-		
ACS	8	63	Egress	2023 JAN 22 04:40:16	2023 JAN 22 04:41:28	2023 JAN 22 04:46:56	400.00	-113.71	-132.60	127.48	-80.70	-83.20	-77.39	14.31	14	-	-	-		
NOMAD	9	63	Ingress	2023 JAN 22 06:03:41	2023 JAN 22 06:08:44	2023 JAN 22 06:09:54	373.00	-93.29	-96.28	-96.95	34.89	21.04	17.60	18.14	1	CO Fullscan Fast #2	Diffraction order stepping (fullscan): 10 orders from 185 to 195 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
NOMAD	9	63	Egress	2023 JAN 22 06:38:09	2023 JAN 22 06:39:22	2023 JAN 22 06:44:53	404.00	-141.60	-160.13	98.84	-80.49	-83.09	-77.38	14.38	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	10	63	Ingress	2023 JAN 22 08:01:39	2023 JAN 22 08:06:45	2023 JAN 22 08:07:55	376.00	-122.02	-125.04	-125.71	34.64	20.61	17.16	18.14	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	10	63	Egress	2023 JAN 22 08:36:01	2023 JAN 22 08:37:15	2023 JAN 22 08:42:48	407.00	-169.95	171.47	70.05	-80.39	-83.04	-77.31	14.40	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
NOMAD	11	63	Ingress	2023 JAN 22 09:59:37	2023 JAN 22 10:04:45	2023 JAN 22 10:05:56	379.00	-150.77	-153.81	-154.48	34.32	20.18	16.67	18.14	1	6SUBD CO2 #17	Science: orders #123, #142, #148, #155, #156, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
