MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 JAN 25 17:32:08,2020 JAN 25 17:36:13,2,2
2020 JAN 27 10:48:48,2020 JAN 27 10:53:48,23,23
2020 JAN 27 12:50:42,2020 JAN 27 12:50:50,24,24
2020 JAN 29 09:58:27,2020 JAN 29 10:02:57,47,47
2020 JAN 29 21:48:14,2020 JAN 29 21:51:42,53,53
2020 JAN 31 23:05:20,2020 JAN 31 23:06:00,78,78
2020 FEB 01 10:44:39,2020 FEB 01 10:48:55,84,84
2020 FEB 01 16:46:20,2020 FEB 01 16:47:31,87,87
2020 FEB 01 20:32:29,2020 FEB 01 20:37:29,89,89
2020 FEB 02 22:04:04,2020 FEB 02 22:09:04,102,102
2020 FEB 03 21:41:09,2020 FEB 03 21:45:07,114,114
2020 FEB 04 09:29:27,2020 FEB 04 09:29:51,120,120
2020 FEB 04 11:24:24,2020 FEB 04 11:29:24,121,121
2020 FEB 06 02:49:37,2020 FEB 06 02:54:37,141,141
2020 FEB 06 06:41:47,2020 FEB 06 06:43:13,143,143
2020 FEB 06 18:29:42,2020 FEB 06 18:34:42,149,149
2020 FEB 08 19:40:39,2020 FEB 08 19:45:39,174,174
2020 FEB 12 02:13:27,2020 FEB 12 02:18:27,214,214
2020 FEB 12 04:13:24,2020 FEB 12 04:18:24,215,215
2020 FEB 13 19:25:10,2020 FEB 13 19:30:10,235,235
2020 FEB 15 19:32:16,2020 FEB 15 19:37:16,259,259
2020 FEB 16 23:09:07,2020 FEB 16 23:12:27,273,273
2020 FEB 18 06:34:20,2020 FEB 18 06:38:24,289,289
2020 FEB 19 02:14:19,2020 FEB 19 02:19:19,299,299
