Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Region of residual magnetic field,1,3,127,2025 JUN 17 22:54:22,2025 JUN 17 22:54:38,-69.8976,-141.4916,-69.3399,-140,122.9771,124.289,128.4067,129.1705,5.4353,4.8848,21.1264,21.2303
Region of residual magnetic field,2,1,152,2025 JUN 20 00:01:56,2025 JUN 20 00:02:52,-69.8949,-144.8954,-67.9002,-140,119.366,123.2787,126.617,129.2246,7.3939,6.0427,20.7158,21.0569
Region of residual magnetic field,3,3,177,2025 JUN 22 01:09:51,2025 JUN 22 01:11:29,-69.8906,-148.401,-66.0667,-140,125.0484,129.7481,124.6911,129.3468,0.44939,0.48379,20.3039,20.8903
Region of residual magnetic field,4,1,190,2025 JUN 23 02:42:38,2025 JUN 23 02:50:35,-69.8907,-164.5573,-48.818,-140,123.9983,145.4871,123.6567,145.0326,0.44907,0.55419,20.0919,21.8581
Region of residual magnetic field,5,3,202,2025 JUN 24 02:17:27,2025 JUN 24 02:19:54,-69.8905,-150.4829,-64.1274,-140,116.6879,127.6036,123.093,129.2894,6.419,1.7479,19.9817,20.7203
Region of residual magnetic field,6,1,215,2025 JUN 25 03:50:14,2025 JUN 25 04:00:58,-69.8895,-166.5624,-41.0447,-140,115.6085,147.3945,122.0495,147.1039,6.4481,0.60285,19.775,21.7197
Region of residual magnetic field,7,3,227,2025 JUN 26 03:25:10,2025 JUN 26 03:28:39,-69.8884,-153.6094,-61.3891,-140,114.6009,128.4705,121.1073,129.3463,6.5208,1.0047,19.5917,20.5556
Region of residual magnetic field,8,1,239,2025 JUN 27 03:00:05,2025 JUN 27 03:00:14,-69.8879,-140.9055,-69.5471,-140,113.9203,114.2354,120.0699,120.4528,6.157,6.225,19.3919,19.4547
Region of residual magnetic field,9,3,240,2025 JUN 27 04:57:59,2025 JUN 27 05:12:27,-69.8907,-171.3183,-29.8272,-140,119.6892,147.8445,119.4889,147.6644,0.48086,0.53791,19.2769,21.5994
Region of residual magnetic field,10,3,241,2025 JUN 27 06:55:49,2025 JUN 27 07:17:00,-69.8881,161.168,-10.0989,-164.8892,113.4828,147.677,119.8739,147.5959,6.4074,0.35049,19.3542,21.9608
Region of residual magnetic field,11,1,242,2025 JUN 27 08:58:57,2025 JUN 27 09:14:56,-56.7629,150.0378,-10.0989,166.145,131.6123,147.4572,131.3606,147.3692,0.58346,0.34839,20.6097,21.9428
Region of residual magnetic field,12,1,252,2025 JUN 28 04:32:51,2025 JUN 28 04:37:37,-69.8876,-157.0301,-57.8686,-140,113.2668,129.2177,118.9655,129.3373,5.7068,0.52942,19.1817,20.3944
Region of residual magnetic field,13,3,253,2025 JUN 28 06:30:43,2025 JUN 28 06:51:52,-69.8878,173.9614,-10.0989,-152.1028,113.0759,145.1915,118.8513,145.1008,5.7921,0.35062,19.1597,21.7656
Region of residual magnetic field,14,3,264,2025 JUN 29 04:07:46,2025 JUN 29 04:08:30,-69.8877,-144.3505,-68.1603,-140,112.8609,113.6916,117.8993,119.6921,5.0576,6.0177,18.9803,19.2822
Region of residual magnetic field,15,1,265,2025 JUN 29 06:05:37,2025 JUN 29 06:25:29,-69.888,-173.3964,-13.8583,-140,112.9571,143.3632,117.7701,143.2764,4.8224,0.39143,18.9556,21.5042
Region of residual magnetic field,16,3,266,2025 JUN 29 08:03:30,2025 JUN 29 08:24:39,-69.8884,157.5158,-10.0989,-168.2813,112.7156,142.4217,117.63,142.3281,4.9359,0.35279,18.9286,21.5519
Region of residual magnetic field,17,1,267,2025 JUN 29 10:08:19,2025 JUN 29 10:22:36,-51.9782,150.0291,-10.0989,162.7537,131.6008,142.1897,131.3765,142.0959,0.59745,0.3529,20.4544,21.5344
Region of residual magnetic field,18,1,277,2025 JUN 30 05:40:32,2025 JUN 30 05:46:55,-69.8888,-160.8412,-53.3097,-140,112.944,129.3627,116.6553,129.1494,3.7235,0.59164,18.7456,20.2386
Region of residual magnetic field,19,1,278,2025 JUN 30 07:38:24,2025 JUN 30 07:59:32,-69.8894,170.0093,-10.0989,-155.4969,112.944,139.8577,116.4918,139.762,3.5606,0.35437,18.7144,21.3569
Region of residual magnetic field,20,3,279,2025 JUN 30 09:38:01,2025 JUN 30 09:57:28,-65.8443,150.069,-10.0989,175.5362,114.2519,139.6189,120.2065,139.523,5.9736,0.35448,19.3256,21.3389
Region of residual magnetic field,21,3,289,2025 JUL 01 05:15:27,2025 JUL 01 05:16:55,-69.8897,-148.3206,-66.3954,-140,112.8254,113.2756,115.5255,118.8323,2.7359,5.5767,18.5336,19.1122
