Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	13	Nightside	2019 MAR 23 15:11:45	2019 MAR 23 15:41:26	2019 MAR 23 16:11:07	3562.16	-42.91	97.95	122.65	41.62	44.19	-41.91	112.09	3.87	3	-	-	-		
1	13	Dayside	2019 MAR 23 16:11:07	2019 MAR 23 16:40:27	2019 MAR 23 17:09:47	3520.04	122.65	-95.75	-71.62	-41.91	-42.85	42.22	67.83	15.92	3	LNO Ice Index 2SUBD 01	Science: orders #153, #158, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
2	13	Nightside	2019 MAR 23 17:09:47	2019 MAR 23 17:39:27	2019 MAR 23 18:09:08	3560.45	-71.62	69.34	93.95	42.22	43.65	-42.47	112.22	3.88	14	-	-	-		
2	13	Dayside	2019 MAR 23 18:09:08	2019 MAR 23 18:38:27	2019 MAR 23 19:07:46	3518.18	93.95	-124.40	-100.32	-42.47	-42.33	42.71	67.69	15.92	14	-		COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
3	13	Nightside	2019 MAR 23 19:07:46	2019 MAR 23 19:37:25	2019 MAR 23 20:07:05	3558.81	-100.32	40.65	65.26	42.71	43.15	-42.93	112.39	3.88	3	-	-	-		
3	13	Dayside	2019 MAR 23 20:07:05	2019 MAR 23 20:36:25	2019 MAR 23 21:05:44	3519.74	65.26	-153.14	-129.01	-42.93	-41.88	43.12	67.51	15.92	3	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
4	13	Nightside	2019 MAR 23 21:05:44	2019 MAR 23 21:35:24	2019 MAR 23 22:05:04	3559.57	-129.01	11.85	36.56	43.12	42.71	-43.34	112.62	3.88	14	-	-	-		
4	13	Dayside	2019 MAR 23 22:05:04	2019 MAR 23 22:34:25	2019 MAR 23 23:03:46	3522.02	36.56	178.04	-157.71	-43.34	-41.42	43.58	67.28	15.91	14	-		COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
5	13	Nightside	2019 MAR 23 23:03:46	2019 MAR 23 23:33:27	2019 MAR 24 00:03:08	3561.93	-157.71	-16.93	7.85	43.58	42.24	-43.80	112.82	3.87	3	-	-	-		
5	13	Dayside	2019 MAR 24 00:03:08	2019 MAR 24 00:32:29	2019 MAR 24 01:01:50	3521.92	7.85	149.26	173.57	-43.80	-40.92	44.08	67.07	15.91	3	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
6	13	Nightside	2019 MAR 24 01:01:50	2019 MAR 24 01:31:32	2019 MAR 24 02:01:14	3563.63	173.57	-45.65	-20.87	44.08	41.70	-44.35	113.00	3.87	7	Nominal Nightside 02	Science: orders #162, #163, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
6	13	Dayside	2019 MAR 24 02:01:14	2019 MAR 24 02:30:34	2019 MAR 24 02:59:54	3520.80	-20.87	120.54	144.86	-44.35	-40.41	44.62	66.90	15.91	7	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
7	13	Nightside	2019 MAR 24 02:59:54	2019 MAR 24 03:29:36	2019 MAR 24 03:59:18	3563.23	144.86	-74.33	-49.58	44.62	41.14	-44.93	113.17	3.88	3	-	-	-		
7	13	Dayside	2019 MAR 24 03:59:18	2019 MAR 24 04:28:37	2019 MAR 24 04:57:57	3519.52	-49.58	91.86	116.15	-44.93	-39.87	45.18	66.75	15.92	3	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
8	13	Nightside	2019 MAR 24 04:57:57	2019 MAR 24 05:27:37	2019 MAR 24 05:57:18	3560.62	116.15	-103.00	-78.28	45.18	40.61	-45.47	113.32	3.88	14	-	-	-		
8	13	Dayside	2019 MAR 24 05:57:18	2019 MAR 24 06:26:37	2019 MAR 24 06:55:56	3518.58	-78.28	63.20	87.46	-45.47	-39.34	45.69	66.60	15.92	14	-		COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
9	13	Nightside	2019 MAR 24 06:55:56	2019 MAR 24 07:25:35	2019 MAR 24 07:55:15	3558.36	87.46	-131.72	-106.97	45.69	40.17	-45.87	113.48	3.88	5	-	-	-		
9	13	Dayside	2019 MAR 24 07:55:15	2019 MAR 24 08:24:34	2019 MAR 24 08:53:53	3518.46	-106.97	34.42	58.77	-45.87	-38.89	46.07	66.41	15.91	5	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
10	13	Nightside	2019 MAR 24 08:53:53	2019 MAR 24 09:23:33	2019 MAR 24 09:53:13	3559.93	58.77	-160.53	-135.66	46.07	39.77	-46.24	113.69	3.87	14	-	-	-		
10	13	Dayside	2019 MAR 24 09:53:13	2019 MAR 24 10:22:33	2019 MAR 24 10:51:53	3520.49	-135.66	5.58	30.08	-46.24	-38.52	46.42	66.19	15.91	14	-		COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
11	13	Nightside	2019 MAR 24 10:51:53	2019 MAR 24 11:21:34	2019 MAR 24 11:51:15	3561.22	30.08	170.64	-164.36	46.42	39.33	-46.67	113.92	3.87	5	-	-	-		
