UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 AUG 09 11:48:26, 54.0, 15.1, #136 #189
2020 AUG 11 12:56:32, 48.0, 14.7, #136 #189
2020 AUG 16 14:46:36, 36.4, 13.5, #136 #168
2020 AUG 18 15:54:06, 33.4, 13.0, #136 #168
2020 AUG 20 17:03:09, 27.5, 12.6, #168 #189
2020 AUG 23 17:44:25, 30.0, 11.9, #136 #189
2020 AUG 25 18:52:13, 31.0, 11.4, #136 #189
2020 AUG 27 20:00:35, 31.5, 11.0, #136 #168
2020 AUG 30 20:42:22, 39.5, 10.2, #136 #168
2020 SEP 01 21:50:05, 44.2, 9.8, #136 #189
2020 SEP 03 22:57:58, 48.9, 9.3, #136 #189
