Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2019 SEP 14 16:36:16	2019 SEP 14 17:05:36	2019 SEP 14 17:34:56	3520.10	138.95	-78.08	-55.43	-47.34	-37.96	47.43	151.21	2.00	3	-	-	-		
1	Dayside	2019 SEP 14 17:34:56	2019 SEP 14 18:04:35	2019 SEP 14 18:34:13	3556.93	-55.43	86.97	110.05	47.43	39.06	-47.51	28.73	13.96	3	CH4 2SUBD 03	Science: orders #136, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3	&daysideMatch:UTOPIA; 	
2	Nightside	2019 SEP 14 18:34:13	2019 SEP 14 19:03:32	2019 SEP 14 19:32:52	3518.43	110.05	-106.93	-84.32	-47.51	-37.81	47.59	151.37	1.99	1	-	-	-		
2	Dayside	2019 SEP 14 19:32:52	2019 SEP 14 20:02:29	2019 SEP 14 20:32:07	3555.54	-84.32	58.12	81.18	47.59	38.91	-47.65	28.57	13.95	1	LNO Ice Index 2SUBD 01	Science: orders #153, #158, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
3	Nightside	2019 SEP 14 20:32:07	2019 SEP 14 21:01:27	2019 SEP 14 21:30:46	3519.13	81.18	-135.80	-113.15	-47.65	-37.68	47.70	151.55	1.98	14	-	-	-		
3	Dayside	2019 SEP 14 21:30:46	2019 SEP 14 22:00:24	2019 SEP 14 22:30:02	3555.73	-113.15	29.20	52.36	47.70	38.76	-47.76	28.35	13.94	14	-		COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3		
4	Nightside	2019 SEP 14 22:30:02	2019 SEP 14 22:59:22	2019 SEP 14 23:28:43	3521.12	52.36	-164.73	-141.99	-47.76	-37.54	47.81	151.78	1.97	1	-	-	-		
4	Dayside	2019 SEP 14 23:28:43	2019 SEP 14 23:58:22	2019 SEP 15 00:28:01	3557.91	-141.99	0.24	23.52	47.81	38.63	-47.87	28.11	13.92	1	-		COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
5	Nightside	2019 SEP 15 00:28:01	2019 SEP 15 00:57:21	2019 SEP 15 01:26:42	3520.98	23.52	166.30	-170.86	-47.87	-37.39	47.94	152.02	1.95	3	-	-	-		
5	Dayside	2019 SEP 15 01:26:42	2019 SEP 15 01:56:22	2019 SEP 15 02:26:02	3559.84	-170.86	-28.68	-5.37	47.94	38.48	-48.01	27.90	13.91	3	Surface 3SUBD 02	Science: orders #191, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
6	Nightside	2019 SEP 15 02:26:02	2019 SEP 15 02:55:22	2019 SEP 15 03:24:42	3519.87	-5.37	137.37	160.25	-48.01	-37.25	48.09	152.22	1.94	14	-	-	-		
6	Dayside	2019 SEP 15 03:24:42	2019 SEP 15 03:54:22	2019 SEP 15 04:24:02	3560.07	160.25	-57.57	-34.30	48.09	38.31	-48.18	27.71	13.90	14	-		COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
7	Nightside	2019 SEP 15 04:24:02	2019 SEP 15 04:53:21	2019 SEP 15 05:22:41	3518.82	-34.30	108.49	131.33	-48.18	-37.14	48.26	152.39	1.92	1	-	-	-		
7	Dayside	2019 SEP 15 05:22:41	2019 SEP 15 05:52:20	2019 SEP 15 06:21:59	3558.22	131.33	-86.42	-63.22	48.26	38.14	-48.36	27.54	13.89	1	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3		
8	Nightside	2019 SEP 15 06:21:59	2019 SEP 15 06:51:18	2019 SEP 15 07:20:37	3517.99	-63.22	79.64	102.43	-48.36	-37.00	48.42	152.55	1.91	1	-	-	-		
8	Dayside	2019 SEP 15 07:20:37	2019 SEP 15 07:50:15	2019 SEP 15 08:19:53	3556.14	102.43	-115.28	-92.08	48.42	38.02	-48.49	27.38	13.88	1	-		COP row 85: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
9	Nightside	2019 SEP 15 08:19:53	2019 SEP 15 08:49:12	2019 SEP 15 09:18:31	3517.60	-92.08	50.78	73.57	-48.49	-36.82	48.55	152.74	1.90	14	-	-	-		
9	Dayside	2019 SEP 15 09:18:31	2019 SEP 15 09:48:09	2019 SEP 15 10:17:48	3557.10	73.57	-144.19	-120.89	48.55	37.91	-48.58	27.18	13.86	14	-		COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3		
10	Nightside	2019 SEP 15 10:17:48	2019 SEP 15 10:47:07	2019 SEP 15 11:16:27	3519.16	-120.89	21.84	44.76	-48.58	-36.69	48.64	152.96	1.89	1	-	-	-		
10	Dayside	2019 SEP 15 11:16:27	2019 SEP 15 11:46:06	2019 SEP 15 12:15:45	3558.55	44.76	-173.14	-149.75	48.64	37.77	-48.70	26.94	13.84	1	HDO H2O 2SUBD 02	Science: orders #168, #124, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
11	Nightside	2019 SEP 15 12:15:45	2019 SEP 15 12:45:06	2019 SEP 15 13:14:27	3521.22	-149.75	-7.11	15.91	-48.70	-36.58	48.75	153.19	1.87	14	-	-	-		
11	Dayside	2019 SEP 15 13:14:27	2019 SEP 15 13:44:06	2019 SEP 15 14:13:45	3558.14	15.91	157.91	-178.64	48.75	37.61	-48.84	26.71	13.83	14	-		COP row 88: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 11964 ms, Binning=3		
12	Nightside	2019 SEP 15 14:13:45	2019 SEP 15 14:43:06	2019 SEP 15 15:12:27	3522.10	-178.64	-36.04	-13.00	-48.84	-36.43	48.90	153.40	1.86	3	-	-	-		
