TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 JUL 10 23:09:00,4,4
2021 JUL 11 05:06:00,7,7
2021 JUL 11 12:03:00,11,11
2021 JUL 11 14:00:00,12,12
2021 JUL 12 12:33:00,23,23
2021 JUL 12 19:30:00,27,27
2021 JUL 13 03:21:00,31,31
2021 JUL 14 02:54:00,43,43
2021 JUL 14 08:51:00,46,46
2021 JUL 14 14:45:00,49,49
2021 JUL 15 22:09:00,65,65
2021 JUL 15 22:12:00,65,65
2021 JUL 16 04:06:00,68,68
2021 JUL 17 05:39:00,81,81
2021 JUL 17 11:33:00,84,84
2021 JUL 17 17:27:00,87,87
2021 JUL 19 04:51:00,105,105
2021 JUL 19 06:48:00,106,106
2021 JUL 20 18:12:00,124,124
2021 JUL 20 20:09:00,125,125
2021 JUL 21 00:06:00,127,127
2021 JUL 22 13:27:00,146,146
2021 JUL 22 15:24:00,147,147
2021 JUL 22 19:21:00,149,149
2021 JUL 24 10:39:00,169,169
2021 JUL 26 21:36:00,199,199
2021 JUL 28 05:03:00,215,215
2021 JUL 28 10:57:00,218,218
2021 JUL 27 13:21:00,207,207
2021 JUL 28 16:51:00,221,221
2021 JUL 30 06:12:00,240,240
2021 JUL 30 12:06:00,243,243
2021 AUG 01 01:27:00,262,262
2021 AUG 01 07:21:00,265,265
2021 AUG 02 22:39:00,285,285
2021 AUG 04 12:00:00,304,304
2021 AUG 05 15:30:00,318,318
2021 AUG 04 17:54:00,307,307
2021 AUG 06 07:15:00,326,326
2021 AUG 06 22:57:00,334,334
