NOM_02, OCCEG, 30
NOM_02, OCCIN, 16, 94
NOM_02, OCCME, 74, 77
NOM_03, OCCEG, 5, 8, 9, 11, 13, 15, 22, 27, 28, 35, 38, 40, 43, 79, 80, 82, 86, 91, 94, 120, 123, 126, 129, 134, 138, 149
NOM_03, OCCIN, 3, 8, 13, 23, 25, 27, 28, 32, 40, 41, 42, 43, 78, 79, 80, 82, 109, 111, 120, 126, 132, 136, 140, 156
NOM_03, OCCME, 47, 75, 76
CO_001, OCCEG, 87
CO_002, OCCEG, 23, 45, 108, 121, 128, 143
CO_002, OCCIN, 11, 30, 44, 149
CO2_02, OCCEG, 44, 78, 115, 117
CO2_02, OCCIN, 15, 38, 92, 128
HCL_01, OCCEG, 3, 32, 136, 146
HCL_01, OCCIN, 89
FUL_01, OCCEG, 92
FUL_01, OCCIN, 83, 129
