UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 MAR 29 04:32:19, 57.4, 15.8, #167 #169
2019 APR 02 06:45:40, 44.6, 15.0, #167 #169
2019 APR 07 08:31:04, 26.6, 13.8, #167 #169
2019 APR 09 09:37:35, 20.0, 13.3, #167 #169
2019 APR 12 10:17:31, 9.5, 12.6, #167 #169
2019 APR 14 11:23:56, 2.9, 12.2, #167 #169
2019 APR 16 12:29:53, 4.3, 11.7, #167 #169
2019 APR 19 13:08:53, 16.4, 11.0, #167 #169
