UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 JUL 11 10:44:44, 45.8, 14.5, #136 #136
2021 JUL 13 11:52:26, 41.0, 14.0, #136 #189
2021 JUL 16 12:33:42, 31.2, 13.3, #136 #189
2021 JUL 18 13:42:35, 31.4, 13.0, #136 #168
2021 JUL 20 14:50:22, 29.5, 12.5, #136 #168
2021 JUL 25 16:40:41, 30.1, 11.5, #136 #168
2021 JUL 27 17:48:12, 32.0, 11.0, #136 #189
2021 JUL 29 18:57:06, 38.0, 10.6, #136 #168
2021 AUG 01 19:38:49, 42.4, 9.9, #136 #189
2021 AUG 05 21:54:03, 52.1, 9.1, #136 #136
