UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 JUL 11 10:41:44, 38.5, 14.3, #136 #136
2021 JUL 13 11:49:26, 33.3, 13.9, #136 #189
2021 JUL 18 13:39:35, 22.3, 12.8, #136 #168
2021 JUL 20 14:47:22, 20.2, 12.4, #136 #168
2021 JUL 22 15:56:32, 24.1, 12.0, #167 #169
2021 JUL 25 16:37:41, 22.5, 11.3, #136 #168
2021 JUL 27 17:45:12, 25.7, 10.8, #136 #189
2021 JUL 29 18:53:36, 31.4, 10.4, #136 #168
2021 AUG 01 19:35:19, 37.8, 9.7, #136 #189
2021 AUG 05 21:51:03, 49.3, 8.9, #136 #136
