MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2026 MAY 10 21:54:00,-72.6282,-131.1096,250.0798,2.1786,79.9215,3.556e-14,79.9215,2026 MAY 10 21:36:00,-72.9773,-133.605,378.7848,1.7206,80.5166,0.35764,80.8367
2026 MAY 11 12:51:00,-70.0609,12.0809,252.0464,2.2683,81.9324,1.4769e-14,81.9324,2026 MAY 11 13:21:00,-69.3947,7.6616,378.3384,2.46,81.9677,0.35123,82.3002
2026 MAY 12 11:18:00,-70.9154,43.787,250.9925,2.2214,81.3703,3.3053e-14,81.3703,2026 MAY 12 10:57:00,-71.648,42.4933,379.0402,1.7947,81.6624,0.36348,81.9928
2026 MAY 13 02:15:00,-68.129,-173.1371,251.6523,2.3033,83.5594,1.8149e-14,83.5594,2026 MAY 13 02:42:00,-67.5637,-177.8586,380.526,2.4264,83.6702,0.36301,84.0173
2026 MAY 14 00:42:00,-68.9568,-141.3284,249.9897,2.2636,83.0202,1.8614e-14,83.0202,2026 MAY 14 00:18:00,-69.9912,-141.9423,378.1536,1.8336,83.1609,0.37235,83.5045
2026 MAY 14 11:54:00,-64.4475,56.4067,250.4374,2.3414,86.6377,1.778e-14,86.6377,2026 MAY 14 12:09:00,-61.2405,59.8657,378.6047,2.8153,87.4273,0.37733,87.7996
2026 MAY 14 17:30:00,-62.1318,-24.5669,250.7862,2.3911,88.4288,2.0674e-14,88.4288,2026 MAY 14 18:03:00,-60.346,-26.1496,381.1586,2.8206,88.1211,0.38107,88.4978
2026 MAY 15 14:06:00,-67.4417,33.1389,251.9203,2.2781,84.3631,2.163e-14,84.3631,2026 MAY 15 13:39:00,-68.2266,32.7529,378.3721,1.8147,84.8848,0.38389,85.2429
2026 MAY 16 11:33:00,56.857,-97.697,306.6225,14.4228,87.1677,1.6295e-14,87.1677,2026 MAY 16 12:21:00,52.9457,-102.1991,423.6223,14.9008,86.4025,0.10872,86.2991
2026 MAY 17 13:45:00,59.8469,-120.66,308.0704,14.38,89.4292,3.7633e-14,89.4292,2026 MAY 17 13:51:00,60.4496,-124.4813,427.2089,14.2225,89.3407,0.13775,89.2394
2026 MAY 17 15:36:00,56.0784,-146.9454,306.832,14.4272,86.4606,8.8885e-14,86.4606,2026 MAY 17 15:51:00,54.7301,-148.3067,425.157,14.5797,86.0607,0.78091,85.4386
2026 MAY 18 19:39:00,54.7073,163.8332,308.5007,14.4339,85.2647,1.8271e-14,85.2647,2026 MAY 18 19:21:00,56.6195,164.8571,426.1653,14.2103,85.9096,0.1455,85.7902
2026 MAY 18 21:30:00,50.7081,137.3089,305.4186,14.4653,82.082,4.3725e-14,82.082,2026 MAY 18 21:21:00,50.9934,139.744,422.656,14.4817,82.4049,0.13666,82.2794
2026 MAY 18 23:21:00,46.7622,110.6814,301.3937,14.4897,78.9431,8.2219e-14,78.9431,2026 MAY 18 23:21:00,45.2326,113.7399,419.1129,14.6936,78.9317,0.12573,78.8106
2026 MAY 19 01:12:00,42.9566,83.9859,297.7058,14.51,75.9275,7.9514e-16,75.9275,2026 MAY 19 01:21:00,39.2696,87.1703,414.8354,14.8681,75.4516,0.12175,75.3353
2026 MAY 19 04:57:00,44.9604,29.1081,301.2428,14.4994,77.499,3.668e-14,77.499,2026 MAY 19 05:15:00,44.1876,27.465,417.2084,14.6819,78.0049,0.12577,77.8838
2026 MAY 19 06:48:00,40.9788,2.497,297.8891,14.5253,74.3935,1.2877e-14,74.3935,2026 MAY 19 07:15:00,38.2364,0.68307,414.7623,14.8419,74.4468,0.10715,74.3429
2026 MAY 19 08:39:00,36.9578,-24.2039,294.2153,14.5447,71.262,3.7091e-14,71.262,2026 MAY 19 09:15:00,32.3122,-26.4847,411.8725,14.9764,71.0499,0.19195,70.8845
2026 MAY 20 05:18:00,51.6093,32.8983,305.2412,14.4408,82.6134,6.9464e-14,82.6134,2026 MAY 20 04:48:00,51.8905,37.154,420.1264,14.2381,81.8641,20.7119,66.2291
2026 MAY 20 09:03:00,53.1501,-21.9344,304.919,14.4333,83.8513,2.7909e-14,83.8513,2026 MAY 20 08:42:00,54.6713,-23.123,425.7302,14.0136,83.3032,1.7503,82.0211
2026 MAY 20 10:51:00,39.7184,-46.9368,295.7209,14.5178,73.2392,2.1097e-14,73.2392,2026 MAY 20 10:45:00,40.4293,-45.2063,417.3064,14.5358,73.9382,0.12911,73.8161
2026 MAY 20 12:42:00,35.8661,-73.7139,292.8183,14.5322,70.216,6.5819e-14,70.216,2026 MAY 20 12:45:00,34.462,-72.1941,412.8167,14.6822,70.2207,0.10524,70.123
2026 MAY 20 14:33:00,32.1216,-100.4939,289.7742,14.5467,67.3211,4.8131e-14,67.3211,2026 MAY 20 14:45:00,28.3404,-99.4465,407.8629,14.8111,66.5846,0.26555,66.3693
2026 MAY 20 16:30:00,47.4042,-130.1838,300.3665,14.4644,79.2105,6.9099e-14,79.2105,2026 MAY 20 16:36:00,48.0751,-135.1175,420.853,14.2328,78.5306,0.15372,78.3914
2026 MAY 20 18:18:00,34.1012,-155.3197,292.1998,14.5397,68.8383,1.8271e-14,68.8383,2026 MAY 20 18:39:00,33.3854,-158.8355,411.9343,14.6458,69.0791,1.324,70.1704
2026 MAY 20 20:09:00,30.1718,177.9391,289.9722,14.5569,65.8414,9.5476e-14,65.8414,2026 MAY 20 20:39:00,27.3997,173.9174,407.6205,14.775,65.5467,0.078094,65.4885
2026 MAY 20 22:00:00,26.1826,151.165,286.9122,14.5717,62.8407,9.5417e-15,62.8407,2026 MAY 20 22:39:00,21.4027,146.2897,403.381,14.8789,62.1161,0.074828,62.1012
2026 MAY 21 16:45:00,35.3194,-123.1848,291.4822,14.5225,69.6253,5.1678e-14,69.6253,2026 MAY 21 16:15:00,36.2028,-118.4081,413.0487,14.3544,69.1649,4.7054,72.895
2026 MAY 21 20:24:00,18.0914,-175.412,280.4721,14.5917,56.8464,5.4535e-14,56.8464,2026 MAY 21 20:18:00,15.1585,-171.4057,399.6443,14.7614,56.464,6.084,61.6883
2026 MAY 21 22:15:00,14.0956,157.778,277.6319,14.6039,54.0741,2.7406e-14,54.0741,2026 MAY 21 22:18:00,9.2083,161.3862,395.9467,14.8931,53.9357,0.17247,54.0162
2026 MAY 21 22:21:00,33.1622,155.2628,291.9825,14.5336,67.9618,5.0087e-14,67.9618,2026 MAY 21 22:09:00,35.5399,155.5639,412.7423,14.3592,68.6305,0.12753,68.5155
2026 MAY 21 22:24:00,42.6559,153.8288,299.1023,14.4867,75.3347,1.5581e-14,75.3347,2026 MAY 21 22:06:00,44.1393,152.5129,418.4055,14.1069,74.388,0.1603,74.2436
2026 MAY 22 00:12:00,29.1823,128.4982,288.2174,14.5492,64.9229,6.3691e-14,64.9229,2026 MAY 22 00:09:00,29.5977,128.259,408.4171,14.4844,64.7318,0.10067,64.65
2026 MAY 22 02:03:00,25.3128,101.7045,284.2078,14.5625,62.0164,2.4275e-14,62.0164,2026 MAY 22 02:09:00,23.6593,101.5983,403.789,14.6528,61.5586,7.3208,55.981
2026 MAY 22 03:51:00,12.0357,76.1235,274.5577,14.6083,52.6569,2.4482e-14,52.6569,2026 MAY 22 04:12:00,8.4495,75.0395,393.3421,14.8764,53.2505,2.8495,50.9771
2026 MAY 22 07:42:00,33.1254,18.7901,291.7468,14.5317,67.89,2.9323e-14,67.89,2026 MAY 23 07:33:00,36.6246,23.3942,412.0601,14.0408,67.3852,0.15052,67.2539
2026 MAY 23 04:15:00,28.499,79.0259,286.3899,14.5394,64.2276,3.7091e-14,64.2276,2026 MAY 23 03:39:00,31.6589,82.6854,409.271,14.1994,64.2001,0.12483,64.0964
2026 MAY 23 06:03:00,15.2866,53.488,277.5994,14.5881,54.6876,4.0731e-14,54.6876,2026 MAY 23 05:42:00,16.5573,57.118,398.1977,14.4894,54.6355,0.093964,54.7036
