THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
1, Nominal 6SUBD 01, 168
3, Nominal 6SUBD 02, 167
4, H2O 2SUBD 01, 167
5, Nominal 4SUBD 01, 168
7, HDO H2O 2SUBD 01, 169
9, HDO CO 3SUBD 01, 167
10, Nominal 4SUBD 01, 168
11, AER H2Oi 3SUBD 01, 169
13, AER H2Oi CO2i 4SUBD 01, 169
15, Nominal 4SUBD 01, 168
19, Nominal 4SUBD 01, 168
22, Nominal 4SUBD 01, 168
25, Nominal 4SUBD 01, 168
28, CH4 3SUBD 01, 168
29, Nominal 4SUBD 01, 168
31, CO 2SUBD 02, 167
32, Nominal 4SUBD 01, 168
37, Nominal 6SUBD 01, 168
39, Nominal 6SUBD 02, 167
41, H2O 2SUBD 01, 167
43, Nominal 4SUBD 01, 168
45, HDO H2O 2SUBD 01, 169
47, HDO CO 3SUBD 01, 167
49, Nominal 4SUBD 01, 168
51, AER H2Oi 3SUBD 01, 169
52, AER H2Oi CO2i 4SUBD 01, 169
54, Nominal 4SUBD 01, 168
58, Nominal 4SUBD 01, 168
61, Nominal 4SUBD 01, 168
64, Nominal 4SUBD 01, 168
67, CH4 3SUBD 01, 168
68, Nominal 4SUBD 01, 168
69, CO 2SUBD 02, 167
71, Nominal 4SUBD 01, 168
76, Nominal 6SUBD 01, 168
77, Nominal 6SUBD 02, 167
79, H2O 2SUBD 01, 167
80, Nominal 4SUBD 01, 168
82, HDO H2O 2SUBD 01, 169
84, HDO CO 3SUBD 01, 167
86, Nominal 4SUBD 01, 168
88, AER H2Oi 3SUBD 01, 169
89, AER H2Oi CO2i 4SUBD 01, 169
91, Nominal 4SUBD 01, 168
94, Nominal 4SUBD 01, 168
97, Nominal 4SUBD 01, 168
100, Nominal 4SUBD 01, 168
103, CH4 3SUBD 01, 168
105, Nominal 4SUBD 01, 168
106, CO 2SUBD 02, 167
108, Nominal 4SUBD 01, 168
112, Nominal 6SUBD 01, 168
114, Nominal 6SUBD 02, 167
115, H2O 2SUBD 01, 167
117, Nominal 4SUBD 01, 168
118, HDO H2O 2SUBD 01, 169
119, HDO CO 3SUBD 01, 167
121, Nominal 4SUBD 01, 168
122, AER H2Oi 3SUBD 01, 169
124, AER H2Oi CO2i 4SUBD 01, 169
125, Nominal 4SUBD 01, 168
129, Nominal 4SUBD 01, 168
132, Nominal 4SUBD 01, 168
135, Nominal 4SUBD 01, 168
139, CH4 3SUBD 01, 168
140, Nominal 4SUBD 01, 168
141, CO 2SUBD 02, 167
142, Nominal 4SUBD 01, 168
147, Nominal 6SUBD 01, 168
148, Nominal 6SUBD 02, 167
149, H2O 2SUBD 01, 167
151, Nominal 4SUBD 01, 168
152, HDO H2O 2SUBD 01, 169
154, HDO CO 3SUBD 01, 167
155, Nominal 4SUBD 01, 168
156, AER H2Oi 3SUBD 01, 169
158, AER H2Oi CO2i 4SUBD 01, 169
159, Nominal 4SUBD 01, 168
164, Nominal 4SUBD 01, 168
166, Nominal 4SUBD 01, 168
170, Nominal 4SUBD 01, 168
173, CH4 3SUBD 01, 168
175, Nominal 4SUBD 01, 168
177, CO 2SUBD 02, 167
178, Nominal 4SUBD 01, 168
182, Nominal 6SUBD 01, 168
184, Nominal 6SUBD 02, 167
185, H2O 2SUBD 01, 167
186, Nominal 4SUBD 01, 168
188, HDO H2O 2SUBD 01, 169
189, HDO CO 3SUBD 01, 167
191, Nominal 4SUBD 01, 168
192, AER H2Oi 3SUBD 01, 169
194, AER H2Oi CO2i 4SUBD 01, 169
195, Nominal 4SUBD 01, 168
200, Nominal 4SUBD 01, 168
202, Nominal 4SUBD 01, 168
205, Nominal 4SUBD 01, 168
208, CH4 3SUBD 01, 168
209, Nominal 4SUBD 01, 168
211, CO 2SUBD 02, 167
212, Nominal 4SUBD 01, 168
216, Nominal 6SUBD 01, 168
218, Nominal 6SUBD 02, 167
219, H2O 2SUBD 01, 167
220, Nominal 4SUBD 01, 168
222, HDO H2O 2SUBD 01, 169
223, HDO CO 3SUBD 01, 167
225, Nominal 4SUBD 01, 168
226, AER H2Oi 3SUBD 01, 169
228, AER H2Oi CO2i 4SUBD 01, 169
229, Nominal 4SUBD 01, 168
233, Nominal 4SUBD 01, 168
236, Nominal 4SUBD 01, 168
239, Nominal 4SUBD 01, 168
242, CH4 3SUBD 01, 168
243, Nominal 4SUBD 01, 168
244, CO 2SUBD 02, 167
246, Nominal 4SUBD 01, 168
250, Nominal 6SUBD 01, 168
252, Nominal 6SUBD 02, 167
253, H2O 2SUBD 01, 167
254, Nominal 4SUBD 01, 168
256, HDO H2O 2SUBD 01, 169
258, HDO CO 3SUBD 01, 167
260, Nominal 4SUBD 01, 168
261, AER H2Oi 3SUBD 01, 169
263, AER H2Oi CO2i 4SUBD 01, 169
264, Nominal 4SUBD 01, 168
268, Nominal 4SUBD 01, 168
271, Nominal 4SUBD 01, 168
274, Nominal 4SUBD 01, 168
277, CH4 3SUBD 01, 168
279, Nominal 4SUBD 01, 168
280, CO 2SUBD 02, 167
