MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2024 JAN 21 05:59:23,2024 JAN 21 06:03:16,8,8
2024 JAN 21 13:55:44,2024 JAN 21 14:00:44,12,12
2024 JAN 22 05:31:31,2024 JAN 22 05:36:29,20,20
2024 JAN 22 13:33:07,2024 JAN 22 13:38:07,24,24
2024 JAN 22 21:23:45,2024 JAN 22 21:28:45,28,28
2024 JAN 23 05:06:44,2024 JAN 23 05:11:44,32,32
2024 JAN 23 09:12:43,2024 JAN 23 09:17:43,34,34
2024 JAN 24 05:04:20,2024 JAN 24 05:09:20,44,44
2024 JAN 24 06:31:43,2024 JAN 24 06:36:43,45,45
2024 JAN 25 04:10:40,2024 JAN 25 04:15:40,56,56
2024 JAN 25 22:29:53,2024 JAN 25 22:34:53,65,65
2024 JAN 26 06:03:57,2024 JAN 26 06:08:57,69,69
2024 JAN 26 15:49:20,2024 JAN 26 15:54:20,74,74
2024 JAN 27 05:19:28,2024 JAN 27 05:24:28,81,81
2024 JAN 29 01:19:28,2024 JAN 29 01:24:28,103,103
2024 JAN 29 10:59:15,2024 JAN 29 11:00:37,108,108
2024 JAN 29 12:36:11,2024 JAN 29 12:41:11,109,109
2024 JAN 29 23:10:48,2024 JAN 29 23:15:48,114,114
2024 JAN 30 00:53:14,2024 JAN 30 00:58:14,115,115
2024 JAN 30 04:40:37,2024 JAN 30 04:45:37,117,117
2024 JAN 30 14:28:25,2024 JAN 30 14:33:25,122,122
2024 JAN 31 00:21:10,2024 JAN 31 00:26:10,127,127
2024 FEB 01 06:25:57,2024 FEB 01 06:30:57,142,142
2024 FEB 01 21:47:26,2024 FEB 01 21:52:26,150,150
2024 FEB 02 09:34:07,2024 FEB 02 09:39:07,156,156
2024 FEB 02 11:41:20,2024 FEB 02 11:46:20,157,157
2024 FEB 03 07:19:50,2024 FEB 03 07:24:50,167,167
2024 FEB 03 23:33:19,2024 FEB 03 23:38:19,175,175
2024 FEB 04 10:59:01,2024 FEB 04 11:04:01,181,181
2024 FEB 04 20:40:00,2024 FEB 04 20:45:00,186,186
2024 FEB 04 23:06:45,2024 FEB 04 23:11:45,187,187
2024 FEB 05 02:34:28,2024 FEB 05 02:39:28,189,189
2024 FEB 05 14:35:23,2024 FEB 05 14:40:23,195,195
2024 FEB 05 20:30:16,2024 FEB 05 20:35:16,198,198
2024 FEB 06 02:17:06,2024 FEB 06 02:22:06,201,201
2024 FEB 06 04:12:32,2024 FEB 06 04:17:32,202,202
2024 FEB 06 16:10:02,2024 FEB 06 16:15:02,208,208
2024 FEB 06 18:00:16,2024 FEB 06 18:05:16,209,209
2024 FEB 06 19:57:40,2024 FEB 06 19:59:51,210,210
2024 FEB 07 00:15:47,2024 FEB 07 00:20:47,212,212
2024 FEB 07 11:34:17,2024 FEB 07 11:39:17,218,218
2024 FEB 07 17:51:37,2024 FEB 07 17:56:37,221,221
2024 FEB 08 03:48:28,2024 FEB 08 03:53:28,226,226
2024 FEB 08 07:43:26,2024 FEB 08 07:48:26,228,228
2024 FEB 08 17:15:53,2024 FEB 08 17:20:53,233,233
2024 FEB 08 21:02:26,2024 FEB 08 21:07:26,235,235
2024 FEB 09 00:51:15,2024 FEB 09 00:56:15,237,237
2024 FEB 09 06:51:01,2024 FEB 09 06:56:01,240,240
2024 FEB 09 15:02:57,2024 FEB 09 15:07:57,244,244
2024 FEB 10 02:38:40,2024 FEB 10 02:43:40,250,250
2024 FEB 10 06:45:44,2024 FEB 10 06:50:44,252,252
2024 FEB 10 12:30:37,2024 FEB 10 12:31:48,255,255
2024 FEB 10 18:25:33,2024 FEB 10 18:30:33,258,258
2024 FEB 10 20:21:27,2024 FEB 10 20:26:27,259,259
2024 FEB 10 22:22:05,2024 FEB 10 22:27:05,260,260
2024 FEB 11 16:05:21,2024 FEB 11 16:10:21,269,269
2024 FEB 12 19:34:42,2024 FEB 12 19:39:42,283,283
2024 FEB 13 07:08:33,2024 FEB 13 07:13:33,289,289
2024 FEB 13 11:11:33,2024 FEB 13 11:16:33,291,291
2024 FEB 14 16:41:22,2024 FEB 14 16:46:22,306,306
2024 FEB 15 00:27:22,2024 FEB 15 00:32:22,310,310
2024 FEB 15 10:27:04,2024 FEB 15 10:32:04,315,315
2024 FEB 15 20:15:13,2024 FEB 15 20:20:13,320,320
2024 FEB 16 02:11:42,2024 FEB 16 02:16:42,323,323
2024 FEB 16 08:05:05,2024 FEB 16 08:10:05,326,326
