MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2021 FEB 20 17:54:00,75.4391,121.8193,313.2385,14.1875,75.1746,2.9879e-14,75.1746,2021 FEB 20 18:09:00,74.5532,118.496,433.1148,14.2094,74.4952,0.1408,74.5024
2021 FEB 21 20:03:00,73.9499,101.0529,311.9393,14.2594,73.9004,6.3735e-15,73.9004,2021 FEB 21 19:42:00,74.5047,104.2023,432.2692,14.1286,74.0591,0.14339,74.0638
2021 FEB 22 01:39:00,73.2796,19.7491,313.0533,14.2906,73.3903,1.4423e-14,73.3903,2021 FEB 22 01:36:00,74.5397,19.4596,432.5327,14.2225,74.2458,0.14009,74.2533
2021 MAR 01 22:21:00,72.6678,145.5122,312.8229,14.3692,71.5272,1.5003e-14,71.5272,2021 MAR 01 22:18:00,71.6621,149.1725,432.6462,14.5647,71.3185,1.9746,69.3492
2021 MAR 02 03:57:00,71.8193,63.8871,309.6124,14.3792,70.8441,1.7128e-14,70.8441,2021 MAR 02 04:12:00,71.1971,63.2344,432.065,14.5789,70.9669,0.10317,70.962
2021 MAR 03 06:06:00,70.7438,42.7741,311.0832,14.4281,69.9399,1.778e-14,69.9399,2021 MAR 03 05:45:00,70.6475,47.7618,431.9675,14.4197,69.8433,2.6227,72.4548
2021 MAR 03 11:42:00,69.5734,-38.1849,310.4608,14.4822,69.1743,9.1354e-15,69.1743,2021 MAR 03 11:39:00,70.1896,-36.1572,432.1747,14.5686,69.9256,0.097238,69.914
2021 MAR 06 03:09:00,55.5269,118.7925,303.2756,14.7147,59.7931,3.0837e-14,59.7931,2021 MAR 06 02:36:00,56.554,123.3143,427.8433,14.4808,59.0855,53.9423,112.9255
2021 MAR 08 01:54:00,63.8318,154.8399,309.3585,14.6283,64.6474,1.8062e-14,64.6474,2021 MAR 08 01:45:00,63.165,158.7725,429.0828,14.7444,64.7315,0.52318,64.2204
2021 MAR 08 07:30:00,62.8652,73.1316,306.036,14.6325,63.9394,1.778e-14,63.9394,2021 MAR 08 07:39:00,62.7006,72.5909,428.7483,14.7425,64.3584,0.11816,64.2707
2021 MAR 08 13:06:00,62.0086,-8.1758,307.3273,14.6636,63.4469,7.7907e-15,63.4469,2021 MAR 08 13:33:00,61.8349,-12.7673,428.5002,14.7956,63.9959,1.5136,62.5658
2021 MAR 09 15:15:00,60.4774,-29.5972,306.1343,14.6922,62.3365,2.1336e-14,62.3365,2021 MAR 09 15:06:00,61.2804,-28.8959,428.9576,14.5928,62.3806,0.064361,62.3286
2021 MAR 09 20:51:00,59.6026,-111.4225,305.2289,14.6886,61.6792,1.1468e-14,61.6792,2021 MAR 09 21:00:00,60.7566,-114.901,427.4755,14.6028,62.0171,0.27005,61.7577
