MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2023 FEB 19 00:42:00,-19.1111,-158.4371,256.4824,14.885,52.2226,6.6488e-14,52.2226,2023 FEB 19 00:30:00,-15.4635,-153.742,384.9991,15.0033,51.864,2.4639,49.7331
2023 FEB 19 02:36:00,-13.2721,173.5183,258.4118,14.865,49.0633,2.3854e-14,49.0633,2023 FEB 19 02:27:00,-12.7111,176.7381,386.2931,14.9336,49.6976,1.9715,47.951
2023 FEB 19 02:39:00,-3.6256,172.3397,262.9761,14.8353,44.7444,1.5982e-14,44.7444,2023 FEB 19 02:24:00,-3.8092,175.2566,389.6335,14.7864,44.117,2.7705,41.6019
2023 FEB 19 04:33:00,2.1467,144.342,266.0762,14.8183,42.8362,4.9688e-14,42.8362,2023 FEB 19 04:21:00,-1.0551,145.5152,390.3279,14.7019,42.0259,0.28649,42.1702
2023 FEB 19 08:09:00,-24.6507,93.1466,253.9673,14.9097,55.6061,4.0233e-14,55.6061,2023 FEB 19 08:24:00,-22.4388,91.25,380.6768,15.0267,55.7158,3.0708,57.7425
2023 FEB 19 08:12:00,-14.9684,91.898,256.9375,14.8753,50.0253,1.1639e-14,50.0253,2023 FEB 19 08:21:00,-13.554,89.3851,383.2928,14.8539,49.0713,4.3611,52.3775
2023 FEB 19 10:06:00,-8.8054,63.8588,259.3615,14.8556,46.9927,2.0365e-14,46.9927,2023 FEB 19 10:18:00,-11.0386,60.1687,384.1731,14.8044,47.2714,3.0562,49.5951
2023 FEB 20 12:06:00,-41.3427,46.2487,251.2498,14.9925,66.9693,3.4841e-14,66.9693,2023 FEB 20 12:00:00,-38.3228,50.6801,379.5361,15.1906,66.801,0.51013,66.756
2023 FEB 20 14:03:00,-25.7145,16.6881,255.2763,14.92,56.483,8.3243e-14,56.483,2023 FEB 20 13:54:00,-26.7169,18.6518,381.5934,14.905,56.9084,0.68849,56.2455
2023 FEB 20 14:06:00,-16.0373,15.4455,258.171,14.8858,50.8031,2.642e-14,50.8031,2023 FEB 20 13:51:00,-17.8172,16.8672,383.5968,14.7372,49.9096,1.7964,48.3819
