MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 MAY 15 18:01:56,2021 MAY 15 18:06:56,2,2
2021 MAY 16 01:50:01,2021 MAY 16 01:55:01,6,6
2021 MAY 16 17:37:05,2021 MAY 16 17:42:05,14,14
2021 MAY 18 12:50:00,2021 MAY 18 12:55:00,36,36
2021 MAY 19 10:26:17,2021 MAY 19 10:31:17,47,47
2021 MAY 19 20:16:20,2021 MAY 19 20:21:20,52,52
2021 MAY 20 04:07:22,2021 MAY 20 04:12:22,56,56
2021 MAY 20 17:53:23,2021 MAY 20 17:58:23,63,63
2021 MAY 20 19:54:22,2021 MAY 20 19:59:22,64,64
2021 MAY 20 21:49:10,2021 MAY 20 21:54:10,65,65
2021 MAY 22 05:14:30,2021 MAY 22 05:19:30,81,81
2021 MAY 31 09:24:11,2021 MAY 31 09:29:11,193,193
2021 MAY 31 17:17:37,2021 MAY 31 17:22:37,197,197
2021 JUN 04 11:44:03,2021 JUN 04 11:49:03,243,243
2021 JUN 06 00:53:34,2021 JUN 06 00:58:34,262,262
2021 JUN 06 04:57:38,2021 JUN 06 05:02:38,264,264
2021 JUN 06 22:43:04,2021 JUN 06 22:44:57,273,273
2021 JUN 07 00:27:52,2021 JUN 07 00:32:52,274,274
2021 JUN 07 06:27:24,2021 JUN 07 06:32:24,277,277
2021 JUN 08 21:42:28,2021 JUN 08 21:43:24,297,297
2021 JUN 09 03:43:30,2021 JUN 09 03:48:30,300,300
2021 JUN 09 07:33:28,2021 JUN 09 07:38:28,302,302
2021 JUN 09 17:28:13,2021 JUN 09 17:33:13,307,307
2021 JUN 09 21:15:24,2021 JUN 09 21:20:24,309,309
2021 JUN 10 01:17:31,2021 JUN 10 01:19:42,311,311
2021 JUN 10 07:06:24,2021 JUN 10 07:11:24,314,314
2021 JUN 11 16:39:15,2021 JUN 11 16:44:15,331,331
2021 JUN 12 00:20:11,2021 JUN 12 00:25:11,335,335
2021 JUN 12 06:24:15,2021 JUN 12 06:29:15,338,338
