Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 OCT 06 15:12:29	2018 OCT 06 15:23:01	2018 OCT 06 15:20:25	632.0	75.2	60.0	14.3	
N/A	1	Egress	2018 OCT 06 15:38:42	2018 OCT 06 15:49:45	2018 OCT 06 15:41:20	663.0	132.0	-17.5	18.6	
N/A	2	Ingress	2018 OCT 06 17:10:26	2018 OCT 06 17:21:10	2018 OCT 06 17:18:30	644.0	46.9	59.9	14.4	
N/A	3	Egress	2018 OCT 06 17:36:16	2018 OCT 06 17:47:32	2018 OCT 06 17:38:59	676.0	102.8	-16.4	18.5	
NOMAD	4	Ingress	2018 OCT 06 19:08:20	2018 OCT 06 19:19:15	2018 OCT 06 19:16:31	655.0	18.1	60.0	14.3	
NOMAD	5	Egress	2018 OCT 06 19:33:48	2018 OCT 06 19:45:17	2018 OCT 06 19:36:35	689.0	73.7	-15.3	18.5	
ACS	6	Ingress	2018 OCT 06 21:06:09	2018 OCT 06 21:17:17	2018 OCT 06 21:14:28	668.0	-10.5	60.0	14.3	
ACS	7	Egress	2018 OCT 06 21:31:15	2018 OCT 06 21:42:56	2018 OCT 06 21:34:07	701.0	44.5	-14.2	18.5	
NOMAD	8	Ingress	2018 OCT 06 23:04:03	2018 OCT 06 23:15:28	2018 OCT 06 23:12:33	685.0	-39.1	59.9	14.3	
NOMAD	9	Egress	2018 OCT 06 23:28:38	2018 OCT 06 23:40:36	2018 OCT 06 23:31:37	718.0	15.3	-12.8	18.4	
N/A	10	Ingress	2018 OCT 07 01:02:05	2018 OCT 07 01:13:51	2018 OCT 07 01:10:47	706.0	-67.2	59.7	14.4	
N/A	11	Egress	2018 OCT 07 01:26:00	2018 OCT 07 01:38:19	2018 OCT 07 01:29:08	739.0	-14.1	-11.1	18.4	
N/A	12	Ingress	2018 OCT 07 03:00:07	2018 OCT 07 03:12:15	2018 OCT 07 03:09:01	728.0	-95.4	59.6	14.4	
N/A	13	Egress	2018 OCT 07 03:23:20	2018 OCT 07 03:36:02	2018 OCT 07 03:26:38	762.0	-43.5	-9.3	18.3	
ACS	14	Merged	2018 OCT 07 04:58:03	2018 OCT 07 05:33:43	-	2140.0	-123.6	59.4	14.5	
NOMAD	15	Merged	2018 OCT 07 06:55:55	2018 OCT 07 07:31:24	-	2129.0	-152.5	59.5	14.4	
NOMAD	16	Merged	2018 OCT 07 08:53:46	2018 OCT 07 09:29:05	-	2119.0	178.1	59.7	14.4	
ACS	17	Merged	2018 OCT 07 10:51:42	2018 OCT 07 11:26:46	-	2104.0	150.2	59.5	14.4	
NOMAD	18	Merged	2018 OCT 07 12:49:43	2018 OCT 07 13:24:25	-	2082.0	122.2	59.2	14.5	
N/A	19	Merged	2018 OCT 07 14:47:42	2018 OCT 07 15:22:06	-	2064.0	94.0	59.1	14.5	
N/A	20	Grazing	2018 OCT 07 16:45:41	2018 OCT 07 17:19:51	-	2050.0	65.0	59.2	14.5	
NOMAD	21	Grazing	2018 OCT 07 18:43:37	2018 OCT 07 19:17:35	-	2038.0	36.8	59.0	14.5	
N/A	22	Grazing	2018 OCT 07 20:41:29	2018 OCT 07 21:15:14	-	2025.0	8.0	59.1	14.5	
NOMAD	23	Grazing	2018 OCT 07 22:39:21	2018 OCT 07 23:12:49	-	2008.0	-20.5	59.0	14.5	
NOMAD	24	Grazing	2018 OCT 08 00:37:23	2018 OCT 08 01:10:27	-	1984.0	-48.5	58.8	14.6	
N/A	25	Grazing	2018 OCT 08 02:35:28	2018 OCT 08 03:08:06	-	1958.0	-76.7	58.6	14.6	
N/A	26	Grazing	2018 OCT 08 04:33:30	2018 OCT 08 05:05:45	-	1935.0	-104.9	58.4	14.6	
NOMAD	27	Grazing	2018 OCT 08 06:31:25	2018 OCT 08 07:03:22	-	1917.0	-133.9	58.5	14.6	
N/A	28	Grazing	2018 OCT 08 08:29:18	2018 OCT 08 09:01:00	-	1902.0	-162.7	58.6	14.6	
NOMAD	29	Grazing	2018 OCT 08 10:27:13	2018 OCT 08 10:58:39	-	1886.0	168.7	58.5	14.6	
NOMAD	30	Grazing	2018 OCT 08 12:25:17	2018 OCT 08 12:56:13	-	1856.0	140.8	58.3	14.7	
N/A	31	Grazing	2018 OCT 08 14:23:19	2018 OCT 08 14:53:48	-	1829.0	112.6	58.1	14.7	
N/A	32	Grazing	2018 OCT 08 16:21:21	2018 OCT 08 16:51:28	-	1807.0	84.3	57.9	14.7	
NOMAD	33	Grazing	2018 OCT 08 18:19:21	2018 OCT 08 18:49:10	-	1789.0	56.0	57.7	14.8	
N/A	34	Grazing	2018 OCT 08 20:17:17	2018 OCT 08 20:46:48	-	1771.0	27.2	57.8	14.7	
N/A	35	Grazing	2018 OCT 08 22:15:09	2018 OCT 08 22:44:20	-	1751.0	-1.4	57.8	14.7	
N/A	36	Grazing	2018 OCT 09 00:13:10	2018 OCT 09 00:41:51	-	1721.0	-29.3	57.5	14.8	
N/A	37	Grazing	2018 OCT 09 02:11:21	2018 OCT 09 02:39:23	-	1682.0	-57.4	57.2	14.8	
N/A	38	Grazing	2018 OCT 09 04:09:30	2018 OCT 09 04:36:55	-	1645.0	-85.0	56.7	14.9	
N/A	39	Grazing	2018 OCT 09 06:07:31	2018 OCT 09 06:34:25	-	1614.0	-113.9	56.8	14.9	
N/A	40	Grazing	2018 OCT 09 08:05:25	2018 OCT 09 08:31:57	-	1592.0	-142.7	56.9	14.9	
N/A	41	Grazing	2018 OCT 09 10:03:21	2018 OCT 09 10:29:30	-	1569.0	-171.4	56.9	14.9	
N/A	42	Grazing	2018 OCT 09 12:01:27	2018 OCT 09 12:26:59	-	1532.0	161.3	56.2	15.0	
N/A	43	Grazing	2018 OCT 09 13:59:36	2018 OCT 09 14:24:25	-	1489.0	133.2	56.0	15.0	
N/A	44	Grazing	2018 OCT 09 15:57:44	2018 OCT 09 16:21:55	-	1451.0	104.9	55.8	15.0	
N/A	45	Grazing	2018 OCT 09 17:55:51	2018 OCT 09 18:19:28	-	1417.0	76.6	55.6	15.1	
N/A	46	Grazing	2018 OCT 09 19:53:54	2018 OCT 09 20:17:00	-	1386.0	48.3	55.4	15.1	
N/A	47	Grazing	2018 OCT 09 21:51:51	2018 OCT 09 22:14:28	-	1357.0	19.7	55.4	15.1	
N/A	48	Grazing	2018 OCT 09 23:49:53	2018 OCT 10 00:11:48	-	1315.0	-8.9	55.3	15.1	
N/A	49	Grazing	2018 OCT 10 01:48:14	2018 OCT 10 02:09:06	-	1252.0	-36.4	54.7	15.2	
N/A	50	Grazing	2018 OCT 10 03:46:39	2018 OCT 10 04:06:21	-	1182.0	-64.1	54.2	15.3	
N/A	51	Grazing	2018 OCT 10 05:44:57	2018 OCT 10 06:03:36	-	1119.0	-91.9	53.6	15.3	
N/A	52	Grazing	2018 OCT 10 07:43:04	2018 OCT 10 08:00:52	-	1068.0	-120.7	53.7	15.3	
N/A	53	Grazing	2018 OCT 10 09:41:09	2018 OCT 10 09:58:12	-	1023.0	-148.9	53.4	15.3	
