Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 OCT 06 15:57:44	2018 OCT 06 17:00:19	2018 OCT 06 16:28:49	3766.0	-176.7	-44.8	-11.1	-62.4	-20.8	62.4	7.6	
1	2018 OCT 06 17:55:33	2018 OCT 06 18:58:05	2018 OCT 06 18:26:37	3762.0	154.2	-73.8	-40.4	-62.3	-21.0	62.3	7.6	
2	2018 OCT 06 19:53:19	2018 OCT 06 20:55:49	2018 OCT 06 20:24:23	3760.0	125.0	-102.7	-69.7	-62.2	-21.2	62.1	7.5	
3	2018 OCT 06 21:51:04	2018 OCT 06 22:53:37	2018 OCT 06 22:22:09	3764.0	95.8	-131.7	-98.6	-62.1	-21.3	62.1	7.5	
4	2018 OCT 06 23:48:52	2018 OCT 07 00:51:27	2018 OCT 07 00:19:57	3766.0	66.9	-160.6	-127.5	-62.0	-21.3	62.0	7.5	
5	2018 OCT 07 01:46:45	2018 OCT 07 02:49:17	2018 OCT 07 02:17:49	3764.0	37.9	170.3	-156.6	-62.0	-21.4	61.9	7.5	
6	2018 OCT 07 03:44:36	2018 OCT 07 04:47:07	2018 OCT 07 04:15:39	3762.0	8.8	141.3	174.3	-61.9	-21.5	61.8	7.5	
7	2018 OCT 07 05:42:25	2018 OCT 07 06:44:55	2018 OCT 07 06:13:29	3760.0	-20.4	112.3	145.0	-61.8	-21.7	61.7	7.4	
8	2018 OCT 07 07:40:11	2018 OCT 07 08:42:39	2018 OCT 07 08:11:15	3758.0	-49.7	83.4	115.7	-61.6	-21.9	61.5	7.4	
9	2018 OCT 07 09:37:56	2018 OCT 07 10:40:25	2018 OCT 07 10:08:59	3760.0	-78.8	54.4	86.7	-61.5	-22.0	61.4	7.4	
10	2018 OCT 07 11:35:44	2018 OCT 07 12:38:15	2018 OCT 07 12:06:47	3762.0	-107.7	25.4	57.8	-61.4	-22.0	61.4	7.4	
11	2018 OCT 07 13:33:34	2018 OCT 07 14:36:07	2018 OCT 07 14:04:39	3764.0	-136.7	-3.6	28.8	-61.3	-22.1	61.3	7.3	
12	2018 OCT 07 15:31:24	2018 OCT 07 16:33:57	2018 OCT 07 16:02:29	3764.0	-165.9	-32.6	-0.4	-61.2	-22.3	61.2	7.3	
13	2018 OCT 07 17:29:13	2018 OCT 07 18:31:43	2018 OCT 07 18:00:17	3762.0	164.9	-61.6	-29.7	-61.0	-22.5	61.0	7.3	
14	2018 OCT 07 19:26:59	2018 OCT 07 20:29:27	2018 OCT 07 19:58:01	3760.0	135.6	-90.6	-59.0	-60.9	-22.8	60.8	7.3	
15	2018 OCT 07 21:24:44	2018 OCT 07 22:27:13	2018 OCT 07 21:55:47	3762.0	106.4	-119.6	-88.1	-60.7	-22.9	60.7	7.3	
16	2018 OCT 07 23:22:29	2018 OCT 08 00:25:01	2018 OCT 07 23:53:33	3764.0	77.4	-148.5	-117.0	-60.6	-23.0	60.6	7.2	
17	2018 OCT 08 01:20:19	2018 OCT 08 02:22:51	2018 OCT 08 01:51:23	3764.0	48.5	-177.5	-146.0	-60.5	-23.1	60.5	7.2	
18	2018 OCT 08 03:18:11	2018 OCT 08 04:20:41	2018 OCT 08 03:49:13	3762.0	19.4	153.4	-175.2	-60.4	-23.2	60.4	7.2	
19	2018 OCT 08 05:16:01	2018 OCT 08 06:18:29	2018 OCT 08 05:47:03	3760.0	-9.8	124.4	155.6	-60.3	-23.4	60.2	7.2	
20	2018 OCT 08 07:13:47	2018 OCT 08 08:16:13	2018 OCT 08 07:44:49	3758.0	-39.2	95.4	126.2	-60.0	-23.8	59.9	7.1	
21	2018 OCT 08 09:11:31	2018 OCT 08 10:13:57	2018 OCT 08 09:42:33	3758.0	-68.5	66.4	97.0	-59.9	-24.0	59.8	7.1	
22	2018 OCT 08 11:09:16	2018 OCT 08 12:11:43	2018 OCT 08 11:40:17	3760.0	-97.6	37.4	68.0	-59.7	-24.1	59.6	7.1	
23	2018 OCT 08 13:07:05	2018 OCT 08 14:09:35	2018 OCT 08 13:38:09	3762.0	-126.5	8.4	39.1	-59.6	-24.2	59.6	7.1	
24	2018 OCT 08 15:04:54	2018 OCT 08 16:07:23	2018 OCT 08 15:35:57	3762.0	-155.7	-20.6	9.8	-59.4	-24.4	59.3	7.0	
25	2018 OCT 08 17:02:42	2018 OCT 08 18:05:11	2018 OCT 08 17:33:45	3762.0	175.1	-49.6	-19.4	-59.2	-24.6	59.2	7.0	
26	2018 OCT 08 19:00:28	2018 OCT 08 20:02:55	2018 OCT 08 19:31:29	3760.0	145.8	-78.7	-48.8	-59.0	-24.9	58.9	7.0	
27	2018 OCT 08 20:58:12	2018 OCT 08 22:00:37	2018 OCT 08 21:29:13	3758.0	116.5	-107.7	-78.0	-58.8	-25.2	58.7	7.0	
28	2018 OCT 08 22:55:55	2018 OCT 08 23:58:23	2018 OCT 08 23:26:57	3760.0	87.4	-136.6	-107.0	-58.6	-25.3	58.5	6.9	
29	2018 OCT 09 00:53:42	2018 OCT 09 01:56:11	2018 OCT 09 01:24:45	3762.0	58.4	-165.6	-136.1	-58.5	-25.5	58.4	6.9	
30	2018 OCT 09 02:51:32	2018 OCT 09 03:53:59	2018 OCT 09 03:22:33	3760.0	29.4	165.3	-165.2	-58.3	-25.6	58.2	6.9	
31	2018 OCT 09 04:49:21	2018 OCT 09 05:51:45	2018 OCT 09 05:20:23	3756.0	0.2	136.3	165.5	-58.2	-25.9	57.9	6.9	
