Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
NOMAD	56	Ingress	2018 JUN 18 21:22:43	2018 JUN 18 21:27:38	2018 JUN 18 21:26:28	295.0	34.7	64.5	17.0	
NOMAD	57	Egress	2018 JUN 18 22:04:40	2018 JUN 18 22:09:56	2018 JUN 18 22:05:52	316.0	108.7	-82.9	22.7	
ACS	58	Ingress	2018 JUN 18 23:20:33	2018 JUN 18 23:25:28	2018 JUN 18 23:24:18	295.0	5.9	64.7	17.0	
ACS	59	Egress	2018 JUN 19 00:02:27	2018 JUN 19 00:07:44	2018 JUN 19 00:03:39	317.0	78.5	-82.8	22.6	
N/A	60	Ingress	2018 JUN 19 01:18:22	2018 JUN 19 01:23:19	2018 JUN 19 01:22:09	297.0	-22.7	64.6	17.0	
N/A	61	Egress	2018 JUN 19 02:00:13	2018 JUN 19 02:05:30	2018 JUN 19 02:01:26	317.0	48.4	-82.7	22.5	
N/A	62	Ingress	2018 JUN 19 03:16:18	2018 JUN 19 03:21:15	2018 JUN 19 03:20:04	297.0	-51.3	64.3	17.1	
N/A	63	Egress	2018 JUN 19 03:58:05	2018 JUN 19 04:03:23	2018 JUN 19 03:59:18	318.0	18.9	-82.6	22.4	
ACS	64	Ingress	2018 JUN 19 05:14:15	2018 JUN 19 05:19:13	2018 JUN 19 05:18:02	298.0	-79.8	64.0	17.1	
ACS	65	Egress	2018 JUN 19 05:55:58	2018 JUN 19 06:01:18	2018 JUN 19 05:57:12	320.0	-11.2	-82.5	22.3	
NOMAD	66	Ingress	2018 JUN 19 07:12:10	2018 JUN 19 07:17:09	2018 JUN 19 07:15:58	299.0	-108.6	64.0	17.1	
NOMAD	67	Egress	2018 JUN 19 07:53:50	2018 JUN 19 07:59:11	2018 JUN 19 07:55:04	321.0	-41.6	-82.4	22.2	
NOMAD	68	Ingress	2018 JUN 19 09:10:03	2018 JUN 19 09:15:03	2018 JUN 19 09:13:52	300.0	-137.3	64.1	17.1	
NOMAD	69	Egress	2018 JUN 19 09:51:40	2018 JUN 19 09:57:01	2018 JUN 19 09:52:53	321.0	-71.8	-82.3	22.1	
ACS	70	Ingress	2018 JUN 19 11:07:53	2018 JUN 19 11:12:55	2018 JUN 19 11:11:43	302.0	-166.0	64.0	17.0	
ACS	71	Egress	2018 JUN 19 11:49:27	2018 JUN 19 11:54:51	2018 JUN 19 11:50:41	324.0	-101.7	-82.1	22.0	
N/A	72	Ingress	2018 JUN 19 13:05:45	2018 JUN 19 13:10:47	2018 JUN 19 13:09:35	302.0	165.5	63.7	17.1	
N/A	73	Egress	2018 JUN 19 13:47:16	2018 JUN 19 13:52:40	2018 JUN 19 13:48:30	324.0	-131.0	-82.1	22.0	
NOMAD	74	Ingress	2018 JUN 19 15:03:39	2018 JUN 19 15:08:42	2018 JUN 19 15:07:30	303.0	136.8	63.6	17.1	
NOMAD	75	Egress	2018 JUN 19 15:45:05	2018 JUN 19 15:50:29	2018 JUN 19 15:46:19	324.0	-160.9	-81.9	21.9	
ACS	76	Ingress	2018 JUN 19 17:01:34	2018 JUN 19 17:06:38	2018 JUN 19 17:05:26	304.0	108.1	63.6	17.1	
ACS	77	Egress	2018 JUN 19 17:42:56	2018 JUN 19 17:48:21	2018 JUN 19 17:44:10	325.0	169.2	-81.8	21.8	
NOMAD	78	Ingress	2018 JUN 19 18:59:30	2018 JUN 19 19:04:35	2018 JUN 19 19:03:23	305.0	79.5	63.4	17.1	
NOMAD	79	Egress	2018 JUN 19 19:40:48	2018 JUN 19 19:46:15	2018 JUN 19 19:42:02	327.0	139.4	-81.7	21.7	
ACS	80	Ingress	2018 JUN 19 20:57:25	2018 JUN 19 21:02:31	2018 JUN 19 21:01:18	306.0	50.7	63.4	17.1	
ACS	81	Egress	2018 JUN 19 21:38:39	2018 JUN 19 21:44:07	2018 JUN 19 21:39:54	328.0	109.6	-81.5	21.7	
NOMAD	82	Ingress	2018 JUN 19 22:55:16	2018 JUN 19 23:00:23	2018 JUN 19 22:59:11	307.0	22.2	63.1	17.1	
NOMAD	83	Egress	2018 JUN 19 23:36:27	2018 JUN 19 23:41:57	2018 JUN 19 23:37:42	330.0	79.8	-81.4	21.6	
N/A	84	Ingress	2018 JUN 20 00:53:05	2018 JUN 20 00:58:13	2018 JUN 20 00:57:00	308.0	-6.6	63.3	17.1	
N/A	85	Egress	2018 JUN 20 01:34:12	2018 JUN 20 01:39:42	2018 JUN 20 01:35:27	330.0	50.0	-81.2	21.5	
NOMAD	86	Ingress	2018 JUN 20 02:50:58	2018 JUN 20 02:56:07	2018 JUN 20 02:54:54	309.0	-35.1	62.9	17.1	
NOMAD	87	Egress	2018 JUN 20 03:32:01	2018 JUN 20 03:37:31	2018 JUN 20 03:33:16	330.0	20.6	-81.1	21.5	
ACS	88	Ingress	2018 JUN 20 04:48:55	2018 JUN 20 04:54:05	2018 JUN 20 04:52:52	310.0	-63.8	62.9	17.1	
ACS	89	Egress	2018 JUN 20 05:29:53	2018 JUN 20 05:35:26	2018 JUN 20 05:31:09	333.0	-9.1	-81.0	21.4	
NOMAD	90	Ingress	2018 JUN 20 06:46:52	2018 JUN 20 06:52:03	2018 JUN 20 06:50:50	311.0	-92.4	62.6	17.1	
NOMAD	91	Egress	2018 JUN 20 07:27:46	2018 JUN 20 07:33:19	2018 JUN 20 07:29:02	333.0	-38.8	-80.8	21.3	
ACS	92	Ingress	2018 JUN 20 08:44:46	2018 JUN 20 08:49:59	2018 JUN 20 08:48:45	313.0	-121.1	62.7	17.1	
ACS	93	Egress	2018 JUN 20 09:25:36	2018 JUN 20 09:31:11	2018 JUN 20 09:26:52	335.0	-68.7	-80.6	21.3	
NOMAD	94	Ingress	2018 JUN 20 10:42:37	2018 JUN 20 10:47:51	2018 JUN 20 10:46:37	314.0	-149.8	62.7	17.1	
NOMAD	95	Egress	2018 JUN 20 11:23:23	2018 JUN 20 11:29:00	2018 JUN 20 11:24:40	337.0	-98.6	-80.4	21.2	
N/A	96	Ingress	2018 JUN 20 12:40:28	2018 JUN 20 12:45:43	2018 JUN 20 12:44:29	315.0	-178.4	62.3	17.1	
N/A	97	Egress	2018 JUN 20 13:21:11	2018 JUN 20 13:26:49	2018 JUN 20 13:22:28	338.0	-127.8	-80.3	21.1	
NOMAD	98	Ingress	2018 JUN 20 14:38:21	2018 JUN 20 14:43:37	2018 JUN 20 14:42:23	316.0	153.0	62.2	17.1	
NOMAD	99	Egress	2018 JUN 20 15:18:59	2018 JUN 20 15:24:38	2018 JUN 20 15:20:16	339.0	-157.3	-80.2	21.1	
ACS	100	Ingress	2018 JUN 20 16:36:16	2018 JUN 20 16:41:34	2018 JUN 20 16:40:19	318.0	124.3	62.2	17.1	
