Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
37	2018 JUN 19 15:54:00	2018 JUN 19 16:56:57	2018 JUN 19 16:25:11	3778.0	-65.6	8.0	99.9	-73.3	3.5	73.3	9.8	
38	2018 JUN 19 17:51:55	2018 JUN 19 18:54:51	2018 JUN 19 18:23:05	3778.0	-94.4	-20.9	71.0	-73.3	3.6	73.3	9.8	
39	2018 JUN 19 19:49:48	2018 JUN 19 20:52:45	2018 JUN 19 20:20:59	3780.0	-123.4	-49.9	42.4	-73.3	3.6	73.3	9.8	
40	2018 JUN 19 21:47:39	2018 JUN 19 22:50:35	2018 JUN 19 22:18:49	3778.0	-152.0	-78.8	13.5	-73.3	3.7	73.3	9.8	
41	2018 JUN 19 23:45:29	2018 JUN 20 00:48:23	2018 JUN 20 00:16:37	3776.0	179.3	-107.8	-15.3	-73.3	3.7	73.3	9.7	
42	2018 JUN 20 01:43:18	2018 JUN 20 02:46:15	2018 JUN 20 02:14:29	3780.0	150.4	-136.7	-43.8	-73.3	3.8	73.3	9.7	
43	2018 JUN 20 03:41:10	2018 JUN 20 04:44:09	2018 JUN 20 04:12:21	3782.0	121.7	-165.6	-72.4	-73.2	3.9	73.2	9.7	
44	2018 JUN 20 05:39:05	2018 JUN 20 06:42:03	2018 JUN 20 06:10:15	3780.0	93.2	165.4	-101.2	-73.2	4.0	73.2	9.7	
45	2018 JUN 20 07:37:01	2018 JUN 20 08:39:55	2018 JUN 20 08:08:09	3776.0	64.5	136.5	-130.2	-73.2	4.0	73.2	9.7	
46	2018 JUN 20 09:34:53	2018 JUN 20 10:37:47	2018 JUN 20 10:06:03	3776.0	35.6	107.5	-158.8	-73.2	4.0	73.2	9.7	
47	2018 JUN 20 11:32:43	2018 JUN 20 12:35:37	2018 JUN 20 12:03:51	3776.0	6.9	78.6	172.5	-73.3	4.1	73.3	9.6	
48	2018 JUN 20 13:30:32	2018 JUN 20 14:33:27	2018 JUN 20 14:01:41	3778.0	-22.0	49.7	143.8	-73.2	4.2	73.2	9.6	
49	2018 JUN 20 15:28:25	2018 JUN 20 16:31:21	2018 JUN 20 15:59:35	3778.0	-50.4	20.8	115.1	-73.1	4.3	73.1	9.6	
50	2018 JUN 20 17:26:19	2018 JUN 20 18:29:17	2018 JUN 20 17:57:29	3780.0	-79.2	-8.2	86.6	-73.1	4.3	73.1	9.6	
51	2018 JUN 20 19:24:13	2018 JUN 20 20:27:11	2018 JUN 20 19:55:23	3780.0	-107.9	-37.2	57.8	-73.1	4.4	73.1	9.6	
52	2018 JUN 20 21:22:05	2018 JUN 20 22:25:01	2018 JUN 20 21:53:15	3778.0	-136.7	-66.1	28.7	-73.1	4.4	73.2	9.5	
53	2018 JUN 20 23:19:56	2018 JUN 21 00:22:51	2018 JUN 20 23:51:05	3778.0	-165.6	-95.1	0.1	-73.2	4.5	73.2	9.5	
54	2018 JUN 21 01:17:44	2018 JUN 21 02:20:41	2018 JUN 21 01:48:53	3780.0	165.6	-124.0	-28.6	-73.2	4.5	73.1	9.5	
55	2018 JUN 21 03:15:35	2018 JUN 21 04:18:33	2018 JUN 21 03:46:45	3780.0	137.1	-152.9	-57.4	-73.1	4.6	73.1	9.5	
56	2018 JUN 21 05:13:30	2018 JUN 21 06:16:29	2018 JUN 21 05:44:41	3782.0	108.3	178.2	-85.8	-73.0	4.8	73.0	9.5	
57	2018 JUN 21 07:11:26	2018 JUN 21 08:14:23	2018 JUN 21 07:42:35	3780.0	79.7	149.2	-114.6	-73.0	4.9	73.0	9.5	
58	2018 JUN 21 09:09:20	2018 JUN 21 10:12:15	2018 JUN 21 09:40:29	3778.0	50.8	120.2	-143.4	-73.0	4.9	73.0	9.4	
59	2018 JUN 21 11:07:11	2018 JUN 21 12:10:05	2018 JUN 21 11:38:19	3776.0	22.2	91.3	-172.2	-73.1	4.9	73.1	9.4	
60	2018 JUN 21 13:04:59	2018 JUN 21 14:07:53	2018 JUN 21 13:36:07	3776.0	-6.6	62.4	158.9	-73.1	5.0	73.1	9.4	
61	2018 JUN 21 15:02:50	2018 JUN 21 16:05:47	2018 JUN 21 15:33:59	3780.0	-35.3	33.5	130.5	-73.0	5.1	72.9	9.4	
62	2018 JUN 21 17:00:44	2018 JUN 21 18:03:41	2018 JUN 21 17:31:53	3780.0	-64.0	4.5	101.7	-72.9	5.1	72.9	9.4	
63	2018 JUN 21 18:58:39	2018 JUN 21 20:01:37	2018 JUN 21 19:29:49	3782.0	-92.8	-24.4	73.1	-72.9	5.2	72.9	9.4	
64	2018 JUN 21 20:56:32	2018 JUN 21 21:59:29	2018 JUN 21 21:27:41	3780.0	-121.4	-53.4	44.2	-72.9	5.3	72.9	9.3	
65	2018 JUN 21 22:54:23	2018 JUN 21 23:57:19	2018 JUN 21 23:25:31	3778.0	-150.1	-82.3	15.4	-72.9	5.4	73.0	9.3	
66	2018 JUN 22 00:52:12	2018 JUN 22 01:55:09	2018 JUN 22 01:23:21	3780.0	-179.1	-111.3	-13.2	-73.0	5.4	72.9	9.3	
67	2018 JUN 22 02:50:02	2018 JUN 22 03:53:01	2018 JUN 22 03:21:13	3782.0	152.3	-140.2	-41.8	-72.9	5.5	72.8	9.3	
68	2018 JUN 22 04:47:55	2018 JUN 22 05:50:55	2018 JUN 22 05:19:05	3782.0	123.8	-169.1	-70.5	-72.8	5.6	72.8	9.3	
69	2018 JUN 22 06:45:51	2018 JUN 22 07:48:49	2018 JUN 22 07:17:01	3780.0	95.2	161.9	-99.3	-72.7	5.7	72.8	9.3	
70	2018 JUN 22 08:43:47	2018 JUN 22 09:46:43	2018 JUN 22 09:14:55	3778.0	66.5	133.0	-128.0	-72.7	5.8	72.8	9.2	
