Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	51	Nightside	2022 FEB 19 15:50:29	2022 FEB 19 16:19:47	2022 FEB 19 16:49:05	3515.91	95.11	-119.75	-99.15	-36.46	-49.44	36.76	108.95	4.09	14	-	-	-		
1	51	Dayside	2022 FEB 19 16:49:05	2022 FEB 19 17:18:48	2022 FEB 19 17:48:31	3566.13	-99.15	45.34	66.39	36.76	50.15	-37.03	71.00	16.06	14	-		COP row -1: UVIS off		
2	51	Nightside	2022 FEB 19 17:48:31	2022 FEB 19 18:17:50	2022 FEB 19 18:47:08	3516.92	66.39	-148.39	-127.87	-37.03	-48.91	37.27	109.08	4.10	3	-	-	-		
2	51	Dayside	2022 FEB 19 18:47:08	2022 FEB 19 19:16:51	2022 FEB 19 19:46:34	3566.38	-127.87	16.62	37.66	37.27	49.63	-37.52	70.83	16.06	3	Nominal 6SUBD #2	Science: orders #149, #134, #168, #121, #189, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&mroOverlap; 	
3	51	Nightside	2022 FEB 19 19:46:34	2022 FEB 19 20:15:54	2022 FEB 19 20:45:14	3519.47	37.66	-177.12	-156.61	-37.52	-48.37	37.80	109.26	4.10	14	-	-	-		
3	51	Dayside	2022 FEB 19 20:45:14	2022 FEB 19 21:14:58	2022 FEB 19 21:44:43	3568.67	-156.61	-12.09	8.92	37.80	49.10	-38.06	70.66	16.06	14	-		COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3		
4	51	Nightside	2022 FEB 19 21:44:43	2022 FEB 19 22:14:02	2022 FEB 19 22:43:22	3519.74	8.92	154.16	174.64	-38.06	-47.80	38.39	109.43	4.10	3	-	-	-		
4	51	Dayside	2022 FEB 19 22:43:22	2022 FEB 19 23:13:08	2022 FEB 19 23:42:53	3570.35	174.64	-40.74	-19.84	38.39	48.51	-38.68	70.51	16.07	3	Surface Ice 4SUBD 02	Science: orders #199, #189, #188, #187, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3	&mroOverlap; 	
5	51	Nightside	2022 FEB 19 23:42:53	2022 FEB 20 00:12:12	2022 FEB 20 00:41:32	3519.01	-19.84	125.50	145.89	-38.68	-47.23	39.00	109.57	4.11	14	-	-	-		
5	51	Dayside	2022 FEB 20 00:41:32	2022 FEB 20 01:11:17	2022 FEB 20 01:41:02	3570.38	145.89	-69.34	-48.60	39.00	47.87	-39.36	70.39	16.08	14	-		COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&mroOverlap; 	
6	51	Nightside	2022 FEB 20 01:41:02	2022 FEB 20 02:10:21	2022 FEB 20 02:39:40	3517.88	-48.60	96.91	117.14	-39.36	-46.61	39.65	109.67	4.12	14	-	-	-		
6	51	Dayside	2022 FEB 20 02:39:40	2022 FEB 20 03:09:24	2022 FEB 20 03:39:08	3567.94	117.14	-97.91	-77.34	39.65	47.26	-40.00	70.28	16.09	14	-		COP row -1: UVIS off		
7	51	Nightside	2022 FEB 20 03:39:08	2022 FEB 20 04:08:26	2022 FEB 20 04:37:45	3516.82	-77.34	68.33	88.40	-40.00	-46.00	40.27	109.77	4.13	14	-	-	-		
7	51	Dayside	2022 FEB 20 04:37:45	2022 FEB 20 05:07:27	2022 FEB 20 05:37:10	3565.06	88.40	-126.55	-106.05	40.27	46.74	-40.50	70.16	16.09	14	-		COP row -1: UVIS off		
8	51	Nightside	2022 FEB 20 05:37:10	2022 FEB 20 06:06:28	2022 FEB 20 06:35:46	3516.51	-106.05	39.63	59.69	-40.50	-45.47	40.75	109.93	4.13	3	-	-	-		
8	51	Dayside	2022 FEB 20 06:35:46	2022 FEB 20 07:05:29	2022 FEB 20 07:35:12	3565.76	59.69	-155.29	-134.77	40.75	46.28	-40.93	70.00	16.09	3	Nominal 4SUBD #2	Science: orders #168, #134, #121, #189, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&mroOverlap; 	
9	51	Nightside	2022 FEB 20 07:35:12	2022 FEB 20 08:04:31	2022 FEB 20 08:33:51	3518.43	-134.77	10.84	30.96	-40.93	-45.03	41.16	110.11	4.12	14	-	-	-		
9	51	Dayside	2022 FEB 20 08:33:51	2022 FEB 20 09:03:34	2022 FEB 20 09:33:18	3567.61	30.96	175.92	-163.51	41.16	45.78	-41.44	69.80	16.09	14	-		COP row -1: UVIS off		
10	51	Nightside	2022 FEB 20 09:33:18	2022 FEB 20 10:02:38	2022 FEB 20 10:31:59	3520.43	-163.51	-17.92	2.22	-41.44	-44.53	41.66	110.28	4.12	14	-	-	-		
10	51	Dayside	2022 FEB 20 10:31:59	2022 FEB 20 11:01:42	2022 FEB 20 11:31:26	3567.78	2.22	147.18	167.75	41.66	45.25	-42.01	69.63	16.09	14	-		COP row -1: UVIS off		
11	51	Nightside	2022 FEB 20 11:31:26	2022 FEB 20 12:00:47	2022 FEB 20 12:30:08	3521.52	167.75	-46.62	-26.53	-42.01	-43.94	42.28	110.44	4.13	14	-	-	-		
11	51	Dayside	2022 FEB 20 12:30:08	2022 FEB 20 12:59:51	2022 FEB 20 13:29:34	3566.59	-26.53	118.49	139.00	42.28	44.69	-42.60	69.49	16.09	14	-		COP row -1: UVIS off		
12	51	Nightside	2022 FEB 20 13:29:34	2022 FEB 20 13:58:55	2022 FEB 20 14:28:15	3520.93	139.00	-75.28	-55.28	-42.60	-43.31	42.92	110.57	4.13	28	-	-	-		
12	51	Dayside	2022 FEB 20 14:28:15	2022 FEB 20 14:57:58	2022 FEB 20 15:27:40	3564.89	-55.28	89.85	110.27	42.92	44.14	-43.18	69.38	16.10	28	Limb 2SUBD 07	Science: orders #164, #164, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:245;0:1047),Tint = 10000 ms,16 bit,Rhythm = 12017 ms, Binning=0	&trueDayLimb; 	
13	51	Nightside	2022 FEB 20 15:27:40	2022 FEB 20 15:57:00	2022 FEB 20 16:26:19	3519.14	110.27	-103.93	-84.01	-43.18	-42.73	43.48	110.70	4.14	14	-	-	-		
13	51	Dayside	2022 FEB 20 16:26:19	2022 FEB 20 16:56:01	2022 FEB 20 17:25:42	3562.88	-84.01	61.19	81.55	43.48	43.61	-43.72	69.26	16.10	14	-		COP row -1: UVIS off		
14	51	Nightside	2022 FEB 20 17:25:42	2022 FEB 20 17:55:01	2022 FEB 20 18:24:20	3517.94	81.55	-132.64	-112.72	-43.72	-42.26	43.90	110.83	4.14	14	-	-	-		
14	51	Dayside	2022 FEB 20 18:24:20	2022 FEB 20 18:54:01	2022 FEB 20 19:23:42	3562.24	-112.72	32.41	52.84	43.90	43.17	-44.11	69.08	16.10	14	-		COP row -1: UVIS off		
15	51	Nightside	2022 FEB 20 19:23:42	2022 FEB 20 19:53:03	2022 FEB 20 20:22:23	3520.37	52.84	-161.44	-141.43	-44.11	-41.83	44.31	111.02	4.13	14	-	-	-		
15	51	Dayside	2022 FEB 20 20:22:23	2022 FEB 20 20:52:05	2022 FEB 20 21:21:47	3564.10	-141.43	3.58	24.12	44.31	42.75	-44.51	68.88	16.09	14	-		COP row -1: UVIS off		
16	51	Nightside	2022 FEB 20 21:21:47	2022 FEB 20 21:51:08	2022 FEB 20 22:20:28	3521.51	24.12	169.72	-170.16	-44.51	-41.37	44.77	111.22	4.13	14	-	-	-		
16	51	Dayside	2022 FEB 20 22:20:28	2022 FEB 20 22:50:12	2022 FEB 20 23:19:55	3566.24	-170.16	-25.20	-4.62	44.77	42.28	-44.99	68.70	16.09	14	-		COP row -1: UVIS off		
17	51	Nightside	2022 FEB 20 23:19:55	2022 FEB 20 23:49:15	2022 FEB 21 00:18:36	3521.12	-4.62	140.94	161.10	-44.99	-40.88	45.27	111.40	4.12	3	-	-	-		
