MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 JUN 17 11:11:01,2020 JUN 17 11:16:01,47,47
2020 JUN 18 04:53:16,2020 JUN 18 04:58:16,56,56
2020 JUN 18 12:41:04,2020 JUN 18 12:41:36,60,60
2020 JUN 18 22:30:41,2020 JUN 18 22:31:52,65,65
2020 JUN 19 10:19:48,2020 JUN 19 10:24:48,71,71
2020 JUN 19 14:14:34,2020 JUN 19 14:19:34,73,73
2020 JUN 19 22:07:07,2020 JUN 19 22:12:07,77,77
2020 JUN 20 17:44:22,2020 JUN 20 17:49:22,87,87
2020 JUN 20 19:38:53,2020 JUN 20 19:43:53,88,88
2020 JUN 21 11:24:40,2020 JUN 21 11:29:40,96,96
2020 JUN 24 10:10:11,2020 JUN 24 10:11:30,132,132
2020 JUN 26 23:05:07,2020 JUN 26 23:08:06,163,163
2020 JUN 27 01:03:48,2020 JUN 27 01:08:48,164,164
2020 JUL 03 02:27:52,2020 JUL 03 02:32:52,238,238
2020 JUL 04 20:00:59,2020 JUL 04 20:05:59,259,259
2020 JUL 05 05:44:36,2020 JUL 05 05:49:36,264,264
2020 JUL 05 23:19:53,2020 JUL 05 23:24:53,273,273
2020 JUL 06 01:11:01,2020 JUL 06 01:16:01,274,274
2020 JUL 07 12:48:57,2020 JUL 07 12:52:35,292,292
2020 JUL 07 16:36:47,2020 JUL 07 16:41:47,294,294
2020 JUL 07 22:34:31,2020 JUL 07 22:39:31,297,297
2020 JUL 09 08:00:36,2020 JUL 09 08:05:36,314,314
