Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2019 JUN 15 15:39:12	2019 JUN 15 15:42:38	2019 JUN 15 15:43:20	248.00	-7.44	-0.05	1.26	-65.90	-61.31	-60.25	15.90	3	-	-	-	&daysideMatch:CLARITAS RISE; 	
N/A	1	Egress	2019 JUN 15 16:21:54	2019 JUN 15 16:22:34	2019 JUN 15 16:25:43	229.00	87.04	90.73	108.71	72.51	72.97	74.03	22.60	3	-	-	-	&daysideMatch:CLARITAS RISE; 	
N/A	2	Ingress	2019 JUN 15 17:37:02	2019 JUN 15 17:40:30	2019 JUN 15 17:41:12	250.00	-36.19	-28.67	-27.35	-65.91	-61.25	-60.18	15.90	1	-	-	-		
NOMAD	2	Egress	2019 JUN 15 18:19:43	2019 JUN 15 18:20:23	2019 JUN 15 18:23:32	229.00	57.62	61.30	79.31	72.39	72.87	74.01	22.55	1	136 with 1xDark	Science: orders #136, #136, #136, #136, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	3	Ingress	2019 JUN 15 19:34:58	2019 JUN 15 19:38:26	2019 JUN 15 19:39:08	250.00	-64.68	-57.17	-55.85	-65.80	-61.08	-60.00	15.92	14	-	-	-		
N/A	3	Egress	2019 JUN 15 20:17:35	2019 JUN 15 20:18:15	2019 JUN 15 20:21:25	230.00	28.40	32.07	50.25	72.30	72.80	73.99	22.51	14	-	-	-		
N/A	4	Ingress	2019 JUN 15 21:32:58	2019 JUN 15 21:36:26	2019 JUN 15 21:37:08	250.00	-93.19	-85.68	-84.37	-65.69	-60.92	-59.83	15.93	1	-	-	-		
NOMAD	4	Egress	2019 JUN 15 22:15:32	2019 JUN 15 22:16:12	2019 JUN 15 22:19:22	230.00	-0.86	2.80	21.04	72.21	72.72	73.97	22.48	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	5	Ingress	2019 JUN 15 23:30:56	2019 JUN 15 23:34:24	2019 JUN 15 23:35:07	251.00	-121.84	-114.30	-112.95	-65.64	-60.83	-59.71	15.94	3	-	-	-	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
N/A	5	Egress	2019 JUN 16 00:13:27	2019 JUN 16 00:14:08	2019 JUN 16 00:17:18	231.00	-30.33	-26.59	-8.32	72.08	72.62	73.94	22.43	3	-	-	-	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
N/A	6	Ingress	2019 JUN 16 01:28:52	2019 JUN 16 01:32:21	2019 JUN 16 01:33:04	252.00	-150.58	-142.95	-141.59	-65.64	-60.77	-59.64	15.94	14	-	-	-		
N/A	6	Egress	2019 JUN 16 02:11:21	2019 JUN 16 02:12:02	2019 JUN 16 02:15:13	232.00	-59.90	-56.18	-37.83	71.93	72.49	73.91	22.37	14	-	-	-		
NOMAD	7	Ingress	2019 JUN 16 03:26:45	2019 JUN 16 03:30:16	2019 JUN 16 03:30:59	254.00	-179.41	-171.63	-170.26	-65.69	-60.74	-59.59	15.94	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:NILI FOSSAE; 	
N/A	7	Egress	2019 JUN 16 04:09:12	2019 JUN 16 04:09:53	2019 JUN 16 04:13:05	233.00	-89.36	-85.67	-67.24	71.79	72.37	73.88	22.32	1	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	8	Ingress	2019 JUN 16 05:24:38	2019 JUN 16 05:28:10	2019 JUN 16 05:28:53	255.00	151.85	159.73	161.10	-65.69	-60.69	-59.53	15.95	1	-	-	-		
NOMAD	8	Egress	2019 JUN 16 06:07:03	2019 JUN 16 06:07:44	2019 JUN 16 06:10:57	234.00	-118.62	-114.94	-96.38	71.68	72.27	73.85	22.28	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	9	Ingress	2019 JUN 16 07:22:33	2019 JUN 16 07:26:05	2019 JUN 16 07:26:48	255.00	123.34	131.21	132.58	-65.59	-60.54	-59.37	15.96	14	-	-	-		
ACS	9	Egress	2019 JUN 16 08:04:55	2019 JUN 16 08:05:36	2019 JUN 16 08:08:49	234.00	-147.84	-144.17	-125.58	71.57	72.18	73.82	22.24	14	-	-	-		
NOMAD	10	Ingress	2019 JUN 16 09:20:32	2019 JUN 16 09:24:04	2019 JUN 16 09:24:47	255.00	94.87	102.72	104.09	-65.46	-60.35	-59.18	15.97	1	AER 01	Science: orders #119, #133, #143, #154, #169, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	10	Egress	2019 JUN 16 10:02:49	2019 JUN 16 10:03:30	2019 JUN 16 10:06:44	235.00	-177.17	-173.51	-154.80	71.44	72.07	73.79	22.20	1	Nominal Science with CO 01	Science: orders #147, #134, #169, #121, #186, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	11	Ingress	2019 JUN 16 11:18:31	2019 JUN 16 11:22:04	2019 JUN 16 11:22:47	256.00	66.22	74.14	75.51	-65.41	-60.23	-59.04	15.98	14	-	-	-		
ACS	11	Egress	2019 JUN 16 12:00:44	2019 JUN 16 12:01:25	2019 JUN 16 12:04:40	236.00	153.48	157.12	175.92	71.31	71.96	73.76	22.15	14	-	-	-		
N/A	12	Ingress	2019 JUN 16 13:16:29	2019 JUN 16 13:20:02	2019 JUN 16 13:20:46	257.00	37.49	45.46	46.87	-65.40	-60.19	-58.96	15.98	3	-	-	-	&daysideMatch:COPRATES RISE; 	
N/A	12	Egress	2019 JUN 16 13:58:40	2019 JUN 16 13:59:22	2019 JUN 16 14:02:37	237.00	124.15	127.86	146.66	71.18	71.86	73.72	22.12	3	-	-	-	&daysideMatch:COPRATES RISE; 	
NOMAD	13	Ingress	2019 JUN 16 15:14:25	2019 JUN 16 15:17:59	2019 JUN 16 15:18:43	258.00	8.70	16.78	18.19	-65.42	-60.15	-58.92	15.99	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	13	Egress	2019 JUN 16 15:56:33	2019 JUN 16 15:57:15	2019 JUN 16 16:00:31	238.00	94.77	98.45	117.32	71.03	71.72	73.68	22.07	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	14	Ingress	2019 JUN 16 17:12:17	2019 JUN 16 17:15:52	2019 JUN 16 17:16:36	259.00	-20.06	-11.89	-10.47	-65.44	-60.11	-58.87	15.99	14	-	-	-		
