Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2019 JUN 15 15:33:38	2019 JUN 15 16:03:02	2019 JUN 15 16:32:26	3528.53	-24.29	87.46	141.30	-71.56	-8.37	71.57	150.73	22.07	3	-	-	-		
1	Dayside	2019 JUN 15 16:32:26	2019 JUN 15 17:01:58	2019 JUN 15 17:31:29	3542.87	141.30	-107.44	-53.16	71.57	9.86	-71.58	29.39	10.03	3	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 81: NADIR: Horizontal Bin (57:240;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12081 ms, Binning=3	&daysideMatch:CLARITAS RISE; 	
2	Nightside	2019 JUN 15 17:31:29	2019 JUN 15 18:00:54	2019 JUN 15 18:30:18	3529.03	-53.16	58.54	112.46	-71.58	-8.30	71.59	150.49	22.05	1	-	-	-		
2	Dayside	2019 JUN 15 18:30:18	2019 JUN 15 18:59:50	2019 JUN 15 19:29:23	3544.43	112.46	-136.38	-81.85	71.59	9.83	-71.57	29.64	10.01	1	-		COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
3	Nightside	2019 JUN 15 19:29:23	2019 JUN 15 19:58:48	2019 JUN 15 20:28:13	3530.92	-81.85	29.60	83.80	-71.57	-8.23	71.56	150.23	22.03	14	-	-	-		
3	Dayside	2019 JUN 15 20:28:13	2019 JUN 15 20:57:46	2019 JUN 15 21:27:19	3545.55	83.80	-165.34	-110.61	71.56	9.74	-71.56	29.91	9.99	14	-		COP row 81: NADIR: Horizontal Bin (57:240;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
4	Nightside	2019 JUN 15 21:27:19	2019 JUN 15 21:56:45	2019 JUN 15 22:26:11	3532.40	-110.61	0.62	55.04	-71.56	-8.21	71.56	149.97	22.02	1	-	-	-		
4	Dayside	2019 JUN 15 22:26:11	2019 JUN 15 22:55:44	2019 JUN 15 23:25:16	3544.75	55.04	165.69	-139.48	71.56	9.67	-71.58	30.18	9.98	1	-		COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
5	Nightside	2019 JUN 15 23:25:16	2019 JUN 15 23:54:43	2019 JUN 16 00:24:09	3532.91	-139.48	-28.36	26.11	-71.58	-8.18	71.59	149.70	22.00	3	-	-	-		
5	Dayside	2019 JUN 16 00:24:09	2019 JUN 16 00:53:41	2019 JUN 16 01:23:12	3543.33	26.11	136.71	-168.42	71.59	9.66	-71.61	30.45	9.96	3	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 81: NADIR: Horizontal Bin (57:240;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12081 ms, Binning=3	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
6	Nightside	2019 JUN 16 01:23:12	2019 JUN 16 01:52:39	2019 JUN 16 02:22:05	3532.19	-168.42	-57.33	-2.92	-71.61	-8.14	71.63	149.43	21.98	14	-	-	-		
6	Dayside	2019 JUN 16 02:22:05	2019 JUN 16 02:51:36	2019 JUN 16 03:21:07	3542.14	-2.92	107.75	162.59	71.63	9.69	-71.65	30.70	9.94	14	-		COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
7	Nightside	2019 JUN 16 03:21:07	2019 JUN 16 03:50:32	2019 JUN 16 04:19:58	3530.90	162.59	-86.27	-31.93	-71.65	-8.12	71.67	149.18	21.96	1	-	-	-		
