TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 SEP 05 06:12:00,8,8
2021 SEP 05 08:09:00,9,9
2021 SEP 05 12:06:00,11,11
2021 SEP 05 14:03:00,12,12
2021 SEP 05 18:00:00,14,14
2021 SEP 06 23:30:00,29,29
2021 SEP 07 03:27:00,31,31
2021 SEP 07 05:24:00,32,32
2021 SEP 07 09:21:00,34,34
2021 SEP 08 10:54:00,47,47
2021 SEP 08 14:51:00,49,49
2021 SEP 08 16:48:00,50,50
2021 SEP 08 20:45:00,52,52
2021 SEP 09 18:21:00,63,63
2021 SEP 10 04:12:00,68,68
2021 SEP 10 10:06:00,71,71
2021 SEP 10 19:57:00,76,76
2021 SEP 11 17:33:00,87,87
2021 SEP 11 23:27:00,90,90
2021 SEP 12 09:18:00,95,95
2021 SEP 13 06:54:00,106,106
2021 SEP 13 12:48:00,109,109
2021 SEP 13 16:45:00,111,111
2021 SEP 13 22:39:00,114,114
2021 SEP 14 20:15:00,125,125
2021 SEP 15 06:06:00,130,130
2021 SEP 16 09:36:00,144,144
2021 SEP 16 03:42:00,141,141
2021 SEP 18 04:51:00,166,166
2021 SEP 19 12:18:00,182,182
2021 SEP 19 18:12:00,185,185
2021 SEP 20 06:00:00,191,191
2021 SEP 21 19:21:00,210,210
2021 SEP 23 04:45:00,227,227
2021 SEP 24 18:06:00,246,246
2021 SEP 27 16:51:00,282,282
2021 SEP 28 04:39:00,288,288
2021 SEP 29 00:18:00,298,298
2021 SEP 29 18:00:00,307,307
2021 OCT 01 03:24:00,324,324
