MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 OCT 04 10:49:40,2020 OCT 04 10:52:15,10,10
2020 OCT 05 10:14:46,2020 OCT 05 10:19:46,22,22
2020 OCT 05 12:11:54,2020 OCT 05 12:16:54,23,23
2020 OCT 05 14:13:04,2020 OCT 05 14:18:04,24,24
2020 OCT 05 16:08:54,2020 OCT 05 16:13:54,25,25
2020 OCT 05 20:06:11,2020 OCT 05 20:11:11,27,27
2020 OCT 06 05:55:01,2020 OCT 06 06:00:01,32,32
2020 OCT 06 23:38:38,2020 OCT 06 23:43:38,41,41
2020 OCT 07 09:30:08,2020 OCT 07 09:35:08,46,46
2020 OCT 07 23:11:50,2020 OCT 07 23:16:50,53,53
2020 OCT 08 07:06:06,2020 OCT 08 07:11:06,57,57
2020 OCT 08 14:58:19,2020 OCT 08 15:03:19,61,61
2020 OCT 08 18:51:38,2020 OCT 08 18:56:38,63,63
2020 OCT 09 10:36:30,2020 OCT 09 10:41:30,71,71
2020 OCT 09 18:27:54,2020 OCT 09 18:32:25,75,75
2020 OCT 10 22:00:44,2020 OCT 10 22:05:44,89,89
2020 OCT 10 23:57:27,2020 OCT 11 00:02:27,90,90
2020 OCT 11 09:47:18,2020 OCT 11 09:52:18,95,95
2020 OCT 11 13:43:50,2020 OCT 11 13:46:16,97,97
2020 OCT 11 17:38:50,2020 OCT 11 17:43:50,99,99
2020 OCT 13 01:08:26,2020 OCT 13 01:13:26,115,115
2020 OCT 14 14:30:56,2020 OCT 14 14:35:56,134,134
2020 OCT 14 20:25:10,2020 OCT 14 20:30:10,137,137
2020 OCT 14 22:22:14,2020 OCT 14 22:26:29,138,138
2020 OCT 15 08:10:27,2020 OCT 15 08:15:27,143,143
2020 OCT 15 21:59:50,2020 OCT 15 22:04:50,150,150
2020 OCT 16 01:53:48,2020 OCT 16 01:58:48,152,152
2020 OCT 16 15:38:42,2020 OCT 16 15:43:42,159,159
2020 OCT 16 17:34:57,2020 OCT 16 17:39:57,160,160
2020 OCT 25 12:02:20,2020 OCT 25 12:07:20,267,267
2020 OCT 29 14:06:34,2020 OCT 29 14:11:34,317,317
