MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 AUG 08 18:14:02,2020 AUG 08 18:19:02,2,2
2020 AUG 08 20:15:30,2020 AUG 08 20:17:30,3,3
2020 AUG 08 21:56:06,2020 AUG 08 22:01:06,4,4
2020 AUG 09 02:01:22,2020 AUG 09 02:06:22,6,6
2020 AUG 09 21:43:47,2020 AUG 09 21:48:47,16,16
2020 AUG 10 01:37:58,2020 AUG 10 01:42:58,18,18
2020 AUG 10 05:33:21,2020 AUG 10 05:38:21,20,20
2020 AUG 10 09:37:35,2020 AUG 10 09:42:35,22,22
2020 AUG 10 23:16:23,2020 AUG 10 23:21:23,29,29
2020 AUG 11 01:16:34,2020 AUG 11 01:21:34,30,30
2020 AUG 11 05:15:36,2020 AUG 11 05:19:11,32,32
2020 AUG 11 11:03:42,2020 AUG 11 11:08:42,35,35
2020 AUG 11 16:45:52,2020 AUG 11 16:50:52,38,38
2020 AUG 12 06:42:14,2020 AUG 12 06:47:14,45,45
2020 AUG 12 22:16:32,2020 AUG 12 22:21:32,53,53
2020 AUG 13 00:24:52,2020 AUG 13 00:29:52,54,54
2020 AUG 13 23:59:00,2020 AUG 14 00:04:00,66,66
2020 AUG 14 07:54:28,2020 AUG 14 07:59:28,70,70
2020 AUG 14 17:39:17,2020 AUG 14 17:44:17,75,75
2020 AUG 15 17:13:58,2020 AUG 15 17:18:58,87,87
2020 AUG 16 03:02:34,2020 AUG 16 03:07:34,92,92
2020 AUG 16 10:55:39,2020 AUG 16 11:00:39,96,96
2020 AUG 16 16:52:42,2020 AUG 16 16:57:42,99,99
2020 AUG 16 20:44:39,2020 AUG 16 20:49:39,101,101
2020 AUG 16 22:40:40,2020 AUG 16 22:45:40,102,102
2020 AUG 17 00:35:40,2020 AUG 17 00:40:40,103,103
2020 AUG 17 02:38:58,2020 AUG 17 02:43:58,104,104
2020 AUG 17 18:20:09,2020 AUG 17 18:25:09,112,112
2020 AUG 18 04:13:05,2020 AUG 18 04:18:05,117,117
2020 AUG 18 17:54:13,2020 AUG 18 17:59:13,124,124
2020 AUG 19 05:40:50,2020 AUG 19 05:45:50,130,130
2020 AUG 19 19:32:19,2020 AUG 19 19:37:19,137,137
2020 AUG 19 21:27:43,2020 AUG 19 21:32:13,138,138
2020 AUG 20 13:15:11,2020 AUG 20 13:20:11,146,146
2020 AUG 20 19:09:26,2020 AUG 20 19:14:26,149,149
2020 AUG 21 00:57:24,2020 AUG 21 01:02:24,152,152
2020 AUG 22 06:27:35,2020 AUG 22 06:32:35,167,167
2020 AUG 22 10:22:20,2020 AUG 22 10:27:20,169,169
2020 AUG 23 00:24:26,2020 AUG 23 00:29:26,176,176
2020 AUG 23 12:04:04,2020 AUG 23 12:09:04,182,182
2020 AUG 23 13:58:59,2020 AUG 23 14:03:59,183,183
2020 AUG 23 15:59:13,2020 AUG 23 16:04:13,184,184
2020 AUG 24 07:33:10,2020 AUG 24 07:35:09,192,192
2020 AUG 24 13:37:28,2020 AUG 24 13:42:28,195,195
2020 AUG 24 23:11:50,2020 AUG 24 23:16:50,200,200
2020 AUG 25 09:07:27,2020 AUG 25 09:10:11,205,205
2020 AUG 26 08:37:58,2020 AUG 26 08:42:58,217,217
2020 AUG 27 12:21:17,2020 AUG 27 12:26:17,231,231
2020 AUG 27 16:12:17,2020 AUG 27 16:17:17,233,233
2020 AUG 27 17:57:34,2020 AUG 27 18:02:34,234,234
2020 AUG 27 22:06:32,2020 AUG 27 22:11:32,236,236
2020 AUG 28 00:00:58,2020 AUG 28 00:05:58,237,237
2020 AUG 28 02:01:22,2020 AUG 28 02:06:22,238,238
2020 AUG 28 03:54:31,2020 AUG 28 03:59:31,239,239
2020 AUG 28 07:55:15,2020 AUG 28 08:00:15,241,241
2020 AUG 28 15:41:42,2020 AUG 28 15:46:42,245,245
2020 AUG 28 17:40:55,2020 AUG 28 17:45:55,246,246
2020 AUG 28 21:48:46,2020 AUG 28 21:53:46,248,248
2020 AUG 29 05:22:48,2020 AUG 29 05:27:48,252,252
2020 AUG 29 11:30:53,2020 AUG 29 11:35:53,255,255
2020 AUG 30 00:58:11,2020 AUG 30 01:03:11,262,262
2020 AUG 30 11:00:23,2020 AUG 30 11:05:23,267,267
2020 AUG 30 13:03:12,2020 AUG 30 13:08:12,268,268
2020 AUG 30 15:01:13,2020 AUG 30 15:06:13,269,269
2020 AUG 30 16:59:51,2020 AUG 30 17:04:51,270,270
2020 AUG 30 18:53:20,2020 AUG 30 18:58:20,271,271
2020 AUG 31 00:40:42,2020 AUG 31 00:45:42,274,274
2020 AUG 31 04:45:54,2020 AUG 31 04:50:54,276,276
2020 AUG 31 08:34:56,2020 AUG 31 08:39:56,278,278
2020 SEP 01 00:16:36,2020 SEP 01 00:21:36,286,286
2020 SEP 01 12:11:00,2020 SEP 01 12:16:00,292,292
2020 SEP 01 16:07:40,2020 SEP 01 16:12:40,294,294
2020 SEP 02 03:50:40,2020 SEP 02 03:55:40,300,300
2020 SEP 02 17:37:17,2020 SEP 02 17:42:17,307,307
2020 SEP 03 05:28:20,2020 SEP 03 05:33:20,313,313
2020 SEP 03 13:17:20,2020 SEP 03 13:22:20,317,317
2020 SEP 04 09:02:34,2020 SEP 04 09:07:34,327,327
2020 SEP 04 10:48:44,2020 SEP 04 10:53:44,328,328
2020 SEP 04 14:55:27,2020 SEP 04 15:00:27,330,330
2020 SEP 04 18:51:37,2020 SEP 04 18:56:37,332,332
2020 SEP 05 00:41:23,2020 SEP 05 00:46:23,335,335
2020 SEP 05 02:38:02,2020 SEP 05 02:43:02,336,336
2020 SEP 05 08:37:08,2020 SEP 05 08:42:08,339,339
