MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2019 SEP 16 03:40:40,2019 SEP 16 03:45:02,18,18
2019 SEP 17 07:09:04,2019 SEP 17 07:14:04,32,32
2019 SEP 17 14:55:27,2019 SEP 17 15:00:27,36,36
2019 SEP 18 08:43:16,2019 SEP 18 08:43:36,45,45
2019 SEP 20 01:52:52,2019 SEP 20 01:57:52,66,66
2019 SEP 20 05:50:29,2019 SEP 20 05:55:29,68,68
2019 SEP 20 11:43:18,2019 SEP 20 11:47:31,71,71
2019 SEP 22 12:50:04,2019 SEP 22 12:55:04,96,96
2019 SEP 22 20:40:36,2019 SEP 22 20:45:21,100,100
2019 SEP 25 11:33:52,2019 SEP 25 11:38:52,132,132
2019 SEP 26 01:14:33,2019 SEP 26 01:19:33,139,139
2019 SEP 26 09:07:37,2019 SEP 26 09:12:37,143,143
2019 SEP 29 17:41:14,2019 SEP 29 17:43:56,184,184
2019 SEP 30 09:25:52,2019 SEP 30 09:30:52,192,192
2019 SEP 30 11:21:10,2019 SEP 30 11:25:28,193,193
2019 OCT 03 02:23:43,2019 OCT 03 02:24:52,225,225
2019 OCT 05 05:25:37,2019 OCT 05 05:28:53,251,251
