AER_01, OCCEG, 11, 67, 105, 163, 317
AER_01, OCCIN, 136, 193, 225
DUST01, OCCEG, 25, 140, 196, 290
DUST01, OCCIN, 75, 112, 169, 324
HDO_01, OCCEG, 57, 96, 157, 310
HDO_01, OCCIN, 128, 184, 217, 341
ICE_01, OCCEG, 31, 78, 113, 171, 325
ICE_01, OCCIN, 143, 202, 295
NOM_01, OCCEG, 5, 13, 43, 72, 75, 112, 128, 142, 148, 169, 184, 200, 206, 211, 221, 225, 292, 298, 300, 319, 324
NOM_01, OCCIN, 26, 28, 38, 58, 78, 85, 95, 103, 106, 113, 118, 122, 137, 142, 154, 160, 165, 171, 176, 178, 195, 200, 292, 311, 325, 333, 337
NOM_01, OCCME, 228, 246, 267
