TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 MAY 15 20:03:00,3,3
2021 MAY 16 00:00:00,5,5
2021 MAY 16 03:57:00,7,7
2021 MAY 17 03:33:00,19,19
2021 MAY 17 05:30:00,20,20
2021 MAY 17 11:24:00,23,23
2021 MAY 17 13:24:00,24,24
2021 MAY 17 15:21:00,25,25
2021 MAY 17 19:18:00,27,27
2021 MAY 18 00:21:00,30,30
2021 MAY 18 20:51:00,40,40
2021 MAY 19 06:42:00,45,45
2021 MAY 20 08:15:00,58,58
2021 MAY 20 10:12:00,59,59
2021 MAY 20 14:09:00,61,61
2021 MAY 21 21:36:00,77,77
2021 MAY 22 13:21:00,85,85
2021 MAY 23 14:54:00,98,98
2021 MAY 24 02:42:00,104,104
2021 MAY 24 13:48:00,110,110
2021 MAY 24 22:21:00,114,114
2021 MAY 25 04:15:00,117,117
2021 MAY 28 06:57:00,155,155
2021 MAY 29 20:18:00,174,174
2021 JUN 04 08:00:00,241,241
