UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 JAN 01 13:58:01, 57.4, 15.6, #136 #168
2020 JAN 03 15:05:53, 51.9, 15.1, #136 #168
2020 JAN 06 15:47:57, 42.2, 14.5, #134 #136
2020 JAN 08 16:56:17, 38.3, 14.0, #136 #136
2020 JAN 10 18:03:58, 33.1, 13.6, #134 #136
2020 JAN 13 18:44:45, 21.6, 12.9, #134 #190
2020 JAN 15 19:54:11, 23.5, 12.5, #136 #136
2020 JAN 17 21:01:33, 21.0, 12.1, #134 #136
2020 JAN 22 22:51:43, 25.1, 11.0, #136 #190
2020 JAN 24 23:59:27, 29.4, 10.5, #134 #190
