NOM_02, OCCEG, 164, 218, 220
NOM_02, OCCIN, 32, 51, 86, 178, 201, 243
NOM_02, OCCME, 278
NOM_03, OCCEG, 10, 12, 14, 25, 29, 40, 42, 54, 81, 92, 101, 102, 115, 122, 127, 133, 142, 147, 151, 153, 175, 176, 189, 192, 201, 204, 207, 210, 212, 225, 227, 234, 237, 245, 247, 250, 251, 253, 259, 264, 270, 272, 273, 274, 275
NOM_03, OCCIN, 22, 43, 49, 61, 63, 74, 76, 80, 92, 98, 101, 107, 110, 115, 119, 125, 130, 131, 140, 142, 163, 166, 175, 176, 183, 189, 198, 199, 205, 216, 225, 228, 231, 233, 234, 253, 261, 263, 266, 273
NOM_03, OCCME, 276
CO_002, OCCEG, 17, 58, 110, 131, 143, 166, 193, 205, 241, 263
CO_002, OCCIN, 34, 46, 102, 104, 122, 127, 147, 156, 164, 210, 251, 269
CO2_01, OCCEG, 38
CO2_02, OCCEG, 27, 36, 113, 125, 140, 269
CO2_02, OCCIN, 9, 24, 59, 116, 137, 143, 145, 155, 184, 192, 227, 239, 247, 250, 257, 264
HCL_01, OCCEG, 68, 70, 83
HCL_01, OCCIN, 18, 121, 187, 212, 213
FUL_01, OCCEG, 213
FUL_01, OCCIN, 113, 168, 204, 218, 270
