NOM_02, OCCEG, 97
NOM_02, OCCIN, 130, 133, 167
NOM_03, OCCEG, 22, 28, 34, 68, 71, 80, 81, 88, 105, 107, 109, 117, 120, 130, 139, 146, 149, 152, 158, 167, 168, 170, 176, 183, 188, 189, 196, 210
NOM_03, OCCIN, 22, 34, 40, 44, 46, 47, 52, 58, 60, 63, 70, 71, 80, 90, 94, 105, 107, 112, 120, 122, 124, 132, 147, 149, 161, 164, 182, 183, 192, 197, 199, 202, 205
NOM_03, OCCME, 16, 17, 18, 20
CO_001, OCCIN, 103, 168
CO_002, OCCEG, 24, 31, 37, 40, 47, 74, 77, 119, 137, 144, 155, 173, 182
CO_002, OCCIN, 25, 77, 83, 144, 177
CO2_01, OCCEG, 36, 44, 94, 96, 113, 133, 159, 177, 179, 192
CO2_01, OCCIN, 24, 32, 97, 119, 135, 137, 142, 159
CO2_02, OCCEG, 32, 52, 54, 65, 112, 115, 142, 164, 206, 208
CO2_02, OCCIN, 28, 37, 57, 68, 81, 100, 109, 146, 158, 186, 211
HCL_01, OCCEG, 58, 86, 125, 194
HCL_01, OCCIN, 31, 74, 153, 173
FUL_01, OCCEG, 25, 63, 70, 83, 132
FUL_01, OCCIN, 86, 88, 139, 152, 155
