TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2023 OCT 01 20:12:00,15,15
2023 OCT 05 02:51:00,55,55
2023 OCT 05 08:45:00,58,58
2023 OCT 05 14:39:00,61,61
2023 OCT 06 10:18:00,71,71
2023 OCT 06 16:12:00,74,74
2023 OCT 06 20:09:00,76,76
2023 OCT 07 02:03:00,79,79
2023 OCT 08 03:36:00,92,92
2023 OCT 08 07:33:00,94,94
2023 OCT 08 13:27:00,97,97
2023 OCT 09 15:00:00,110,110
2023 OCT 09 17:00:00,111,111
2023 OCT 09 20:57:00,113,113
2023 OCT 09 22:54:00,114,114
2023 OCT 10 00:51:00,115,115
2023 OCT 10 02:51:00,116,116
2023 OCT 11 04:27:00,129,129
2023 OCT 11 06:24:00,130,130
2023 OCT 11 10:21:00,132,132
2023 OCT 11 12:18:00,133,133
2023 OCT 11 14:18:00,134,134
2023 OCT 11 16:15:00,135,135
2023 OCT 12 15:57:00,147,147
2023 OCT 12 15:54:00,147,147
2023 OCT 12 17:51:00,148,148
2023 OCT 12 19:51:00,149,149
2023 OCT 12 21:51:00,150,150
2023 OCT 12 23:48:00,151,151
2023 OCT 13 01:45:00,152,152
2023 OCT 14 01:24:00,164,164
2023 OCT 14 05:24:00,166,166
2023 OCT 14 05:21:00,166,166
2023 OCT 14 07:18:00,167,167
2023 OCT 14 11:21:00,169,169
2023 OCT 14 11:18:00,169,169
2023 OCT 14 13:15:00,170,170
2023 OCT 15 12:54:00,182,182
2023 OCT 15 12:51:00,182,182
2023 OCT 15 16:54:00,184,184
2023 OCT 15 18:48:00,185,185
2023 OCT 15 22:48:00,187,187
2023 OCT 16 22:24:00,199,199
2023 OCT 17 00:21:00,200,200
2023 OCT 17 02:18:00,201,201
2023 OCT 17 06:18:00,203,203
2023 OCT 17 06:15:00,203,203
2023 OCT 17 08:12:00,204,204
2023 OCT 18 11:48:00,218,218
2023 OCT 19 01:36:00,225,225
2023 OCT 20 02:12:00,238,238
2023 OCT 20 08:06:00,241,241
2023 OCT 21 19:30:00,259,259
2023 OCT 22 01:24:00,262,262
2023 OCT 26 05:39:00,313,313
2023 OCT 27 22:57:00,334,334
2023 OCT 28 00:54:00,335,335
2023 OCT 28 04:51:00,337,337
2023 OCT 28 06:48:00,338,338
2023 OCT 28 10:45:00,340,340
