Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2021 FEB 20 14:21:53	2021 FEB 20 14:51:16	2021 FEB 20 15:20:38	3525.62	-124.58	-96.20	41.12	59.99	-24.49	-59.91	127.38	20.69	14	-	-	-		
1	Dayside	2021 FEB 20 15:20:38	2021 FEB 20 15:50:14	2021 FEB 20 16:19:49	3550.55	41.12	69.82	-153.29	-59.91	25.96	59.80	52.73	8.71	14	-		COP row 79: NADIR: Full Frame (57:245;0:1047),Tint = 20000 ms,16 bit,Rhythm = 22017 ms, Binning=0		
2	Nightside	2021 FEB 20 16:19:49	2021 FEB 20 16:49:12	2021 FEB 20 17:18:36	3526.89	-153.29	-125.06	12.39	59.80	-24.71	-59.64	127.19	20.68	1	-	-	-		
2	Dayside	2021 FEB 20 17:18:36	2021 FEB 20 17:48:12	2021 FEB 20 18:17:49	3552.82	12.39	40.99	177.97	-59.64	26.24	59.51	52.92	8.70	1	Surface Ice 4SUBD 01	Science: orders #199, #194, #193, #187, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0	&mroOverlap; 	
3	Nightside	2021 FEB 20 18:17:49	2021 FEB 20 18:47:13	2021 FEB 20 19:16:37	3528.56	177.97	-153.92	-16.36	59.51	-25.02	-59.38	126.99	20.67	14	-	-	-		
3	Dayside	2021 FEB 20 19:16:37	2021 FEB 20 19:46:14	2021 FEB 20 20:15:51	3553.66	-16.36	12.11	149.22	-59.38	26.48	59.23	53.11	8.69	14	-		COP row -1: UVIS off		
4	Nightside	2021 FEB 20 20:15:51	2021 FEB 20 20:45:15	2021 FEB 20 21:14:39	3528.10	149.22	177.19	-45.09	59.23	-25.31	-59.15	126.77	20.66	1	-	-	-		
4	Dayside	2021 FEB 20 21:14:39	2021 FEB 20 21:44:16	2021 FEB 20 22:13:53	3553.92	-45.09	-16.81	120.48	-59.15	26.71	59.02	53.34	8.68	1	Surface 3SUBD #3	Science: orders #189, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MAWRTH VALLIS; 	
5	Nightside	2021 FEB 20 22:13:53	2021 FEB 20 22:43:16	2021 FEB 20 23:12:39	3526.27	120.48	148.26	-73.82	59.02	-25.54	-58.95	126.54	20.64	14	-	-	-		
5	Dayside	2021 FEB 20 23:12:39	2021 FEB 20 23:42:16	2021 FEB 21 00:11:53	3553.54	-73.82	-45.75	91.77	-58.95	26.94	58.88	53.59	8.67	14	-		COP row -1: UVIS off		
