Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	38	Ingress	2021 FEB 20 14:31:16	2021 FEB 20 14:36:21	2021 FEB 20 14:37:31	375.00	-129.56	-131.71	-132.19	36.84	22.81	19.35	18.08	14	-	-	-		
N/A	1	38	Egress	2021 FEB 20 15:05:39	2021 FEB 20 15:06:52	2021 FEB 20 15:12:24	405.00	-155.75	-164.55	55.09	-79.77	-83.20	-80.37	16.38	14	-	-	-		
NOMAD	2	38	Ingress	2021 FEB 20 16:29:15	2021 FEB 20 16:34:22	2021 FEB 20 16:35:33	378.00	-158.29	-160.46	-160.94	36.48	22.33	18.80	18.08	1	CO2 Fullscan Fast #3	Diffraction order stepping (fullscan): 10 orders from 125 to 135 in steps of 1 (6 order(s) per 1 second(s))	COP row 360: SO: Full Frame (135:205;0:1047),Tint = 150 ms,16 bit,Rhythm = 3574 ms, Binning=0	&mroOverlap; 	
NOMAD	2	38	Egress	2021 FEB 20 17:03:31	2021 FEB 20 17:04:45	2021 FEB 20 17:10:18	407.00	175.55	166.57	26.31	-79.72	-83.21	-80.26	16.37	1	6SUBD Nominal #2	Science: orders #119, #136, #149, #169, #186, #189, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&mroOverlap; 	
ACS	3	38	Ingress	2021 FEB 20 18:27:18	2021 FEB 20 18:32:27	2021 FEB 20 18:33:38	380.00	172.96	170.77	170.29	35.98	21.70	18.17	18.08	14	-	-	-		
ACS	3	38	Egress	2021 FEB 20 19:01:24	2021 FEB 20 19:02:39	2021 FEB 20 19:08:13	409.00	147.08	138.25	-2.19	-79.52	-83.07	-80.31	16.40	14	-	-	-		
NOMAD	4	38	Ingress	2021 FEB 20 20:25:22	2021 FEB 20 20:30:34	2021 FEB 20 20:31:46	384.00	144.21	142.01	141.51	35.58	21.12	17.53	18.07	1	HCL #9	Science: orders #121, #136, #130, #130, #130, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MAWRTH VALLIS; 	
NOMAD	4	38	Egress	2021 FEB 20 20:59:18	2021 FEB 20 21:00:33	2021 FEB 20 21:06:10	412.00	118.61	110.11	-30.77	-79.31	-82.88	-80.32	16.43	1	Dust H2O 01	Science: orders #119, #130, #145, #171, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MAWRTH VALLIS; 	
N/A	5	38	Ingress	2021 FEB 20 22:23:26	2021 FEB 20 22:28:40	2021 FEB 20 22:29:53	387.00	115.46	113.24	112.74	35.20	20.60	16.95	18.07	14	-	-	-		
N/A	5	38	Egress	2021 FEB 20 22:57:14	2021 FEB 20 22:58:30	2021 FEB 20 23:04:10	416.00	90.05	81.58	-59.55	-79.15	-82.78	-80.23	16.45	14	-	-	-		
