UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 JAN 24 23:01:22, 26.2, 13.7, #136 #189
2021 JAN 27 00:09:54, 20.2, 13.3, #136 #189
2021 JAN 29 01:17:21, 13.8, 12.9, #136 #168
2021 FEB 03 03:07:53, 4.1, 11.8, #136 #136
2021 FEB 05 04:15:15, 10.3, 11.4, #136 #189
2021 FEB 07 05:24:09, 14.8, 11.0, #136 #168
2021 FEB 10 06:05:23, 26.2, 10.3, #136 #168
2021 FEB 12 07:13:24, 32.1, 9.9, #134 #168
2021 FEB 14 08:21:33, 38.1, 9.5, #136 #168
2021 FEB 17 09:03:22, 48.6, 8.8, #136 #189
2021 FEB 19 10:11:02, 55.0, 8.4, #136 #189
