UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 JAN 27 00:11:24, 21.6, 13.4, #136 #189
2021 JAN 29 01:20:21, 17.0, 13.1, #136 #168
2021 JAN 31 02:28:17, 11.4, 12.6, #167 #169
2021 FEB 05 04:18:15, 8.1, 11.5, #136 #189
2021 FEB 07 05:26:09, 13.9, 11.1, #136 #168
2021 FEB 09 06:34:37, 20.0, 10.7, #167 #169
2021 FEB 12 07:16:24, 29.4, 10.0, #134 #168
2021 FEB 14 08:24:03, 35.9, 9.6, #136 #168
2021 FEB 16 09:31:53, 42.2, 9.2, #167 #169
2021 FEB 19 10:14:02, 52.0, 8.5, #136 #189
