NOM_02, OCCEG, 27, 67, 80, 83, 94, 102, 112, 130, 148
NOM_02, OCCIN, 17, 34, 52, 59, 62, 72, 78, 85, 97, 101, 112, 114, 120, 125, 142, 146, 148, 159
NOM_02, OCCME, 169
NOM_03, OCCEG, 29, 49, 95
NOM_03, OCCIN, 47, 94, 95, 104, 128, 212
CO_001, OCCEG, 14, 107, 116, 133, 136, 154, 157
CO_001, OCCIN, 32, 49, 117, 123, 127, 140, 144
CO2_01, OCCEG, 42, 54, 59, 74, 78, 101, 104, 110, 125, 127, 128, 138, 146, 151, 153
CO2_01, OCCIN, 7, 20, 22, 36, 70, 77, 83, 89, 91, 110, 161
CO2_02, OCCEG, 25, 61, 89
CO2_02, OCCIN, 138, 151
CO2_02, OCCME, 210
HCL_01, OCCEG, 36, 85, 114, 159
HCL_01, OCCIN, 157
AER_01, OCCEG, 122
AER_01, OCCIN, 61
NOM_01, OCCIN, 42, 46, 65
FUL_01, OCCEG, 52, 144
FUL_01, OCCIN, 40, 55, 149
FUL_01, OCCME, 164
