MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2026 APR 11 19:54:00,-70.1239,-19.7433,250.9616,2.6061,80.8112,4.0427e-14,80.8112,2026 APR 11 19:51:00,-69.6042,-21.8923,380.1764,2.4142,81.7872,2.4784,84.1987
2026 APR 13 14:54:00,-71.346,71.6951,248.8222,2.5308,79.9585,4.1294e-14,79.9585,2026 APR 13 15:06:00,-71.8539,69.0229,380.3188,2.5472,79.5005,0.33407,79.8117
2026 APR 15 04:18:00,-74.0131,-115.7819,249.1026,2.4136,77.9986,5.7887e-15,77.9986,2026 APR 15 04:27:00,-73.121,-114.9821,380.884,2.6131,78.2529,0.32461,78.5521
2026 APR 16 13:54:00,-64.9292,117.5538,251.143,2.6544,84.6813,5.0988e-14,84.6813,2026 APR 16 13:57:00,-64.3876,121.8944,379.1607,2.9922,83.7879,83.5652,0.22301
2026 APR 18 14:33:00,-75.0187,123.1523,250.7122,2.3525,77.2019,1.4312e-14,77.2019,2026 APR 18 15:00:00,-74.5526,118.3366,379.1258,2.4692,77.3386,0.32204,77.6294
2026 APR 19 11:06:00,-73.0674,-175.5706,250.1524,2.4281,78.6412,5.6904e-14,78.6412,2026 APR 19 10:39:00,-74.3156,-172.4586,379.959,2.1978,78.0955,0.33302,78.3944
2026 APR 22 21:21:00,-74.7164,62.2407,248.7663,2.2919,77.5189,1.6002e-14,77.5189,2026 APR 22 21:12:00,-75.2852,62.7497,380.1235,2.18,77.2557,0.32344,77.4348
2026 APR 26 07:36:00,-76.6269,-59.6396,248.9635,2.1769,76.107,1.7992e-14,76.107,2026 APR 26 07:45:00,-75.8361,-61.6533,379.6188,2.1886,76.7624,0.3246,77.0478
2026 MAY 01 01:36:00,-75.4504,76.8217,247.2575,2.1706,77.1796,9.4835e-15,77.1796,2026 MAY 01 01:45:00,-75.5162,76.5503,379.7133,2.2983,76.88,0.32272,77.1661
2026 MAY 03 19:00:00,-74.0141,-156.7322,248.8651,2.22,78.3733,6.5569e-15,78.3733,2026 MAY 03 18:36:00,-75.5703,-157.8005,378.7144,1.7597,77.8323,0.33993,78.1277
2026 MAY 05 19:36:00,-75.8025,-147.5106,248.1197,2.1122,77.1076,1.9149e-14,77.1076,2026 MAY 05 19:45:00,-74.1805,-146.6218,378.7283,2.3175,78.0894,0.32945,78.3868
2026 MAY 06 01:12:00,-74.2206,132.01,250.6073,2.1947,78.319,1.5087e-14,78.319,2026 MAY 06 01:39:00,-73.6036,129.8006,380.5539,2.485,78.2011,0.32671,78.4995
2026 MAY 08 13:00:00,-74.4023,-21.0633,249.6612,2.1628,78.3225,4.8366e-15,78.3225,2026 MAY 08 12:36:00,-73.9438,-20.0072,378.6371,1.8442,79.3207,0.34729,79.6298
2026 MAY 08 18:36:00,-73.1696,-102.5139,249.5943,2.1806,79.3546,7.1119e-15,79.3546,2026 MAY 08 18:30:00,-73.6165,-105.0044,380.2441,1.9172,79.4907,0.34692,79.8014
2026 MAY 09 00:12:00,-72.1851,176.6429,251.1937,2.2386,80.0773,9.5603e-15,80.0773,2026 MAY 09 00:24:00,-73.0502,171.6972,379.8394,2.1033,79.631,0.34376,79.9429
