MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 JAN 21 17:20:08,2023 JAN 21 17:25:08,2,2
2023 JAN 21 19:20:58,2023 JAN 21 19:25:58,3,3
2023 JAN 21 23:15:57,2023 JAN 21 23:20:51,5,5
2023 JAN 22 19:18:04,2023 JAN 22 19:23:04,15,15
2023 JAN 23 02:48:10,2023 JAN 23 02:53:10,19,19
2023 JAN 24 16:10:25,2023 JAN 24 16:15:25,38,38
2023 JAN 24 18:22:12,2023 JAN 24 18:27:12,39,39
2023 JAN 24 20:01:53,2023 JAN 24 20:06:53,40,40
2023 JAN 25 05:55:32,2023 JAN 25 06:00:32,45,45
2023 JAN 25 09:56:49,2023 JAN 25 10:01:49,47,47
2023 JAN 25 14:15:28,2023 JAN 25 14:20:28,49,49
2023 JAN 25 19:36:29,2023 JAN 25 19:36:35,52,52
2023 JAN 26 05:49:50,2023 JAN 26 05:51:15,57,57
2023 JAN 26 15:49:35,2023 JAN 26 15:54:35,62,62
2023 JAN 28 10:44:46,2023 JAN 28 10:49:46,84,84
2023 JAN 28 18:54:52,2023 JAN 28 18:59:52,88,88
2023 JAN 28 20:48:30,2023 JAN 28 20:53:30,89,89
2023 JAN 29 02:37:14,2023 JAN 29 02:42:14,92,92
2023 JAN 29 04:52:09,2023 JAN 29 04:52:46,93,93
2023 JAN 29 18:14:23,2023 JAN 29 18:19:23,100,100
2023 JAN 29 22:12:03,2023 JAN 29 22:17:03,102,102
2023 JAN 30 14:14:04,2023 JAN 30 14:19:04,110,110
2023 JAN 30 21:25:49,2023 JAN 30 21:30:49,114,114
2023 JAN 30 23:25:58,2023 JAN 30 23:30:58,115,115
2023 FEB 01 01:04:47,2023 FEB 01 01:09:47,128,128
2023 FEB 01 05:34:22,2023 FEB 01 05:39:22,130,130
2023 FEB 01 07:09:44,2023 FEB 01 07:14:44,131,131
2023 FEB 02 02:34:55,2023 FEB 02 02:39:55,141,141
2023 FEB 03 02:36:32,2023 FEB 03 02:36:36,153,153
2023 FEB 03 18:34:18,2023 FEB 03 18:36:13,161,161
2023 FEB 03 20:22:30,2023 FEB 03 20:27:30,162,162
2023 FEB 04 08:38:55,2023 FEB 04 08:43:55,168,168
2023 FEB 05 11:50:54,2023 FEB 05 11:55:54,182,182
2023 FEB 05 23:13:19,2023 FEB 05 23:18:19,188,188
2023 FEB 06 23:28:03,2023 FEB 06 23:33:03,200,200
2023 FEB 07 01:08:28,2023 FEB 07 01:12:44,201,201
2023 FEB 07 13:01:22,2023 FEB 07 13:06:22,207,207
2023 FEB 08 00:28:12,2023 FEB 08 00:33:12,213,213
2023 FEB 08 06:51:27,2023 FEB 08 06:56:27,216,216
2023 FEB 09 03:59:18,2023 FEB 09 04:04:18,227,227
2023 FEB 09 08:14:53,2023 FEB 09 08:19:53,229,229
2023 FEB 09 12:10:46,2023 FEB 09 12:15:46,231,231
2023 FEB 09 14:09:14,2023 FEB 09 14:14:14,232,232
2023 FEB 10 11:48:10,2023 FEB 10 11:53:10,243,243
2023 FEB 10 21:18:51,2023 FEB 10 21:23:51,248,248
2023 FEB 11 11:13:11,2023 FEB 11 11:18:11,255,255
2023 FEB 11 17:26:08,2023 FEB 11 17:31:08,258,258
2023 FEB 12 03:07:22,2023 FEB 12 03:12:22,263,263
2023 FEB 12 06:59:58,2023 FEB 12 07:04:58,265,265
2023 FEB 12 11:08:50,2023 FEB 12 11:13:50,267,267
2023 FEB 13 10:29:27,2023 FEB 13 10:34:27,279,279
2023 FEB 13 16:38:38,2023 FEB 13 16:43:38,282,282
2023 FEB 14 16:14:15,2023 FEB 14 16:19:15,294,294
2023 FEB 14 17:58:07,2023 FEB 14 18:03:07,295,295
2023 FEB 14 21:53:17,2023 FEB 14 21:58:17,297,297
2023 FEB 15 03:46:06,2023 FEB 15 03:51:06,300,300
2023 FEB 15 09:45:01,2023 FEB 15 09:50:01,303,303
2023 FEB 16 13:25:12,2023 FEB 16 13:30:12,317,317
2023 FEB 17 10:49:54,2023 FEB 17 10:54:54,328,328
2023 FEB 18 00:36:01,2023 FEB 18 00:41:01,335,335
2023 FEB 18 04:29:05,2023 FEB 18 04:34:05,337,337
2023 FEB 18 08:33:16,2023 FEB 18 08:38:16,339,339
