MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 JAN 21 17:20:08,2023 JAN 21 17:25:08,2,2
2023 JAN 23 02:48:10,2023 JAN 23 02:53:10,19,19
2023 JAN 24 16:10:25,2023 JAN 24 16:15:25,38,38
2023 JAN 30 21:25:49,2023 JAN 30 21:30:49,114,114
2023 FEB 01 01:04:47,2023 FEB 01 01:09:47,128,128
2023 FEB 01 07:09:44,2023 FEB 01 07:10:32,131,131
2023 FEB 02 02:34:55,2023 FEB 02 02:39:55,141,141
2023 FEB 06 23:31:20,2023 FEB 06 23:33:03,200,200
2023 FEB 09 08:14:53,2023 FEB 09 08:19:53,229,229
2023 FEB 12 07:02:44,2023 FEB 12 07:04:58,265,265
2023 FEB 14 21:53:17,2023 FEB 14 21:58:17,297,297
2023 FEB 15 09:45:01,2023 FEB 15 09:50:01,303,303
2023 FEB 17 10:49:54,2023 FEB 17 10:54:54,328,328
