Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2023 MAY 13 14:29:54,2023 MAY 13 16:27:53,7079,2023 MAY 13 14:27:55,2023 MAY 13 15:26:38,3523,2023 MAY 13 15:26:39,2023 MAY 13 16:25:53,3554,17.2029,2023 MAY 13 15:56:02
3,3,2,2023 MAY 13 16:27:54,2023 MAY 13 18:25:51,7077,2023 MAY 13 16:25:54,2023 MAY 13 17:24:36,3522,2023 MAY 13 17:24:37,2023 MAY 13 18:23:51,3554,17.4363,2023 MAY 13 17:54:00
3,3,3,2023 MAY 13 18:25:52,2023 MAY 13 20:23:47,7075,2023 MAY 13 18:23:52,2023 MAY 13 19:22:32,3520,2023 MAY 13 19:22:33,2023 MAY 13 20:21:47,3554,17.6675,2023 MAY 13 19:51:56
3,3,4,2023 MAY 13 20:23:48,2023 MAY 13 22:21:40,7072,2023 MAY 13 20:21:48,2023 MAY 13 21:20:27,3519,2023 MAY 13 21:20:28,2023 MAY 13 22:19:40,3552,17.8707,2023 MAY 13 21:49:50
3,3,5,2023 MAY 13 22:21:41,2023 MAY 14 00:19:34,7073,2023 MAY 13 22:19:41,2023 MAY 13 23:18:20,3519,2023 MAY 13 23:18:21,2023 MAY 14 00:17:34,3553,18.0442,2023 MAY 13 23:47:44
1,1,6,2023 MAY 14 00:19:35,2023 MAY 14 02:17:32,7077,2023 MAY 14 00:17:35,2023 MAY 14 01:16:16,3521,2023 MAY 14 01:16:17,2023 MAY 14 02:15:32,3555,18.2283,2023 MAY 14 01:45:40
3,3,7,2023 MAY 14 02:17:33,2023 MAY 14 04:15:31,7078,2023 MAY 14 02:15:33,2023 MAY 14 03:14:14,3521,2023 MAY 14 03:14:15,2023 MAY 14 04:13:31,3556,18.4299,2023 MAY 14 03:43:39
1,1,8,2023 MAY 14 04:15:32,2023 MAY 14 06:13:29,7077,2023 MAY 14 04:13:32,2023 MAY 14 05:12:14,3522,2023 MAY 14 05:12:15,2023 MAY 14 06:11:29,3554,18.6416,2023 MAY 14 05:41:38
3,3,9,2023 MAY 14 06:13:30,2023 MAY 14 08:11:25,7075,2023 MAY 14 06:11:30,2023 MAY 14 07:10:12,3522,2023 MAY 14 07:10:13,2023 MAY 14 08:09:25,3552,18.8615,2023 MAY 14 07:39:35
1,1,10,2023 MAY 14 08:11:26,2023 MAY 14 10:09:19,7073,2023 MAY 14 08:09:26,2023 MAY 14 09:08:07,3521,2023 MAY 14 09:08:08,2023 MAY 14 10:07:19,3551,19.0755,2023 MAY 14 09:37:29
1,1,11,2023 MAY 14 10:09:20,2023 MAY 14 12:07:13,7073,2023 MAY 14 10:07:20,2023 MAY 14 11:06:00,3520,2023 MAY 14 11:06:01,2023 MAY 14 12:05:13,3552,19.2622,2023 MAY 14 11:35:22
3,3,12,2023 MAY 14 12:07:14,2023 MAY 14 14:05:10,7076,2023 MAY 14 12:05:14,2023 MAY 14 13:03:55,3521,2023 MAY 14 13:03:56,2023 MAY 14 14:03:10,3554,19.4222,2023 MAY 14 13:33:19
1,1,13,2023 MAY 14 14:05:11,2023 MAY 14 16:03:09,7078,2023 MAY 14 14:03:11,2023 MAY 14 15:01:54,3523,2023 MAY 14 15:01:55,2023 MAY 14 16:01:09,3554,19.609,2023 MAY 14 15:31:19
3,3,14,2023 MAY 14 16:03:10,2023 MAY 14 18:01:08,7078,2023 MAY 14 16:01:10,2023 MAY 14 16:59:53,3523,2023 MAY 14 16:59:54,2023 MAY 14 17:59:08,3554,19.8301,2023 MAY 14 17:29:18
1,1,15,2023 MAY 14 18:01:09,2023 MAY 14 19:59:06,7077,2023 MAY 14 17:59:09,2023 MAY 14 18:57:50,3521,2023 MAY 14 18:57:51,2023 MAY 14 19:57:06,3555,20.0642,2023 MAY 14 19:27:15
3,3,16,2023 MAY 14 19:59:07,2023 MAY 14 21:57:00,7073,2023 MAY 14 19:57:07,2023 MAY 14 20:55:45,3518,2023 MAY 14 20:55:46,2023 MAY 14 21:55:00,3554,20.2791,2023 MAY 14 21:25:09
