TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,116,116,299,Dayside_Nadir,2018 MAY 30 08:42:29,OBSERVATION_COMMENT
1,1,2318,2318,300,Dayside_Nadir,2018 MAY 30 10:30:23,OBSERVATION_COMMENT
-1,-1,-1,-1,301,Dayside_Nadir,2018 MAY 30 12:38:17, 
-1,-1,-1,-1,302,Dayside_Nadir,2018 MAY 30 12:38:17, 
-1,-1,-1,-1,303,Dayside_Nadir,2018 MAY 30 12:38:17, 
1,1,1934,1934,304,Dayside_Nadir,2018 MAY 30 14:26:09,OBSERVATION_COMMENT
1,1,2318,2318,307,Dayside_Nadir,2018 MAY 30 16:33:59,OBSERVATION_COMMENT
-1,-1,-1,-1,308,Dayside_Nadir,2018 MAY 30 18:31:49, 
-1,-1,-1,-1,309,Dayside_Nadir,2018 MAY 30 18:31:49, 
-1,-1,-1,-1,310,Dayside_Nadir,2018 MAY 30 18:31:49, 
1,1,1107,1107,311,Dayside_Nadir,2018 MAY 30 20:19:43,OBSERVATION_COMMENT
-1,-1,-1,-1,312,Dayside_Nadir,2018 MAY 30 22:27:39, 
-1,-1,-1,-1,313,Dayside_Nadir,2018 MAY 30 22:27:39, 
-1,-1,-1,-1,314,Dayside_Nadir,2018 MAY 30 22:27:39, 
1,1,1837,1837,317,Dayside_Nadir,2018 MAY 31 00:25:35,OBSERVATION_COMMENT
1,1,2318,2318,320,Dayside_Nadir,2018 MAY 31 02:23:27,OBSERVATION_COMMENT
1,1,1033,1033,321,Dayside_Nadir,2018 MAY 31 04:11:17,OBSERVATION_COMMENT
1,1,2318,2318,323,Dayside_Nadir,2018 MAY 31 06:19:07,OBSERVATION_COMMENT
-1,-1,-1,-1,324,Dayside_Nadir,2018 MAY 31 08:16:59, 
-1,-1,-1,-1,325,Dayside_Nadir,2018 MAY 31 08:16:59, 
-1,-1,-1,-1,326,Dayside_Nadir,2018 MAY 31 08:16:59, 
1,1,140,140,327,Dayside_Nadir,2018 MAY 31 10:04:55,OBSERVATION_COMMENT
-1,-1,-1,-1,328,Dayside_Nadir,2018 MAY 31 12:12:49, 
-1,-1,-1,-1,329,Dayside_Nadir,2018 MAY 31 12:12:49, 
-1,-1,-1,-1,330,Dayside_Nadir,2018 MAY 31 12:12:49, 
1,1,104,104,332,Dayside_Nadir,2018 MAY 31 14:10:41,OBSERVATION_COMMENT
1,1,2639,2639,334,Dayside_Nadir,2018 MAY 31 16:08:31,OBSERVATION_COMMENT
1,1,2626,2626,335,Dayside_Nadir,2018 MAY 31 17:56:21,OBSERVATION_COMMENT
1,1,1029,1029,337,Dayside_Nadir,2018 MAY 31 20:04:13,OBSERVATION_COMMENT
-1,-1,-1,-1,338,Dayside_Nadir,2018 MAY 31 22:02:09, 
-1,-1,-1,-1,339,Dayside_Nadir,2018 MAY 31 22:02:09, 
-1,-1,-1,-1,340,Dayside_Nadir,2018 MAY 31 22:02:09, 
1,1,2318,2318,341,Dayside_Nadir,2018 MAY 31 23:50:05,OBSERVATION_COMMENT
1,1,1090,1090,343,Dayside_Nadir,2018 JUN 01 01:57:59,OBSERVATION_COMMENT
-1,-1,-1,-1,344,Dayside_Nadir,2018 JUN 01 03:55:49, 
-1,-1,-1,-1,345,Dayside_Nadir,2018 JUN 01 03:55:49, 
-1,-1,-1,-1,346,Dayside_Nadir,2018 JUN 01 03:55:49, 
1,1,1779,1779,348,Dayside_Nadir,2018 JUN 01 05:53:39,OBSERVATION_COMMENT
1,1,2318,2318,350,Dayside_Nadir,2018 JUN 01 07:51:31,OBSERVATION_COMMENT
1,1,1860,1860,351,Dayside_Nadir,2018 JUN 01 09:39:25,OBSERVATION_COMMENT
-1,-1,-1,-1,352,Dayside_Nadir,2018 JUN 01 11:47:19, 
-1,-1,-1,-1,353,Dayside_Nadir,2018 JUN 01 11:47:19, 
-1,-1,-1,-1,354,Dayside_Nadir,2018 JUN 01 11:47:19, 
