degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,165,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,170,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,175,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,180,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,185,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,190,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST_10ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,110,10,16,3,2000 # OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,140,10,16,3,2000 # OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,170,10,16,3,2000 # OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,195,10,16,3,2000 # OCCULTATION_FULLSCAN_FAST_30ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,115,13,16,3,2000 # OCCULTATION_FULLSCAN_FAST_80ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,110,16,16,3,2000 # OCCULTATION_FULLSCAN_FAST_105ORDERS_16ROWS_1SECS_6SUBDS -- EXECTIME=837MS
0,1,1,115,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,120,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,125,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,130,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,135,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,140,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,145,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,150,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,155,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,160,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,165,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,170,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,175,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,180,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,185,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,190,5,60,5,190000 # NADIR_FULLSCAN_SLOW_10ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,110,8,60,5,190000 # NADIR_FULLSCAN_SLOW_30ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,140,8,60,5,190000 # NADIR_FULLSCAN_SLOW_30ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,170,8,60,5,190000 # NADIR_FULLSCAN_SLOW_30ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,195,8,60,5,190000 # NADIR_FULLSCAN_SLOW_30ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,115,11,60,5,190000 # NADIR_FULLSCAN_SLOW_80ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,110,14,60,5,190000 # NADIR_FULLSCAN_SLOW_105ORDERS_144ROWS_15SECS_1SUBDS -- EXECTIME=14466MS
0,1,1,115,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,120,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,125,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,130,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,135,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,140,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,145,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,150,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,155,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,160,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,165,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,170,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,175,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,180,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,185,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,190,6,18,17,205000 # NADIR_FULLSCAN_FAST_10ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
