HCL_01, OCCEG, 15, 49, 75, 103, 123
HCL_01, OCCIN, 41, 66, 132
AER_01, OCCEG, 45, 71, 99
AER_01, OCCIN, 129
ICE_01, OCCEG, 21
ICE_01, OCCIN, 53, 79, 107
NOM_01, OCCEG, 11, 17, 19, 25, 30, 36, 41, 47, 51, 57, 59, 63, 66, 73, 77, 81, 84, 91, 95, 101, 106, 111, 113, 119, 124, 129, 138, 141, 143
NOM_01, OCCIN, 6, 28, 35, 39, 43, 47, 51, 57, 60, 65, 69, 73, 77, 81, 89, 93, 97, 101, 106, 111, 114, 119, 124, 130, 139, 143
